Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,bronze_Hoof_Paper_Scissors_Minus_One,bronze_Hoof_Paper_Scissors_Minus_One_rel,bronze_Its_Mooin_Time_III,bronze_Its_Mooin_Time_III_rel,bronze_More_Cow_Photos,bronze_More_Cow_Photos_rel,gold_Election_Queries,gold_Election_Queries_rel,gold_Moo_Decomposition,gold_Moo_Decomposition_rel,gold_OohMoo_Milk,gold_OohMoo_Milk_rel,platinum_Forklift_Certified,platinum_Forklift_Certified_rel,platinum_Lazy_Sort,platinum_Lazy_Sort_rel,platinum_Package_Pickup,platinum_Package_Pickup_rel,silver_Compatible_Pairs,silver_Compatible_Pairs_rel,silver_Sequence_Construction,silver_Sequence_Construction_rel,silver_Ski_Slope,silver_Ski_Slope_rel
gpt-oss-120b-high,3386.00,86.84%,84.58%,83.33%,0.438,26.12,12,333.00,100.91%,333.00,100.91%,333.00,100.91%,333.00,102.46%,333.00,105.71%,333.00,103.10%,333.00,103.42%,333.00,102.46%,56.00,17.28%,333.00,100.91%,0.00,0.00%,333.00,104.06%
gpt-5,2818.00,72.23%,73.12%,66.67%,0.362,27.00,12,333.00,100.91%,333.00,100.91%,333.00,100.91%,333.00,102.46%,333.00,105.71%,333.00,103.10%,95.00,29.50%,0.00,0.00%,0.00,0.00%,333.00,100.91%,59.00,18.27%,333.00,104.06%
gpt-oss-20b-high,2759.00,84.78%,83.50%,80.00%,0.889,37.70,10,333.00,100.91%,333.00,100.91%,333.00,100.91%,333.00,102.46%,333.00,105.71%,N/A,N/A,95.00,29.50%,333.00,102.46%,0.00,0.00%,333.00,100.91%,N/A,N/A,333.00,104.06%
gpt-oss-120b_sp3,2445.00,62.66%,64.38%,58.33%,0.716,28.11,12,333.00,100.91%,333.00,100.91%,333.00,100.91%,0.00,0.00%,333.00,105.71%,333.00,103.10%,95.00,29.50%,0.00,0.00%,19.00,5.86%,333.00,100.91%,0.00,0.00%,333.00,104.06%
gpt-o3-mini-high,2386.00,61.17%,62.01%,50.00%,1.242,29.60,12,333.00,100.91%,333.00,100.91%,333.00,100.91%,26.00,8.00%,333.00,105.71%,333.00,103.10%,95.00,29.50%,0.00,0.00%,0.00,0.00%,267.00,80.91%,0.00,0.00%,333.00,104.06%
gpt-oss-120b_sp2,2288.00,58.61%,59.17%,50.00%,0.605,30.36,12,333.00,100.91%,333.00,100.91%,333.00,100.91%,0.00,0.00%,333.00,105.71%,176.00,54.49%,95.00,29.50%,0.00,0.00%,19.00,5.86%,333.00,100.91%,0.00,0.00%,333.00,104.06%
gpt-oss-120b-medium,2269.00,58.12%,59.79%,50.00%,0.654,41.40,12,333.00,100.91%,333.00,100.91%,333.00,100.91%,0.00,0.00%,333.00,105.71%,176.00,54.49%,95.00,29.50%,0.00,0.00%,0.00,0.00%,333.00,100.91%,0.00,0.00%,333.00,104.06%
gpt-oss-120b_sp1,2230.00,57.11%,59.79%,50.00%,0.586,23.74,12,333.00,100.91%,333.00,100.91%,333.00,100.91%,0.00,0.00%,333.00,105.71%,137.00,42.41%,95.00,29.50%,0.00,0.00%,0.00,0.00%,333.00,100.91%,0.00,0.00%,333.00,104.06%
gemini-2.5-pro,2152.00,55.10%,58.12%,50.00%,0.871,50.45,12,333.00,100.91%,333.00,100.91%,333.00,100.91%,0.00,0.00%,333.00,105.71%,59.00,18.27%,95.00,29.50%,0.00,0.00%,0.00,0.00%,333.00,100.91%,0.00,0.00%,333.00,104.06%
grok-4-fast-reasoning,2093.00,64.67%,65.42%,60.00%,0.712,13.57,10,N/A,N/A,N/A,N/A,333.00,100.91%,333.00,102.46%,333.00,105.71%,333.00,103.10%,95.00,29.50%,0.00,0.00%,0.00,0.00%,333.00,100.91%,0.00,0.00%,333.00,104.06%
gpt-oss-120b_sp4,2003.00,51.40%,53.19%,41.67%,0.663,20.66,12,333.00,100.91%,333.00,100.91%,333.00,100.91%,0.00,0.00%,333.00,105.71%,176.00,54.49%,95.00,29.50%,0.00,0.00%,0.00,0.00%,67.00,20.30%,0.00,0.00%,333.00,104.06%
gemini-2.5-flash,1995.00,50.90%,53.47%,41.67%,0.923,54.83,12,333.00,100.91%,333.00,100.91%,333.00,100.91%,128.00,39.38%,143.00,45.40%,59.00,18.27%,0.00,0.00%,0.00,0.00%,0.00,0.00%,333.00,100.91%,0.00,0.00%,333.00,104.06%
