problem,model,status,score,relative_score,%test passed,time,memory
2023-sp_Two_Currencies,gpt-oss-20b-low,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
2023-sp_Festivals_in_JOI_Kingdom_2,gpt-oss-20b-low,RUNTIME_ERROR,0,0.00%,13.33%,0.000,0
2023-sp_Passport,gpt-oss-20b-low,RUNTIME_ERROR,6,6.00%,47.14%,0.180,31.41015625
2023-sp_Belt_Conveyor,gpt-oss-20b-low,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
2023-sp_Council,gpt-oss-20b-low,RUNTIME_ERROR,0,0.00%,13.91%,0.190,19.6015625
2023-sp_Mizuyokan_2,gpt-oss-20b-low,TIME_LIMIT_EXCEEDED,0,0.00%,0.00%,3.610,4.91015625
2023-sp_Chorus,gpt-oss-20b-low,RUNTIME_ERROR,0,0.00%,6.67%,0.000,0
2023-sp_Cookies,gpt-oss-20b-low,RUNTIME_ERROR,13,13.00%,70.88%,0.160,1.55078125
2023-sp_Tourism,gpt-oss-20b-low,TIME_LIMIT_EXCEEDED,28,28.00%,79.65%,4.850,18.421875
2023-sp_Super_Dango_Maker,gpt-oss-20b-low,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
