problem,model,status,score,relative_score,%test passed,time,memory
2023-sp_Two_Currencies,Qwen2.5-Coder-32B-Instruct,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
2023-sp_Festivals_in_JOI_Kingdom_2,Qwen2.5-Coder-32B-Instruct,RUNTIME_ERROR,0,0.00%,13.33%,0.000,0
2023-sp_Passport,Qwen2.5-Coder-32B-Instruct,RUNTIME_ERROR,0,0.00%,17.86%,0.180,2.84375
2023-sp_Belt_Conveyor,Qwen2.5-Coder-32B-Instruct,RUNTIME_ERROR,1,1.00%,12.90%,0.710,7.296875
2023-sp_Council,Qwen2.5-Coder-32B-Instruct,TIME_LIMIT_EXCEEDED,16,16.00%,71.95%,3.600,18.57421875
2023-sp_Mizuyokan_2,Qwen2.5-Coder-32B-Instruct,RUNTIME_ERROR,0,0.00%,0.00%,0.180,3.87890625
2023-sp_Chorus,Qwen2.5-Coder-32B-Instruct,RUNTIME_ERROR,0,0.00%,6.67%,0.000,0
2023-sp_Cookies,Qwen2.5-Coder-32B-Instruct,RUNTIME_ERROR,6,6.00%,61.54%,0.160,2.17578125
2023-sp_Tourism,Qwen2.5-Coder-32B-Instruct,TIME_LIMIT_EXCEEDED,23,23.00%,65.84%,4.860,19.20703125
2023-sp_Super_Dango_Maker,Qwen2.5-Coder-32B-Instruct,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
2023-sp_Security_Guard,Qwen2.5-Coder-32B-Instruct,RUNTIME_ERROR,0,0.00%,5.95%,0.170,7.4765625
