solution,status,score,relative_score,%test passed,time,memory,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5
2025-ho-t1_Grid_Coloring_gpt-oss-120b_1.cpp,RUNTIME_ERROR,0,0.00%,0.00%,0.120,38.16015625,0,0,0,0,0
2025-ho-t1_Grid_Coloring_gpt-oss-120b_2.cpp,RUNTIME_ERROR,0,0.00%,18.37%,0.160,52.5234375,0,0,0,0,0
2025-ho-t1_Grid_Coloring_gpt-oss-120b_3.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0
2025-ho-t1_Grid_Coloring_gpt-oss-120b_3.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0
2025-ho-t1_Grid_Coloring_gpt-oss-120b_3.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0
2025-ho-t1_Grid_Coloring_gpt-oss-120b_3.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0
2025-ho-t1_Grid_Coloring_gpt-oss-120b_3.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0
2025-ho-t1_Grid_Coloring_gpt-oss-120b_3.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0
2025-ho-t1_Grid_Coloring_gpt-oss-120b_5.cpp,ACCEPTED,100,100.00%,100.00%,0.140,26.046875,15,10,20,25,30
2025-ho-t1_Grid_Coloring_gpt-oss-120b_6.cpp,RUNTIME_ERROR,0,0.00%,9.78%,0.080,25.44140625,0,0,0,0,0
2025-ho-t1_Grid_Coloring_gpt-oss-120b_7.cpp,RUNTIME_ERROR,0,0.00%,3.41%,0.060,13.5859375,0,0,0,0,0
