problem,status,score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5
autobus,RUNTIME_ERROR,0,16.33%,0.030,0,,0,0,0,0,0,0
karte,ACCEPTED,70,100.00%,0.120,0.00390625,,18,11,24,17,0,0
bojanje,RUNTIME_ERROR,0,5.80%,0.020,0.00390625,,0,0,0,0,0,0
stablo,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0
procesor,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0
wow,RUNTIME_ERROR,0,11.11%,0.020,0,,0,0,0,0,0,0
zid,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0
tornjevi,TIME_LIMIT_EXCEEDED,7,18.52%,2.410,9.03125,,7,0,0,0,0,0
crtez,RUNTIME_ERROR,0,0.00%,0.020,2.52734375,,0,0,0,0,0,0
stablo,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0
sah,ACCEPTED,50,100.00%,0.040,0.00390625,,13,19,18,0,0,0
benzinska,RUNTIME_ERROR,15,34.00%,0.070,8.4765625,,15,0,0,0,0,0
xor,UNKNOWN,0,0.00%,0.000,0,,0,0,0,0,0,0
cipele,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0
tura,RUNTIME_ERROR,0,0.72%,0.030,1.80859375,,0,0,0,0,0,0
paradoks,RUNTIME_ERROR,0,7.69%,0.030,0,,0,0,0,0,0,0
igre,MEMORY_LIMIT_EXCEEDED,6,12.24%,0.030,2.0703125,,6,0,0,0,0,0
razlicitost,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0
blistavost,RUNTIME_ERROR,55,27.87%,0.030,1.5546875,,0,0,55,0,0,0
trokuti,RUNTIME_ERROR,13,25.96%,0.040,1.81640625,,13,0,0,0,0,0
osobna,ACCEPTED,50,100.00%,0.000,0,,25,15,10,0,0,0
skokovi,ACCEPTED,70,100.00%,0.050,3.62109375,,20,25,25,0,0,0
hijerarhija,RUNTIME_ERROR,73,86.11%,0.480,31.6875,,7,12,16,15,23,0
uciteljica,RUNTIME_ERROR,0,1.64%,0.000,0,,0,0,0,0,0,0
zbunjenost,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0
TOTAL,,409,25.92%,,,16.00%,,,,,,
