problem,status,score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3
estimathon,ACCEPTED,50,100.00%,0.000,0,,11,39,0,0
dirigent,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0
baltazar,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0
bomboni,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0
skrivaca,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0
kalendar,ACCEPTED,50,100.00%,0.020,0,,7,19,24,0
diskurs,RUNTIME_ERROR,0,0.00%,0.030,5.94140625,,0,0,0,0
logaritam,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0
slasticarnica,RUNTIME_ERROR,0,0.00%,0.030,1.7734375,,0,0,0,0
zastave,RUNTIME_ERROR,0,23.81%,0.050,2.58984375,,0,0,0,0
7krokods,RUNTIME_ERROR,0,0.00%,0.000,0,,0,0,0,0
zrinka,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0
bojanje,MEMORY_LIMIT_EXCEEDED,0,6.67%,0.020,0.00390625,,0,0,0,0
mreza,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0
vrsta,ACCEPTED,110,100.00%,0.150,13.4765625,,19,26,29,36
tramvaji,ACCEPTED,50,100.00%,0.000,0,,12,13,25,0
ekspert,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0
lampice,TIME_LIMIT_EXCEEDED,0,2.38%,3.600,1.87109375,,0,0,0,0
prijateljice,RUNTIME_ERROR,0,29.33%,0.020,0,,0,0,0,0
kruhologija,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0
desniklik,ACCEPTED,50,100.00%,0.000,0,,5,15,30,0
cokolade,TIME_LIMIT_EXCEEDED,15,25.00%,1.230,2.84765625,,15,0,0,0
berilij,RUNTIME_ERROR,0,2.27%,0.090,10.57421875,,0,0,0,0
iksevi,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0
neboderi,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0
TOTAL,,325,23.58%,,,20.00%,,,,
