problem,status,score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_10,subtask_11,subtask_12,subtask_13,subtask_14,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6,subtask_7,subtask_8,subtask_9
Dreaming_is_not_harmful,MEMORY_LIMIT_EXCEEDED,0,5.61%,0.310,241.828125,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cute_Subsequences,RUNTIME_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The_arithmetic_exercise,RUNTIME_ERROR,4,13.04%,0.050,4.625,,0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alice_Bob_and_two_arrays,ACCEPTED,100,100.00%,0.350,9.03515625,,0.0,13.0,10.0,7.0,0,0,0,12.0,11.0,8.0,10.0,7.0,6.0,7.0,9.0
Card_Flip,RUNTIME_ERROR,0,10.78%,0.470,32.25390625,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Order_Statistics,RUNTIME_ERROR,0,0.00%,0.060,5.93359375,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Best_Runner,RUNTIME_ERROR,34,37.10%,0.060,9.29296875,,0.0,23.0,0,0,0,0,0,0,0,0,11.0,0,0,0,0
Strong_Connectivity_Strikes_Back,ACCEPTED,100,100.00%,0.040,1.91796875,,0.0,11.0,0,0,0,0,0,9.0,12.0,13.0,20.0,21.0,14.0,0,0
Colorful_Diameter,TIME_LIMIT_EXCEEDED,29,72.16%,7.720,23.9453125,,0.0,10.0,0,0,0,0,0,8.0,11.0,0,0,0,0,0,0
Road_Lighting,TIME_LIMIT_EXCEEDED,24,63.16%,2.210,27.24609375,,0.0,14.0,0,0,0,0,0,0,10.0,0,0,0,0,0,0
Repainting_the_Table,RUNTIME_ERROR,0,19.44%,0.040,0.00390625,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Distinctive_Features,TIME_LIMIT_EXCEEDED,30,53.36%,3.310,45.38671875,,0.0,10.0,0,0,0,0,0,7.0,13.0,0,0,0,0,0,0
Classic_Tree_Problem,RUNTIME_ERROR,0,0.00%,0.030,0.00390625,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alien_Homophones,TIME_LIMIT_EXCEEDED,38,89.37%,2.210,27.0078125,,0.0,8.0,0,0,0,0,0,7.0,0,0,0,6.0,7.0,10.0,0
Stone_Enthusiast,ACCEPTED,100,100.00%,0.330,21.78125,,0.0,16.0,0,0,0,0,0,14.0,12.0,16.0,11.0,17.0,14.0,0,0
Egors_Gaming_Addiction,TIME_LIMIT_EXCEEDED,15,60.19%,2.220,34.46484375,,0.0,8.0,0,0,0,0,0,7.0,0,0,0,0,0,0,0
Ultrafast_train,TIME_LIMIT_EXCEEDED,17,59.69%,1.110,119.62890625,,0.0,17.0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL,,491,46.11%,,,17.65%,,,,,,,,,,,,,,,
