problem,status,score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6
s1,ACCEPTED,15,100.00%,0.240,5.16796875,,2,1,2,5,5,0,0
s2,ACCEPTED,15,100.00%,0.040,0.00390625,,5,5,2,3,0,0,0
s3,RUNTIME_ERROR,0,0.00%,0.100,3.62109375,,0,0,0,0,0,0,0
s4,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0
s5,RUNTIME_ERROR,0,2.65%,0.040,2.84765625,,0,0,0,0,0,0,0
d1p1,TIME_LIMIT_EXCEEDED,0,10.71%,4.460,96.9453125,,0,0,0,0,0,0,0
d1p2,RUNTIME_ERROR,0,0.00%,0.700,680.375,,0,0,0,0,0,0,0
d1p3,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0
d2p1,UNKNOWN,0,0.00%,0.000,0,,0,0,0,0,0,0,0
d2p2,RUNTIME_ERROR,0,0.56%,0.070,5.94140625,,0,0,0,0,0,0,0
d2p3,RUNTIME_ERROR,0,1.15%,0.090,18.5703125,,0,0,0,0,0,0,0
j1,ACCEPTED,15,100.00%,0.000,0,,15,0,0,0,0,0,0
j2,ACCEPTED,15,100.00%,0.050,0.00390625,,15,0,0,0,0,0,0
j3,ACCEPTED,15,100.00%,0.060,2.328125,,6,7,2,0,0,0,0
j4,RUNTIME_ERROR,6,41.94%,0.060,2.0546875,,3,3,0,0,0,0,0
j5,ACCEPTED,15,100.00%,0.050,1.5546875,,1,4,5,5,0,0,0
TOTAL,,96,41.06%,,,37.50%,,,,,,,
