Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,Colorful_graph,Colorful_graph_rel,Hard_problem,Hard_problem_rel,Legs_warm-up_exercise,Legs_warm-up_exercise_rel,Lunch,Lunch_rel,Paired_roads,Paired_roads_rel,Space_accident,Space_accident_rel,Tournament,Tournament_rel,Yet_another_queries,Yet_another_queries_rel,You_need_to_train_more,You_need_to_train_more_rel
gpt-5,698.00,,86.61%,66.67%,1.020,14.33,9,100.00,,100.00,,18.00,,100.00,,0.00,,100.00,,80.00,,100.00,,100.00,
gpt-oss-120b-high,680.00,,81.82%,66.67%,0.222,16.77,9,100.00,,100.00,,0.00,,100.00,,0.00,,100.00,,80.00,,100.00,,100.00,
gpt-oss-120b-low,616.00,,71.04%,66.67%,0.176,15.08,9,100.00,,100.00,,0.00,,16.00,,0.00,,100.00,,100.00,,100.00,,100.00,
gpt-o3-mini-high,616.00,,73.87%,66.67%,0.919,13.94,9,100.00,,100.00,,0.00,,16.00,,0.00,,100.00,,100.00,,100.00,,100.00,
gpt-oss-20b-medium,607.00,,69.03%,55.56%,0.286,8.98,9,100.00,,100.00,,0.00,,16.00,,0.00,,100.00,,100.00,,91.00,,100.00,
seed-oss_-1,593.00,,71.50%,55.56%,1.041,9.82,9,100.00,,100.00,,10.00,,16.00,,0.00,,100.00,,100.00,,67.00,,100.00,
gpt-oss-120b-medium,583.00,64.78%,76.26%,55.56%,0.971,15.69,9,100.00,100.00%,100.00,100.00%,18.00,18.00%,16.00,16.00%,0.00,0.00%,49.00,49.00%,100.00,100.00%,100.00,100.00%,100.00,100.00%
gemini-2.5-pro,583.00,,78.27%,44.44%,1.364,41.74,9,64.00,,100.00,,10.00,,29.00,,0.00,,100.00,,80.00,,100.00,,100.00,
gemini-2.5-flash,558.00,,77.21%,33.33%,1.890,43.91,9,64.00,,100.00,,18.00,,29.00,,0.00,,100.00,,80.00,,67.00,,100.00,
seed-oss_16384,512.00,,65.63%,33.33%,0.233,12.35,9,100.00,,100.00,,0.00,,16.00,,0.00,,49.00,,80.00,,67.00,,100.00,
QwQ-32B,496.00,,60.41%,44.44%,0.191,11.96,9,100.00,,100.00,,0.00,,16.00,,0.00,,100.00,,80.00,,0.00,,100.00,
gpt-oss-20b-low,484.00,,60.31%,44.44%,0.232,5.59,9,100.00,,100.00,,0.00,,16.00,,0.00,,49.00,,100.00,,19.00,,100.00,
gpt-oss-20b-high,480.00,,71.02%,57.14%,0.169,12.76,7,100.00,,N/A,,0.00,,N/A,,0.00,,100.00,,80.00,,100.00,,100.00,
deepseek-reasoner,472.00,,64.41%,33.33%,0.238,8.26,9,100.00,,100.00,,0.00,,0.00,,0.00,,25.00,,80.00,,67.00,,100.00,
Qwen3-14B,461.00,,59.69%,44.44%,0.274,4.69,9,100.00,,100.00,,0.00,,16.00,,0.00,,26.00,,100.00,,19.00,,100.00,
Qwen3-32B,456.00,,60.00%,33.33%,0.230,4.88,9,100.00,,100.00,,0.00,,16.00,,0.00,,41.00,,80.00,,19.00,,100.00,
seed-oss_8192,453.00,,56.06%,33.33%,0.266,40.36,9,100.00,,100.00,,0.00,,16.00,,0.00,,100.00,,80.00,,57.00,,0.00,
Qwen3-30B,441.00,,59.00%,33.33%,0.627,4.48,9,100.00,,100.00,,0.00,,16.00,,0.00,,26.00,,80.00,,19.00,,100.00,
Qwen3-4B,408.00,,54.28%,33.33%,0.361,4.46,9,100.00,,100.00,,0.00,,0.00,,0.00,,15.00,,100.00,,19.00,,74.00,
Qwen3-8B,408.00,,53.80%,33.33%,0.370,6.17,9,100.00,,100.00,,0.00,,0.00,,0.00,,15.00,,100.00,,19.00,,74.00,
DeepSeek-R1-Distill-Llama-70B,377.00,,56.51%,22.22%,0.457,18.66,9,100.00,,100.00,,0.00,,16.00,,0.00,,25.00,,80.00,,19.00,,37.00,
Qwen2.5-Coder-14B-Instruct,373.00,,50.94%,22.22%,0.373,2.95,9,100.00,,100.00,,0.00,,0.00,,0.00,,0.00,,80.00,,19.00,,74.00,
Qwen3-8B-Non-Thinking,373.00,,47.63%,22.22%,0.449,2.08,9,100.00,,100.00,,0.00,,0.00,,0.00,,0.00,,80.00,,19.00,,74.00,
DeepSeek-R1-Distill-Qwen-32B,349.00,,42.58%,33.33%,0.157,32.89,9,100.00,,100.00,,0.00,,0.00,,0.00,,49.00,,100.00,,0.00,,0.00,
gpt-4.1,338.00,,48.81%,11.11%,0.303,41.42,9,0.00,,100.00,,0.00,,16.00,,0.00,,49.00,,80.00,,19.00,,74.00,
DeepSeek-R1-Distill-Qwen-14B,333.00,,45.60%,33.33%,0.244,4.78,9,100.00,,100.00,,0.00,,0.00,,0.00,,15.00,,100.00,,0.00,,18.00,
seed-oss_4096,306.00,,42.46%,22.22%,0.276,40.93,9,100.00,,100.00,,0.00,,16.00,,0.00,,10.00,,80.00,,0.00,,0.00,
deepseek-chat,299.00,,45.96%,11.11%,0.530,7.49,9,10.00,,100.00,,0.00,,16.00,,0.00,,0.00,,80.00,,19.00,,74.00,
seed-oss_1024,296.00,,39.14%,22.22%,0.628,32.49,9,100.00,,100.00,,0.00,,16.00,,0.00,,0.00,,80.00,,0.00,,0.00,
Mistral-Large-Instruct-2411,289.00,,40.50%,11.11%,0.649,6.63,9,0.00,,100.00,,0.00,,16.00,,0.00,,0.00,,80.00,,19.00,,74.00,
Llama-3.3-70B-Instruct,284.00,,40.02%,22.22%,0.546,12.15,9,0.00,,100.00,,0.00,,0.00,,0.00,,10.00,,100.00,,19.00,,55.00,
Mistral-Small-3.1-24B-2503,273.00,,37.69%,11.11%,0.506,5.07,9,0.00,,100.00,,0.00,,0.00,,0.00,,0.00,,80.00,,19.00,,74.00,
Qwen2.5-72B,264.00,,38.27%,11.11%,0.402,5.64,9,0.00,,100.00,,0.00,,0.00,,0.00,,10.00,,80.00,,19.00,,55.00,
Qwen3-30B-Non-Thinking,264.00,,35.79%,11.11%,0.404,18.48,9,0.00,,100.00,,0.00,,0.00,,0.00,,10.00,,80.00,,0.00,,74.00,
Qwen2.5-Coder-32B-Instruct,264.00,,42.40%,11.11%,0.680,10.51,9,10.00,,100.00,,0.00,,0.00,,0.00,,0.00,,80.00,,19.00,,55.00,
seed-oss_0,263.00,,40.06%,11.11%,0.260,30.45,9,64.00,,100.00,,0.00,,0.00,,0.00,,0.00,,80.00,,19.00,,0.00,
Qwen3-32B-Non-Thinking,254.00,,38.76%,11.11%,0.539,17.05,9,0.00,,100.00,,0.00,,0.00,,0.00,,0.00,,80.00,,19.00,,55.00,
Qwen3-14B-Non-Thinking,228.00,,36.48%,22.22%,0.943,39.78,9,0.00,,100.00,,0.00,,0.00,,0.00,,10.00,,100.00,,0.00,,18.00,
seed-oss_2048,221.00,,36.04%,11.11%,0.303,31.61,9,10.00,,100.00,,0.00,,16.00,,0.00,,15.00,,80.00,,0.00,,0.00,
Llama-4-Scout,219.00,,29.90%,22.22%,0.286,1.24,9,0.00,,100.00,,0.00,,0.00,,0.00,,0.00,,100.00,,19.00,,0.00,
Qwen2.5-Coder-7B-Instruct,199.00,,29.59%,11.11%,0.216,2.30,9,0.00,,100.00,,0.00,,0.00,,0.00,,0.00,,80.00,,19.00,,0.00,
seed-oss_512,190.00,,30.71%,11.11%,0.027,1.03,9,0.00,,100.00,,0.00,,0.00,,0.00,,10.00,,80.00,,0.00,,0.00,
Llama-3.1-8B-Instruct,190.00,,25.61%,11.11%,0.060,28.69,9,10.00,,100.00,,0.00,,0.00,,0.00,,0.00,,80.00,,0.00,,0.00,
Qwen3-4B-Non-Thinking,180.00,,25.74%,11.11%,0.701,4.83,9,0.00,,100.00,,0.00,,0.00,,0.00,,0.00,,80.00,,0.00,,0.00,
Codestral-22B-v0.1,165.00,,27.43%,11.11%,0.208,0.58,9,0.00,,65.00,,0.00,,0.00,,0.00,,0.00,,100.00,,0.00,,0.00,
DeepSeek-Coder-V2-Lite-Instruct,112.00,,23.57%,0.00%,0.460,1.83,9,0.00,,32.00,,0.00,,0.00,,0.00,,0.00,,80.00,,0.00,,0.00,
DeepSeek-R1-Distill-Llama-8B,100.00,,11.89%,11.11%,0.000,0.00,9,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,100.00,,0.00,,0.00,
DeepSeek-R1-Distill-Qwen-7B,0.00,,0.00%,0.00%,0.000,0.00,3,0.00,,N/A,,N/A,,N/A,,N/A,,N/A,,0.00,,0.00,,N/A,
