Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,bronze_Candy_Cane_Feast,bronze_Candy_Cane_Feast_rel,bronze_Cowntact_Tracing_2,bronze_Cowntact_Tracing_2_rel,bronze_Farmer_John_Actually_Farms,bronze_Farmer_John_Actually_Farms_rel,gold_Flight_Routes,gold_Flight_Routes_rel,gold_Haybale_Distribution,gold_Haybale_Distribution_rel,gold_Minimum_Longest_Trip,gold_Minimum_Longest_Trip_rel,platinum_A_Graph_Problem,platinum_A_Graph_Problem_rel,platinum_Cowntact_Tracing,platinum_Cowntact_Tracing_rel,platinum_Train_Scheduling,platinum_Train_Scheduling_rel,silver_Bovine_Acrobatics,silver_Bovine_Acrobatics_rel,silver_Cycle_Correspondence,silver_Cycle_Correspondence_rel,silver_Target_Practice,silver_Target_Practice_rel
gemini-2.5-pro,3514.00,90.24%,89.67%,75.00%,0.182,10.64,12,333.00,102.46%,167.00,50.61%,333.00,100.91%,333.00,104.06%,333.00,100.91%,333.00,104.06%,333.00,104.06%,50.00,15.62%,300.00,93.75%,333.00,100.91%,333.00,102.78%,333.00,102.78%
gpt-oss-120b_sp3,3497.00,89.67%,89.13%,83.33%,0.501,23.77,12,333.00,102.46%,333.00,100.91%,333.00,100.91%,333.00,104.06%,333.00,100.91%,333.00,104.06%,50.00,15.62%,117.00,36.56%,333.00,104.06%,333.00,100.91%,333.00,102.78%,333.00,102.78%
seed-oss_-1,3481.00,89.25%,88.80%,75.00%,0.366,22.61,12,333.00,102.46%,333.00,100.91%,333.00,100.91%,333.00,104.06%,333.00,100.91%,333.00,104.06%,117.00,36.56%,67.00,20.94%,300.00,93.75%,333.00,100.91%,333.00,102.78%,333.00,102.78%
gpt-oss-120b_sp4,3464.00,88.81%,88.44%,75.00%,0.552,28.21,12,333.00,102.46%,333.00,100.91%,333.00,100.91%,333.00,104.06%,333.00,100.91%,333.00,104.06%,50.00,15.62%,117.00,36.56%,300.00,93.75%,333.00,100.91%,333.00,102.78%,333.00,102.78%
gpt-oss-120b_sp1,3447.00,88.37%,88.04%,83.33%,0.386,24.33,12,333.00,102.46%,333.00,100.91%,333.00,100.91%,333.00,104.06%,333.00,100.91%,333.00,104.06%,50.00,15.62%,67.00,20.94%,333.00,104.06%,333.00,100.91%,333.00,102.78%,333.00,102.78%
gpt-oss-20b-high,3414.00,87.51%,86.96%,83.33%,0.708,8.61,12,333.00,102.46%,333.00,100.91%,333.00,100.91%,333.00,104.06%,333.00,100.91%,333.00,104.06%,17.00,5.31%,67.00,20.94%,333.00,104.06%,333.00,100.91%,333.00,102.78%,333.00,102.78%
gpt-5,3414.00,87.51%,87.35%,75.00%,0.362,9.73,12,333.00,102.46%,333.00,100.91%,333.00,100.91%,333.00,104.06%,333.00,100.91%,333.00,104.06%,50.00,15.62%,67.00,20.94%,300.00,93.75%,333.00,100.91%,333.00,102.78%,333.00,102.78%
gpt-oss-120b-high,3397.00,87.06%,86.96%,83.33%,0.403,17.61,12,333.00,102.46%,333.00,100.91%,333.00,100.91%,333.00,104.06%,333.00,100.91%,333.00,104.06%,0.00,0.00%,67.00,20.94%,333.00,104.06%,333.00,100.91%,333.00,102.78%,333.00,102.78%
gpt-oss-120b-medium,3397.00,87.06%,86.99%,75.00%,0.234,31.89,12,333.00,102.46%,333.00,100.91%,333.00,100.91%,333.00,104.06%,333.00,100.91%,333.00,104.06%,0.00,0.00%,100.00,31.25%,300.00,93.75%,333.00,100.91%,333.00,102.78%,333.00,102.78%
gpt-oss-20b-medium,3348.00,85.82%,86.04%,66.67%,0.544,8.87,12,333.00,102.46%,333.00,100.91%,333.00,100.91%,333.00,104.06%,333.00,100.91%,333.00,104.06%,17.00,5.31%,117.00,36.56%,300.00,93.75%,333.00,100.91%,333.00,102.78%,250.00,77.16%
