Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count
gpt-5,771.00,,62.38%,27.78%,0.647,21.81,18
gemini-2.5-pro,692.00,,60.12%,22.22%,1.112,139.11,18
gpt-oss-120b-high,611.00,,49.72%,27.78%,0.448,23.85,18
gpt-oss-120b-medium,556.00,30.89%,46.71%,22.22%,0.503,19.16,18
seed-oss_-1,550.00,,48.46%,22.22%,0.626,27.95,18
gpt-oss-20b-medium,534.00,,42.69%,22.22%,0.450,19.60,18
gpt-o3-mini-high,506.00,,41.71%,16.67%,0.738,36.71,18
seed-oss_8192,490.00,,36.16%,22.22%,0.291,89.22,18
gemini-2.5-flash,408.00,,45.46%,5.56%,0.988,69.95,18
seed-oss_16384,362.00,,38.93%,11.11%,0.618,23.21,18
gpt-oss-120b-low,311.00,,31.99%,11.11%,0.454,77.01,18
deepseek-reasoner,273.00,,38.23%,5.56%,0.446,15.60,18
Qwen3-32B,248.00,,35.47%,5.56%,0.666,22.23,18
Qwen3-30B,191.00,,29.24%,5.56%,0.328,10.93,18
gpt-4.1,178.00,,32.31%,0.00%,1.350,110.06,18
QwQ-32B,84.00,,24.29%,0.00%,0.178,10.03,18
gpt-oss-20b-low,79.00,,19.17%,0.00%,0.247,5.61,17
Qwen2.5-72B,52.00,,15.63%,0.00%,0.125,7.54,18
DeepSeek-R1-Distill-Llama-70B,51.00,,17.08%,0.00%,0.220,14.12,18
seed-oss_4096,51.00,,12.52%,0.00%,0.436,8.98,18
Qwen3-14B,46.00,,26.20%,0.00%,0.513,15.13,18
Llama-4-Scout,42.00,,12.16%,0.00%,0.042,31.24,18
Qwen3-4B,42.00,,12.75%,0.00%,0.259,3.86,18
Mistral-Large-Instruct-2411,39.00,,14.90%,0.00%,0.513,25.48,18
Qwen2.5-Coder-14B-Instruct,38.00,,10.21%,0.00%,0.102,3.89,18
DeepSeek-R1-Distill-Qwen-32B,37.00,,11.56%,0.00%,0.248,9.10,18
Qwen2.5-Coder-32B-Instruct,36.00,,13.69%,0.00%,0.343,22.82,18
Qwen3-30B-Non-Thinking,32.00,,13.55%,0.00%,0.568,26.82,18
DeepSeek-R1-Distill-Qwen-14B,30.00,,11.46%,0.00%,0.432,11.04,18
Qwen3-8B,30.00,,18.10%,0.00%,0.622,10.29,18
Qwen3-32B-Non-Thinking,22.00,,13.46%,0.00%,0.229,36.85,18
Qwen3-4B-Non-Thinking,22.00,,7.06%,0.00%,0.246,16.20,18
Mistral-Small-3.1-24B-2503,21.00,,7.25%,0.00%,0.133,6.25,18
deepseek-chat,21.00,,16.33%,0.00%,0.179,13.02,18
Llama-3.3-70B-Instruct,21.00,,9.22%,0.00%,0.272,5.26,18
seed-oss_2048,11.00,,5.13%,0.00%,0.046,5.55,18
DeepSeek-Coder-V2-Lite-Instruct,9.00,,5.77%,0.00%,0.126,19.60,18
Codestral-22B-v0.1,9.00,,3.75%,0.00%,0.151,4.27,18
seed-oss_0,1.00,,3.76%,0.00%,0.218,5.18,18
gpt-oss-20b-high,0.00,,0.00%,0.00%,0.000,0.00,1
Qwen3-14B-Non-Thinking,0.00,,0.00%,0.00%,0.000,0.00,1
Qwen3-8B-Non-Thinking,0.00,,0.00%,0.00%,0.000,0.00,1
DeepSeek-R1-Distill-Qwen-7B,0.00,,0.00%,0.00%,0.000,0.00,18
DeepSeek-R1-Distill-Llama-8B,0.00,,0.70%,0.00%,0.003,0.09,18
seed-oss_1024,0.00,,2.42%,0.00%,0.092,69.05,18
Llama-3.1-8B-Instruct,0.00,,2.18%,0.00%,0.102,4.67,18
Qwen2.5-Coder-7B-Instruct,0.00,,2.41%,0.00%,0.160,4.76,18
seed-oss_512,0.00,,4.47%,0.00%,0.176,8.80,18
