problem,status,score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4
estimathon,ACCEPTED,50,100.00%,0.000,0,,11,39,0,0,0
dirigent,ACCEPTED,70,100.00%,0.170,3.6171875,,15,20,35,0,0
baltazar,TIME_LIMIT_EXCEEDED,15,62.50%,4.810,38.703125,,15,0,0,0,0
bomboni,ACCEPTED,110,100.00%,0.290,15.7265625,,13,17,33,47,0
skrivaca,TIME_LIMIT_EXCEEDED,0,2.13%,2.240,15.9609375,,0,0,0,0,0
kalendar,ACCEPTED,50,100.00%,0.000,0,,7,19,24,0,0
diskurs,TIME_LIMIT_EXCEEDED,20,26.00%,2.370,5.42578125,,20,0,0,0,0
logaritam,ACCEPTED,110,100.00%,0.210,0.00390625,,19,26,29,36,0
slasticarnica,RUNTIME_ERROR,0,2.50%,0.050,0.00390625,,0,0,0,0,0
zastave,ACCEPTED,110,100.00%,0.120,2.07421875,,41,22,47,0,0
7krokods,RUNTIME_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
zrinka,RUNTIME_ERROR,35,40.00%,0.000,0,,15,20,0,0,0
bojanje,ACCEPTED,110,100.00%,0.060,0.00390625,,30,40,40,0,0
mreza,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
vrsta,ACCEPTED,110,100.00%,0.320,9.0,,19,26,29,36,0
tramvaji,ACCEPTED,50,100.00%,0.000,0,,12,13,25,0,0
ekspert,RUNTIME_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
lampice,RUNTIME_ERROR,0,4.76%,0.120,0.00390625,,0,0,0,0,0
prijateljice,ACCEPTED,110,100.00%,0.110,43.67578125,,20,30,60,0,0
kruhologija,UNKNOWN,0,0.00%,0.000,0,,0,0,0,0,0
desniklik,ACCEPTED,50,100.00%,0.000,0,,5,15,30,0,0
cokolade,TIME_LIMIT_EXCEEDED,15,25.00%,1.120,2.84765625,,15,0,0,0,0
berilij,RUNTIME_ERROR,0,2.27%,0.180,12.81640625,,0,0,0,0,0
iksevi,TIME_LIMIT_EXCEEDED,70,88.89%,3.310,0.00390625,,15,55,0,0,0
neboderi,ACCEPTED,110,100.00%,0.730,9.03125,,11,22,27,18,32
TOTAL,,1195,58.16%,,,48.00%,,,,,
