competition_year,model,total_score,avg %passed,avg_time,avg_mem,pass_rate
ALL_COMPETITIONS,Qwen3-8B-Non-Thinking,1665,10.80%,0.46,60.49,2.33%
APIO-2023,Qwen3-8B-Non-Thinking,31,22.70%,1.61,187.95,0.00%
APIO-2024,Qwen3-8B-Non-Thinking,0,0.00%,0.00,0.00,0.00%
BOI-2023,Qwen3-8B-Non-Thinking,11,11.80%,0.01,0.25,0.00%
BOI-2024,Qwen3-8B-Non-Thinking,0,0.00%,0.00,0.00,0.00%
BOI-2025,Qwen3-8B-Non-Thinking,0,3.53%,0.34,52.87,0.00%
CCO-2023,Qwen3-8B-Non-Thinking,77,35.96%,0.62,2.57,18.75%
CCO-2024,Qwen3-8B-Non-Thinking,53,23.16%,0.74,100.24,20.00%
CEOI-2023,Qwen3-8B-Non-Thinking,0,0.22%,0.02,0.00,0.00%
CEOI-2024,Qwen3-8B-Non-Thinking,20,18.15%,1.54,225.49,0.00%
COCI-2023,Qwen3-8B-Non-Thinking,231,16.45%,0.47,1.90,4.00%
COCI-2024,Qwen3-8B-Non-Thinking,259,22.76%,0.58,36.43,16.00%
COCI-2025,Qwen3-8B-Non-Thinking,323,25.01%,0.78,12.53,4.00%
EGOI-2023,Qwen3-8B-Non-Thinking,19,8.52%,0.19,115.56,0.00%
EGOI-2024,Qwen3-8B-Non-Thinking,20,20.28%,0.71,140.61,0.00%
EJOI-2023,Qwen3-8B-Non-Thinking,0,0.40%,0.20,0.95,0.00%
EJOI-2024,Qwen3-8B-Non-Thinking,24,13.32%,1.05,3.08,0.00%
IATI-2024,Qwen3-8B-Non-Thinking,45,12.16%,0.25,27.40,0.00%
IOI-2023,Qwen3-8B-Non-Thinking,0,0.65%,0.29,4.62,0.00%
IOI-2024,Qwen3-8B-Non-Thinking,42,15.82%,0.57,387.67,0.00%
JOI-2023,Qwen3-8B-Non-Thinking,0,0.00%,0.00,0.00,0.00%
JOI-2024,Qwen3-8B-Non-Thinking,0,0.00%,0.00,0.00,0.00%
JOI-2025,Qwen3-8B-Non-Thinking,28,22.02%,0.41,219.46,0.00%
NOINordic-2023,Qwen3-8B-Non-Thinking,44,28.31%,1.85,2.24,0.00%
NOINordic-2024,Qwen3-8B-Non-Thinking,0,0.00%,0.05,3.27,0.00%
NOINordic-2025,Qwen3-8B-Non-Thinking,0,6.60%,1.71,361.72,0.00%
OOI-2023,Qwen3-8B-Non-Thinking,409,28.86%,0.38,1.95,11.76%
OOI-2024,Qwen3-8B-Non-Thinking,29,8.83%,0.46,47.04,0.00%
RMI-2023,Qwen3-8B-Non-Thinking,0,0.00%,0.00,0.00,0.00%
RMI-2024,Qwen3-8B-Non-Thinking,0,0.00%,0.00,0.00,0.00%
USACO-2023,Qwen3-8B-Non-Thinking,0,0.00%,0.00,0.00,0.00%
USACO-2024,Qwen3-8B-Non-Thinking,0,0.00%,0.00,0.00,0.00%
USACO-2025,Qwen3-8B-Non-Thinking,0,0.00%,0.00,0.00,0.00%
