solution,status,score,%test passed,time,memory,subtask_0,subtask_1,subtask_2,subtask_3
s3_seed-oss_0.cpp,RUNTIME_ERROR,0,0.00%,0.000,0,0,0,0,0
s3_seed-oss_1.cpp,RUNTIME_ERROR,0,0.00%,0.000,0,0,0,0,0
s3_seed-oss_1.cpp,RUNTIME_ERROR,0,0.00%,0.000,0,0,0,0,0
s3_seed-oss_1.cpp,RUNTIME_ERROR,0,0.00%,0.000,0,0,0,0,0
s3_seed-oss_1.cpp,RUNTIME_ERROR,0,0.00%,0.000,0,0,0,0,0
s3_seed-oss_1.cpp,RUNTIME_ERROR,0,0.00%,0.000,0,0,0,0,0
s3_seed-oss_2.cpp,RUNTIME_ERROR,0,0.00%,0.030,2.53125,0,0,0,0
s3_seed-oss_3.cpp,RUNTIME_ERROR,0,0.00%,0.040,10.57421875,0,0,0,0
s3_seed-oss_5.cpp,RUNTIME_ERROR,0,0.00%,0.000,0,0,0,0,0
s3_seed-oss_5.cpp,RUNTIME_ERROR,0,0.00%,0.000,0,0,0,0,0
s3_seed-oss_5.cpp,RUNTIME_ERROR,0,0.00%,0.000,0,0,0,0,0
s3_seed-oss_5.cpp,RUNTIME_ERROR,0,0.00%,0.000,0,0,0,0,0
s3_seed-oss_6.cpp,RUNTIME_ERROR,0,0.00%,0.070,3.875,0,0,0,0
s3_seed-oss_7.cpp,RUNTIME_ERROR,0,0.00%,0.000,0,0,0,0,0
