problem,status,score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5
s1j4,ACCEPTED,15,100.00%,0.010,3.015625,,3,3,5,4,0,0
s2,ACCEPTED,15,100.00%,0.030,0.00390625,,5,5,5,0,0,0
s3,RUNTIME_ERROR,0,13.10%,0.080,91.5234375,,0,0,0,0,0,0
s4,ACCEPTED,15,100.00%,0.720,124.73046875,,3,6,6,0,0,0
s5,RUNTIME_ERROR,3,28.12%,0.060,5.4765625,,3,0,0,0,0,0
d1p1,ACCEPTED,25,100.00%,0.040,8.97265625,,3,3,4,4,4,7
d2p3,RUNTIME_ERROR,5,69.81%,0.540,52.6015625,,0,0,0,5,0,0
j1,ACCEPTED,15,100.00%,0.000,0,,15,0,0,0,0,0
j2,ACCEPTED,15,100.00%,0.000,0,,15,0,0,0,0,0
j3,ACCEPTED,15,100.00%,0.000,0,,6,6,3,0,0,0
s1j4,ACCEPTED,15,100.00%,0.010,2.84765625,,3,3,5,4,0,0
j5,ACCEPTED,15,100.00%,0.000,0.00390625,,2,2,2,9,0,0
TOTAL,,153,84.25%,,,75.00%,,,,,,
