problem,status,score,relative_score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4
estimathon,RUNTIME_ERROR,39,78.00%,66.67%,0.040,0,,0,39,0,0,0
dirigent,TIME_LIMIT_EXCEEDED,35,50.00%,60.71%,1.210,1.55859375,,15,20,0,0,0
baltazar,RUNTIME_ERROR,0,0.00%,0.00%,0.080,8.13671875,,0,0,0,0,0
bomboni,MEMORY_LIMIT_EXCEEDED,30,27.27%,40.00%,1.780,613.7109375,,13,17,0,0,0
skrivaca,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
kalendar,ACCEPTED,50,100.00%,100.00%,0.000,0,,7,19,24,0,0
diskurs,TIME_LIMIT_EXCEEDED,20,28.57%,22.00%,2.410,2.0703125,,20,0,0,0,0
logaritam,RUNTIME_ERROR,0,0.00%,0.00%,0.040,1.69140625,,0,0,0,0,0
slasticarnica,RUNTIME_ERROR,0,0.00%,2.50%,0.040,0.00390625,,0,0,0,0,0
zastave,RUNTIME_ERROR,0,0.00%,23.81%,0.050,2.07421875,,0,0,0,0,0
7krokods,RUNTIME_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
zrinka,RUNTIME_ERROR,20,28.57%,20.00%,0.050,0.00390625,,0,20,0,0,0
bojanje,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
mreza,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
vrsta,RUNTIME_ERROR,26,23.64%,20.00%,0.090,4.39453125,,0,26,0,0,0
tramvaji,ACCEPTED,50,100.00%,100.00%,0.050,0.00390625,,12,13,25,0,0
ekspert,RUNTIME_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
lampice,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
prijateljice,RUNTIME_ERROR,60,54.55%,42.67%,0.070,9.80078125,,0,0,60,0,0
kruhologija,UNKNOWN,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
desniklik,ACCEPTED,50,100.00%,100.00%,0.000,0,,5,15,30,0,0
cokolade,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
berilij,RUNTIME_ERROR,0,0.00%,2.27%,0.130,9.8046875,,0,0,0,0,0
iksevi,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
neboderi,RUNTIME_ERROR,0,0.00%,0.00%,0.110,45.44140625,,0,0,0,0,0
TOTAL,,380,,24.03%,,,12.00%,,,,,
