competition_year,ACCEPTED,WRONG_ANSWER,TIME_LIMIT_EXCEEDED,MEMORY_LIMIT_EXCEEDED,COMPILATION_ERROR,RUNTIME_ERROR,UNKNOWN,empty solutions
ALL_COMPETITIONS,3310,605,1449,245,616,2585,111,2718
APIO-2023,0,0,4,0,0,14,0,6
APIO-2024,8,0,4,0,3,1,0,0
BOI-2023,7,0,12,0,4,24,0,1
BOI-2024,4,0,5,5,5,28,0,1
BOI-2025,2,0,15,1,1,23,1,5
CCO-2023,45,0,11,1,5,51,0,15
CCO-2024,66,0,5,0,6,39,0,12
CEOI-2023,1,0,12,0,4,20,0,3
CEOI-2024,5,0,3,0,7,27,0,6
COCI-2023,81,0,10,2,5,21,0,1
COCI-2024,129,0,16,3,14,31,0,7
COCI-2025,124,2,13,6,7,21,0,3
EGOI-2023,32,0,0,1,0,23,0,0
EGOI-2024,19,0,3,1,1,21,2,1
EJOI-2023,9,0,14,0,12,10,0,3
EJOI-2024,20,0,5,2,11,9,0,1
IATI-2024,20,7,8,1,3,43,4,2
IOI-2023,0,0,12,0,6,28,0,2
IOI-2024,2,0,5,4,5,27,0,5
JOI-2023,3,0,13,1,6,54,0,75
JOI-2024,5,0,22,0,15,44,0,58
JOI-2025,2,0,1,1,1,7,0,28
NOINordic-2023,14,0,3,2,0,3,0,2
NOINordic-2024,6,0,8,1,0,8,0,1
NOINordic-2025,10,0,7,1,0,6,0,0
OOI-2023,32,0,22,13,0,21,9,31
OOI-2024,14,0,12,3,0,43,15,41
RMI-2023,12,0,6,2,2,16,0,10
RMI-2024,1,0,15,1,14,14,1,2
USACO-2023,91,56,35,9,12,7,0,174
USACO-2024,86,59,68,7,10,16,0,138
USACO-2025,64,46,33,2,10,7,0,126
