competition_year,model,total_score,avg %passed,avg_time,avg_mem,pass_rate
ALL_COMPETITIONS,grok-4-fast-reasoning,43417,69.13%,0.79,74.33,43.55%
APIO-2023,grok-4-fast-reasoning,141,56.75%,0.76,23.29,0.00%
APIO-2024,grok-4-fast-reasoning,110,66.07%,0.68,31.44,50.00%
BOI-2023,grok-4-fast-reasoning,220,74.80%,1.30,6.06,16.67%
BOI-2024,grok-4-fast-reasoning,266,67.41%,0.43,87.15,16.67%
BOI-2025,grok-4-fast-reasoning,200,44.00%,0.85,56.65,16.67%
CCO-2023,grok-4-fast-reasoning,160,64.35%,0.22,20.34,50.00%
CCO-2024,grok-4-fast-reasoning,185,68.97%,0.75,36.68,62.50%
CEOI-2023,grok-4-fast-reasoning,150,49.08%,2.08,504.20,20.00%
CEOI-2024,grok-4-fast-reasoning,170,57.16%,1.36,34.17,16.67%
COCI-2023,grok-4-fast-reasoning,1240,93.33%,0.22,26.23,93.33%
COCI-2024,grok-4-fast-reasoning,1847,86.89%,0.38,29.08,80.00%
COCI-2025,grok-4-fast-reasoning,1651,90.46%,0.25,57.02,86.36%
EGOI-2023,grok-4-fast-reasoning,500,75.30%,0.07,12.72,71.43%
EGOI-2024,grok-4-fast-reasoning,459,84.06%,0.31,11.57,66.67%
EJOI-2023,grok-4-fast-reasoning,331,63.58%,0.40,40.43,33.33%
EJOI-2024,grok-4-fast-reasoning,505,84.88%,0.54,84.41,83.33%
IATI-2024,grok-4-fast-reasoning,592,54.65%,0.51,31.26,36.36%
IOI-2023,grok-4-fast-reasoning,119,35.27%,0.69,129.21,0.00%
IOI-2024,grok-4-fast-reasoning,198,58.10%,0.86,420.64,16.67%
JOI-2023,grok-4-fast-reasoning,515,58.78%,0.98,26.51,17.65%
JOI-2024,grok-4-fast-reasoning,647,58.96%,1.50,146.52,17.65%
JOI-2025,grok-4-fast-reasoning,103,46.69%,0.26,59.91,33.33%
NOINordic-2023,grok-4-fast-reasoning,264,93.68%,1.65,83.14,66.67%
NOINordic-2024,grok-4-fast-reasoning,154,70.42%,0.43,6.65,33.33%
NOINordic-2025,grok-4-fast-reasoning,225,87.15%,1.77,19.34,66.67%
OOI-2023,grok-4-fast-reasoning,1137,79.89%,1.16,102.34,43.75%
OOI-2024,grok-4-fast-reasoning,853,68.16%,1.18,42.13,40.00%
RMI-2023,grok-4-fast-reasoning,410,83.77%,0.18,38.03,50.00%
RMI-2024,grok-4-fast-reasoning,273,62.72%,1.37,136.10,16.67%
USACO-2023,grok-4-fast-reasoning,10409,74.56%,0.66,22.28,65.12%
USACO-2024,grok-4-fast-reasoning,11236,75.73%,0.88,41.00,56.52%
USACO-2025,grok-4-fast-reasoning,8147,76.67%,0.56,12.20,69.70%
