problem,status,score,relative_score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_10,subtask_11,subtask_12,subtask_13,subtask_14,subtask_15,subtask_16,subtask_17,subtask_18,subtask_19,subtask_2,subtask_20,subtask_3,subtask_4,subtask_5,subtask_6,subtask_7,subtask_8,subtask_9
platinum_Pareidolia,TIME_LIMIT_EXCEEDED,17,5.31%,9.52%,4.820,1.734375,,0,16.666666666666664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
platinum_Good_Bitstrings,TIME_LIMIT_EXCEEDED,17,5.31%,9.52%,2.450,121.42578125,,0,16.666666666666664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
platinum_Triples_of_Cows,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gold_Custodial_Cleanup,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gold_Pareidolia,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gold_Tree_Merging,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
silver_Milk_Sum,TIME_LIMIT_EXCEEDED,100,30.30%,36.36%,4.820,6.00390625,,0,33.33333333333333,0,0,0,0,0,0,0,0,0,0,33.33333333333333,0,33.33333333333333,0,0,0,0,0,0
silver_Field_Day,TIME_LIMIT_EXCEEDED,0,0.00%,5.00%,2.410,9.2890625,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
silver_Pareidolia,TIME_LIMIT_EXCEEDED,0,0.00%,8.33%,4.820,1.828125,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bronze_FEB,WRONG_ANSWER,118,36.53%,45.00%,0.120,1.9609375,,0,19.6078431372549,0,0,19.6078431372549,0,0,0,0,0,0,0,19.6078431372549,0,19.6078431372549,19.6078431372549,19.6078431372549,0,0,0,0
bronze_Moo_Language,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bronze_Rotate_and_Shift,TIME_LIMIT_EXCEEDED,167,51.54%,53.85%,4.870,2.07421875,,0,27.777777777777775,0,0,0,0,0,0,0,0,0,0,27.777777777777775,0,27.777777777777775,27.777777777777775,27.777777777777775,27.777777777777775,0,0,0
platinum_Tractor_Paths,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
platinum_Mana_Collection,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
platinum_Subtree_Activation,WRONG_ANSWER,0,0.00%,4.76%,0.170,7.9453125,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gold_Find_and_Replace,TIME_LIMIT_EXCEEDED,0,0.00%,6.67%,2.460,9.14453125,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gold_Lights_Off,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gold_Moo_Route,WRONG_ANSWER,0,0.00%,4.76%,0.150,7.48828125,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
silver_Find_and_Replace,WRONG_ANSWER,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
silver_Following_Directions,TIME_LIMIT_EXCEEDED,143,44.41%,46.67%,9.610,9.296875,,0,23.809523809523807,0,0,0,0,0,0,0,0,0,0,23.809523809523807,0,23.809523809523807,23.809523809523807,23.809523809523807,23.809523809523807,0,0,0
silver_Moo_Route,RUNTIME_ERROR,19,5.86%,5.00%,0.120,2.04296875,,0,18.51851851851852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bronze_Leaders,WRONG_ANSWER,0,0.00%,5.88%,0.140,2.58203125,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bronze_Air_Cownditioning_II,ACCEPTED,333,100.91%,100.00%,0.000,0,,0,33.33333333333333,33.33333333333333,0,0,0,0,0,0,0,0,0,33.33333333333333,0,33.33333333333333,33.33333333333333,33.33333333333333,33.33333333333333,33.33333333333333,33.33333333333333,33.33333333333333
bronze_Moo_Operations,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
platinum_Hungry_Cow,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
platinum_Problem_Setting,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
platinum_Watching_Cowflix,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gold_Equal_Sum_Subarrays,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gold_Fertilizing_Pastures,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gold_Piling_Papers,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
silver_Bakery,TIME_LIMIT_EXCEEDED,0,0.00%,9.09%,2.470,0.00390625,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
silver_Cow-libi,TIME_LIMIT_EXCEEDED,0,0.00%,9.09%,4.810,5.94140625,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
silver_Moo_Route_II,RUNTIME_ERROR,130,40.12%,35.00%,0.470,11.8671875,,0,0,18.51851851851852,0,0,0,0,0,0,0,0,0,0,0,0,18.51851851851852,18.51851851851852,18.51851851851852,18.51851851851852,18.51851851851852,18.51851851851852
bronze_Hungry_Cow,TIME_LIMIT_EXCEEDED,133,40.30%,53.85%,2.460,3.1015625,,0,33.33333333333333,0,0,0,0,0,0,0,0,0,0,33.33333333333333,0,33.33333333333333,33.33333333333333,0,0,0,0,0
bronze_Stamp_Grid,ACCEPTED,333,102.46%,100.00%,0.120,0.00390625,,0,25.64102564102564,25.64102564102564,25.64102564102564,25.64102564102564,25.64102564102564,0,0,0,0,0,0,25.64102564102564,0,25.64102564102564,25.64102564102564,25.64102564102564,25.64102564102564,25.64102564102564,25.64102564102564,25.64102564102564
bronze_Watching_Mooloo,RUNTIME_ERROR,33,10.00%,8.33%,0.120,2.015625,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33333333333333,0,0,0,0,0,0
platinum_Cowntact_Tracing,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
platinum_A_Graph_Problem,TIME_LIMIT_EXCEEDED,17,5.31%,17.39%,2.460,30.890625,,0,16.666666666666664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
platinum_Train_Scheduling,RUNTIME_ERROR,0,0.00%,4.17%,0.120,0.00390625,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gold_Flight_Routes,RUNTIME_ERROR,0,0.00%,0.00%,0.120,3.62109375,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gold_Minimum_Longest_Trip,RUNTIME_ERROR,0,0.00%,5.00%,0.270,17.80078125,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
