Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,baltazar,baltazar_rel,bomboni,bomboni_rel,dirigent,dirigent_rel,estimathon,estimathon_rel,skrivaca,skrivaca_rel
gpt-5,450.00,,100.00%,100.00%,0.236,32.38,5,110.00,,110.00,,70.00,,50.00,,110.00,
gpt-oss-20b-medium,370.00,,86.56%,80.00%,0.214,26.31,5,30.00,,110.00,,70.00,,50.00,,110.00,
gpt-oss-120b-medium,370.00,85.45%,86.56%,80.00%,0.264,31.64,5,30.00,27.27%,110.00,100.00%,70.00,100.00%,50.00,100.00%,110.00,100.00%
gpt-oss-120b-high,340.00,,80.00%,80.00%,0.102,21.10,5,0.00,,110.00,,70.00,,50.00,,110.00,
gpt-oss-20b-high,340.00,,80.00%,80.00%,0.126,10.58,5,0.00,,110.00,,70.00,,50.00,,110.00,
gpt-o3-mini-high,340.00,,80.00%,80.00%,0.158,12.63,5,0.00,,110.00,,70.00,,50.00,,110.00,
gemini-2.5-pro,340.00,,83.83%,80.00%,0.216,22.11,5,110.00,,110.00,,70.00,,50.00,,0.00,
seed-oss_-1,290.00,,71.24%,60.00%,0.194,22.03,5,30.00,,110.00,,70.00,,50.00,,30.00,
deepseek-reasoner,260.00,,65.11%,60.00%,0.540,10.32,5,0.00,,110.00,,70.00,,50.00,,30.00,
QwQ-32B,245.00,,72.50%,60.00%,1.062,14.18,5,15.00,,110.00,,70.00,,50.00,,0.00,
Qwen3-14B,245.00,,72.50%,60.00%,1.084,13.60,5,15.00,,110.00,,70.00,,50.00,,0.00,
gemini-2.5-flash,245.00,,72.93%,60.00%,1.476,61.01,5,15.00,,110.00,,70.00,,50.00,,0.00,
Qwen3-32B,245.00,,72.93%,60.00%,1.494,15.91,5,15.00,,110.00,,70.00,,50.00,,0.00,
Qwen3-30B,245.00,,72.93%,60.00%,1.502,14.80,5,15.00,,110.00,,70.00,,50.00,,0.00,
gpt-oss-20b-low,230.00,,60.00%,60.00%,0.068,7.14,5,0.00,,110.00,,70.00,,50.00,,0.00,
gpt-oss-120b-low,230.00,,60.00%,60.00%,0.090,5.99,5,0.00,,110.00,,70.00,,50.00,,0.00,
