Model,Total Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,cern,koreografija,ministarstvo,sirologija
gemini-2.5-pro,100.00,26.15%,25.00%,1.285,10.74,4,100.00,0.00,0.00,0.00
gpt-o3-mini-high,19.00,7.72%,0.00%,0.640,6.77,4,19.00,0.00,0.00,0.00
DeepSeek-R1-Distill-Llama-70B,17.00,4.15%,0.00%,1.180,5.04,4,17.00,0.00,0.00,0.00
DeepSeek-R1-Distill-Llama-8B,0.00,0.00%,0.00%,0.000,0.00,4,0.00,0.00,0.00,0.00
Qwen2.5-Coder-32B-Instruct,0.00,0.44%,0.00%,0.022,1.29,4,0.00,0.00,0.00,0.00
Mistral-Small-3.1-24B-2503,0.00,0.44%,0.00%,0.035,2.26,4,0.00,0.00,0.00,0.00
gpt-4.1,0.00,0.58%,0.00%,0.037,2.71,4,0.00,0.00,0.00,0.00
DeepSeek-R1-Distill-Qwen-14B,0.00,0.44%,0.00%,0.040,1.55,4,0.00,0.00,0.00,0.00
Llama-3.1-8B-Instruct,0.00,0.44%,0.00%,0.042,7.16,4,0.00,0.00,0.00,0.00
Codestral-22B-v0.1,0.00,0.44%,0.00%,0.060,63.82,4,0.00,0.00,0.00,0.00
Qwen3-4B-Non-Thinking,0.00,0.44%,0.00%,0.060,4.85,4,0.00,0.00,0.00,0.00
Qwen2.5-72B,0.00,0.44%,0.00%,0.075,10.96,4,0.00,0.00,0.00,0.00
Qwen3-8B-Non-Thinking,0.00,0.44%,0.00%,0.092,8.51,4,0.00,0.00,0.00,0.00
Qwen3-14B-Non-Thinking,0.00,0.44%,0.00%,0.115,5.30,4,0.00,0.00,0.00,0.00
deepseek-chat,0.00,0.44%,0.00%,0.145,13.75,4,0.00,0.00,0.00,0.00
Qwen2.5-Coder-14B-Instruct,0.00,0.44%,0.00%,0.233,275.51,4,0.00,0.00,0.00,0.00
Qwen3-32B-Non-Thinking,0.00,0.44%,0.00%,0.278,9.55,4,0.00,0.00,0.00,0.00
DeepSeek-R1-Distill-Qwen-32B,0.00,0.58%,0.00%,0.290,10.38,4,0.00,0.00,0.00,0.00
Qwen2.5-Coder-7B-Instruct,0.00,0.44%,0.00%,0.303,3.55,4,0.00,0.00,0.00,0.00
Qwen3-32B,0.00,4.90%,0.00%,0.320,6.79,4,0.00,0.00,0.00,0.00
QwQ-32B,0.00,5.04%,0.00%,0.388,7.61,4,0.00,0.00,0.00,0.00
deepseek-reasoner,0.00,6.83%,0.00%,0.390,7.37,4,0.00,0.00,0.00,0.00
Qwen3-30B,0.00,0.44%,0.00%,0.400,9.55,4,0.00,0.00,0.00,0.00
Qwen3-14B,0.00,4.90%,0.00%,0.405,7.16,4,0.00,0.00,0.00,0.00
gemini-2.5-flash,0.00,5.04%,0.00%,0.642,9.88,4,0.00,0.00,0.00,0.00
Qwen3-30B-Non-Thinking,0.00,0.44%,0.00%,1.125,11.35,4,0.00,0.00,0.00,0.00
Qwen3-4B,0.00,1.33%,0.00%,1.135,14.25,4,0.00,0.00,0.00,0.00
Mistral-Large-Instruct-2411,0.00,0.44%,0.00%,1.137,7.86,4,0.00,0.00,0.00,0.00
Qwen3-8B,0.00,1.33%,0.00%,1.175,7.93,4,0.00,0.00,0.00,0.00
DeepSeek-Coder-V2-Lite-Instruct,0.00,0.44%,0.00%,1.198,7.70,4,0.00,0.00,0.00,0.00
Llama-3.3-70B-Instruct,0.00,0.58%,0.00%,1.407,10.01,4,0.00,0.00,0.00,0.00
