Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,j1,j1_rel,j2,j2_rel,j3,j3_rel,j5,j5_rel,s1j4,s1j4_rel
grok-4-fast-reasoning,75.00,100.00%,100.00%,100.00%,0.004,0.57,5,15.00,100.00%,15.00,100.00%,15.00,100.00%,15.00,100.00%,15.00,100.00%
gpt-5,75.00,100.00%,100.00%,100.00%,0.010,0.57,5,15.00,100.00%,15.00,100.00%,15.00,100.00%,15.00,100.00%,15.00,100.00%
gpt-o3-mini-high,75.00,100.00%,100.00%,100.00%,0.010,0.60,5,15.00,100.00%,15.00,100.00%,15.00,100.00%,15.00,100.00%,15.00,100.00%
gemini-2.5-pro,75.00,100.00%,100.00%,100.00%,0.010,0.57,5,15.00,100.00%,15.00,100.00%,15.00,100.00%,15.00,100.00%,15.00,100.00%
gpt-oss-120b-high,75.00,100.00%,100.00%,100.00%,0.012,0.57,5,15.00,100.00%,15.00,100.00%,15.00,100.00%,15.00,100.00%,15.00,100.00%
gpt-oss-20b-high,75.00,100.00%,100.00%,100.00%,0.018,0.57,5,15.00,100.00%,15.00,100.00%,15.00,100.00%,15.00,100.00%,15.00,100.00%
gpt-4.1,75.00,100.00%,100.00%,100.00%,0.018,0.62,5,15.00,100.00%,15.00,100.00%,15.00,100.00%,15.00,100.00%,15.00,100.00%
gpt-oss-120b_sp1,75.00,100.00%,100.00%,100.00%,0.018,0.37,5,15.00,100.00%,15.00,100.00%,15.00,100.00%,15.00,100.00%,15.00,100.00%
gpt-oss-120b-medium,75.00,100.00%,100.00%,100.00%,0.020,0.37,5,15.00,100.00%,15.00,100.00%,15.00,100.00%,15.00,100.00%,15.00,100.00%
deepseek-reasoner,75.00,100.00%,100.00%,100.00%,0.020,0.60,5,15.00,100.00%,15.00,100.00%,15.00,100.00%,15.00,100.00%,15.00,100.00%
gpt-oss-120b-low,75.00,100.00%,100.00%,100.00%,0.020,0.60,5,15.00,100.00%,15.00,100.00%,15.00,100.00%,15.00,100.00%,15.00,100.00%
gpt-oss-120b_sp2,75.00,100.00%,100.00%,100.00%,0.026,0.37,5,15.00,100.00%,15.00,100.00%,15.00,100.00%,15.00,100.00%,15.00,100.00%
deepseek-chat,75.00,100.00%,100.00%,100.00%,0.032,0.57,5,15.00,100.00%,15.00,100.00%,15.00,100.00%,15.00,100.00%,15.00,100.00%
gpt-oss-120b_sp3,66.00,88.00%,90.50%,80.00%,0.000,0.00,5,15.00,100.00%,15.00,100.00%,15.00,100.00%,15.00,100.00%,6.00,40.00%
gpt-oss-120b_sp4,66.00,88.00%,90.50%,80.00%,0.000,0.00,5,15.00,100.00%,15.00,100.00%,15.00,100.00%,15.00,100.00%,6.00,40.00%
seed-oss_8192,66.00,,90.50%,80.00%,0.002,0.00,5,15.00,,15.00,,15.00,,15.00,,6.00,
gpt-oss-20b-low,66.00,88.00%,90.50%,80.00%,0.008,0.00,5,15.00,100.00%,15.00,100.00%,15.00,100.00%,15.00,100.00%,6.00,40.00%
gpt-oss-20b-medium,66.00,88.00%,90.50%,80.00%,0.008,0.00,5,15.00,100.00%,15.00,100.00%,15.00,100.00%,15.00,100.00%,6.00,40.00%
OpenCodeReasoning-Nemotron-32B-IOI,66.00,88.00%,94.44%,80.00%,0.012,0.57,5,15.00,100.00%,15.00,100.00%,15.00,100.00%,6.00,40.00%,15.00,100.00%
Qwen3-14B,66.00,88.00%,94.44%,80.00%,0.014,0.57,5,15.00,100.00%,15.00,100.00%,15.00,100.00%,6.00,40.00%,15.00,100.00%
gemini-2.5-flash,66.00,88.00%,90.50%,80.00%,0.016,0.00,5,15.00,100.00%,15.00,100.00%,15.00,100.00%,15.00,100.00%,6.00,40.00%
Qwen3-32B,66.00,88.00%,90.50%,80.00%,0.018,0.00,5,15.00,100.00%,15.00,100.00%,15.00,100.00%,15.00,100.00%,6.00,40.00%
seed-oss_-1,63.00,84.00%,87.00%,80.00%,0.008,0.00,5,15.00,100.00%,15.00,100.00%,15.00,100.00%,15.00,100.00%,3.00,20.00%
claude-sonnet-4.5,60.00,100.00%,100.00%,100.00%,0.010,0.75,4,N/A,N/A,15.00,100.00%,15.00,100.00%,15.00,100.00%,15.00,100.00%
DeepSeek-R1-Distill-Qwen-32B,57.00,,84.94%,60.00%,0.000,0.00,5,15.00,,15.00,,15.00,,6.00,,6.00,
Qwen2.5-Coder-32B-Instruct,57.00,,84.94%,60.00%,0.000,0.00,5,15.00,,15.00,,15.00,,6.00,,6.00,
Qwen3-30B,57.00,76.00%,84.94%,60.00%,0.008,0.00,5,15.00,100.00%,15.00,100.00%,15.00,100.00%,6.00,40.00%,6.00,40.00%
Mistral-Large-Instruct-2411,57.00,76.00%,84.94%,60.00%,0.008,0.00,5,15.00,100.00%,15.00,100.00%,15.00,100.00%,6.00,40.00%,6.00,40.00%
Qwen3-4B,57.00,76.00%,84.94%,60.00%,0.008,0.00,5,15.00,100.00%,15.00,100.00%,15.00,100.00%,6.00,40.00%,6.00,40.00%
Qwen3-8B,57.00,76.00%,84.94%,60.00%,0.008,0.00,5,15.00,100.00%,15.00,100.00%,15.00,100.00%,6.00,40.00%,6.00,40.00%
Qwen2.5-Coder-14B-Instruct,57.00,76.00%,84.44%,60.00%,0.008,0.00,5,15.00,100.00%,15.00,100.00%,15.00,100.00%,6.00,40.00%,6.00,40.00%
Qwen3-32B-Non-Thinking,57.00,76.00%,84.94%,60.00%,0.008,0.00,5,15.00,100.00%,15.00,100.00%,15.00,100.00%,6.00,40.00%,6.00,40.00%
Qwen2.5-72B,57.00,76.00%,84.94%,60.00%,0.016,0.00,5,15.00,100.00%,15.00,100.00%,15.00,100.00%,6.00,40.00%,6.00,40.00%
OlympicCoder-7B,57.00,76.00%,84.94%,60.00%,0.016,0.00,5,15.00,100.00%,15.00,100.00%,15.00,100.00%,6.00,40.00%,6.00,40.00%
Qwen2.5-Coder-7B-Instruct,57.00,76.00%,84.44%,60.00%,0.018,0.00,5,15.00,100.00%,15.00,100.00%,15.00,100.00%,6.00,40.00%,6.00,40.00%
Qwen3-8B-Non-Thinking,57.00,76.00%,84.94%,60.00%,0.026,0.00,5,15.00,100.00%,15.00,100.00%,15.00,100.00%,6.00,40.00%,6.00,40.00%
Codestral-22B-v0.1,53.00,70.67%,75.06%,60.00%,0.010,0.00,5,15.00,100.00%,15.00,100.00%,15.00,100.00%,2.00,13.33%,6.00,40.00%
Llama-3.3-70B-Instruct,53.00,70.67%,78.28%,60.00%,0.016,0.31,5,15.00,100.00%,15.00,100.00%,15.00,100.00%,2.00,13.33%,6.00,40.00%
