solution,status,score,%test passed,time,memory,subtask_0,subtask_1,subtask_10,subtask_11,subtask_12,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6,subtask_7,subtask_8,subtask_9
silver_Table_Recovery_Qwen3-32B-Non-Thinking_2.cpp,TIME_LIMIT_EXCEEDED,0,6.67%,2.260,17.00390625,0,0,0,0,0,0,0,0,0,0,0,0,0
silver_Table_Recovery_Qwen3-32B-Non-Thinking_3.cpp,RUNTIME_ERROR,0,6.67%,0.230,20.98828125,0,0,0,0,0,0,0,0,0,0,0,0,0
silver_Table_Recovery_Qwen3-32B-Non-Thinking_4.cpp,RUNTIME_ERROR,0,6.67%,0.250,9.08984375,0,0,0,0,0,0,0,0,0,0,0,0,0
silver_Table_Recovery_Qwen3-32B-Non-Thinking_5.cpp,COMPILATION_ERROR,0,0.00%,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
silver_Table_Recovery_Qwen3-32B-Non-Thinking_5.cpp,COMPILATION_ERROR,0,0.00%,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
silver_Table_Recovery_Qwen3-32B-Non-Thinking_5.cpp,COMPILATION_ERROR,0,0.00%,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
silver_Table_Recovery_Qwen3-32B-Non-Thinking_5.cpp,COMPILATION_ERROR,0,0.00%,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
silver_Table_Recovery_Qwen3-32B-Non-Thinking_5.cpp,COMPILATION_ERROR,0,0.00%,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
silver_Table_Recovery_Qwen3-32B-Non-Thinking_5.cpp,COMPILATION_ERROR,0,0.00%,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
silver_Table_Recovery_Qwen3-32B-Non-Thinking_5.cpp,COMPILATION_ERROR,0,0.00%,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
silver_Table_Recovery_Qwen3-32B-Non-Thinking_6.cpp,RUNTIME_ERROR,0,6.67%,0.180,9.08203125,0,0,0,0,0,0,0,0,0,0,0,0,0
silver_Table_Recovery_Qwen3-32B-Non-Thinking_7.cpp,COMPILATION_ERROR,0,0.00%,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
