problem,status,score,relative_score,%test passed,time,memory,pass_rate,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6,subtask_7
2023-open-t1_Ancient_Machine_2,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0
2023-open-t2_Cell_Automaton,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0
2023-open-t3_Garden,RUNTIME_ERROR,0,0.00%,4.94%,0.180,5.16796875,,0,0,0,0,0,0,0
2023-sp_Two_Currencies,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0
2023-sp_Festivals_in_JOI_Kingdom_2,RUNTIME_ERROR,0,0.00%,13.33%,0.000,0,,0,0,0,0,0,0,0
2023-sp_Passport,TIME_LIMIT_EXCEEDED,0,0.00%,26.67%,2.470,4.390625,,0,0,0,0,0,0,0
2023-sp_Belt_Conveyor,RUNTIME_ERROR,1,1.00%,12.90%,0.700,5.75390625,,1,0,0,0,0,0,0
2023-sp_Council,TIME_LIMIT_EXCEEDED,16,16.00%,71.95%,3.600,18.57421875,,8,8,0,0,0,0,0
2023-sp_Mizuyokan_2,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0
2023-sp_Chorus,RUNTIME_ERROR,0,0.00%,6.67%,0.000,0,,0,0,0,0,0,0,0
2023-sp_Cookies,RUNTIME_ERROR,0,0.00%,8.89%,0.000,0,,0,0,0,0,0,0,0
2023-sp_Tourism,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0
2023-sp_Super_Dango_Maker,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0
2023-sp_Security_Guard,RUNTIME_ERROR,0,0.00%,5.95%,0.180,6.72265625,,0,0,0,0,0,0,0
2023-ho-t1_Stone_Arranging_2,RUNTIME_ERROR,0,0.00%,32.10%,0.000,0,,0,0,0,0,0,0,0
2023-ho-t2_Advertisement_2,RUNTIME_ERROR,10,10.00%,35.71%,0.250,5.16796875,,10,0,0,0,0,0,0
2023-ho-t3_Maze,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0
2023-ho-t4_Cat_Exercise,RUNTIME_ERROR,0,0.00%,9.68%,0.160,5.87890625,,0,0,0,0,0,0,0
2023-ho-t5_Modern_Machine,TIME_LIMIT_EXCEEDED,3,3.00%,45.36%,2.900,3.1015625,,3,0,0,0,0,0,0
TOTAL,,30,,14.43%,,,0.00%,,,,,,,
