problem,status,score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6,subtask_7,subtask_8,subtask_9
five,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0
game,TIME_LIMIT_EXCEEDED,0,2.70%,1.810,62.921875,,0,0,0,0,0,0,0,0,0,0
lexgcd,RUNTIME_ERROR,0,7.38%,0.040,4.67578125,,0,0,0,0,0,0,0,0,0,0
ones,WRONG_ANSWER,30,0.00%,0.120,1.95703125,,2.53047,2.6244,2.7117400000000003,2.7886300000000004,2.84402,2.96912,3.0722300000000002,3.20465,3.46092,3.7226
travel,TIME_LIMIT_EXCEEDED,20,29.41%,1.220,35.5859375,,10,10,0,0,0,0,0,0,0,0
aquarelle,RUNTIME_ERROR,0,12.36%,0.020,2.33203125,,0,0,0,0,0,0,0,0,0,0
parentheses,ACCEPTED,100,100.00%,0.070,34.06640625,,0,5,10,10,15,15,45,0,0,0
tolls,ACCEPTED,100,100.00%,0.090,6.28125,,0,5,5,10,20,10,20,30,0,0
twins,RUNTIME_ERROR,40,35.88%,0.020,2.31640625,,40,0,0,0,0,0,0,0,0,0
walk,RUNTIME_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0
xy,RUNTIME_ERROR,0,0.00%,0.030,4.91015625,,0,0,0,0,0,0,0,0,0,0
TOTAL,,290,26.16%,,,18.18%,,,,,,,,,,
