solution,status,score,relative_score,%test passed,time,memory,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6,subtask_7
walk_Qwen3-8B_1.cpp,RUNTIME_ERROR,0,0.00%,0.00%,0.110,1.81640625,0,0,0,0,0,0,0,0
walk_Qwen3-8B_2.cpp,RUNTIME_ERROR,0,0.00%,0.00%,0.110,1.81640625,0,0,0,0,0,0,0,0
walk_Qwen3-8B_3.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0,0,0
walk_Qwen3-8B_3.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0,0,0
walk_Qwen3-8B_3.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0,0,0
walk_Qwen3-8B_3.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0,0,0
walk_Qwen3-8B_3.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0,0,0
walk_Qwen3-8B_3.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0,0,0
walk_Qwen3-8B_3.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0,0,0
walk_Qwen3-8B_3.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0,0,0
walk_Qwen3-8B_4.cpp,RUNTIME_ERROR,0,0.00%,0.00%,0.160,251.4375,0,0,0,0,0,0,0,0
walk_Qwen3-8B_6.cpp,RUNTIME_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0,0,0
walk_Qwen3-8B_7.cpp,MEMORY_LIMIT_EXCEEDED,0,0.00%,0.00%,0.260,435.45703125,0,0,0,0,0,0,0,0
