Model,Total Score,Included Tasks,Included Score,Avg Tests Passed,Pass Rate (%),Medal,Human Relative Rank,Human Percentile,Rank,Relative Score (%)
gpt-5,423.0,6,423.0,73.22,66.67,Gold,2,98.91304347826087,1,70.5
gpt-oss-120b-high,400.0,6,400.0,67.49,66.67,Gold,3,97.82608695652173,2,66.67
grok-4-fast-reasoning,331.0,6,331.0,63.58,33.33,Gold,5,95.65217391304348,3,55.17
gpt-oss-120b_sp2,270.0,6,270.0,46.84,33.33,Silver,11,89.1304347826087,4,45.0
gpt-oss-20b-high,245.0,6,245.0,60.71,50.0,Silver,13,86.95652173913044,5,40.83
gpt-o3-mini-high,227.0,6,227.0,41.58,16.67,Silver,21,78.26086956521739,6,37.83
gpt-oss-120b-medium,220.0,6,220.0,41.59,33.33,Bronze,24,75.0,7,36.67
gemini-2.5-pro,203.0,6,203.0,45.18,16.67,Bronze,27,71.73913043478261,8,33.83
gpt-oss-120b_sp4,200.0,6,200.0,43.29,16.67,Bronze,28,70.65217391304348,9,33.33
gpt-oss-120b_sp1,197.0,6,197.0,36.64,16.67,Bronze,29,69.56521739130434,10,32.83
gpt-oss-120b_sp3,176.0,6,176.0,38.12,16.67,Bronze,35,63.04347826086956,11,29.33
gemini-2.5-flash,162.0,6,162.0,30.59,0.0,Bronze,40,57.608695652173914,12,27.0
gpt-oss-20b-medium,160.0,6,160.0,31.9,20.0,Bronze,40,57.608695652173914,13,26.67
seed-oss_-1,113.0,6,113.0,22.33,0.0,Bronze,60,35.869565217391305,14,18.83
deepseek-reasoner,107.0,6,107.0,22.75,0.0,Bronze,60,35.869565217391305,15,17.83
claude-sonnet-4.5,99.0,6,99.0,24.79,0.0,Bronze,64,31.52173913043478,16,16.5
gpt-oss-120b-low,95.0,6,95.0,16.59,0.0,Bronze,65,30.434782608695652,17,15.83
seed-oss_16384,92.0,6,92.0,19.21,0.0,Bronze,66,29.347826086956523,18,15.33
Qwen3-32B,87.0,6,87.0,22.57,0.0,Bronze,67,28.26086956521739,19,14.5
Qwen3-14B,79.0,6,79.0,14.88,0.0,None,72,22.82608695652174,20,13.17
Qwen3-4B,68.0,6,68.0,13.47,0.0,None,75,19.565217391304348,21,11.33
Qwen3-30B,68.0,6,68.0,16.21,0.0,None,75,19.565217391304348,22,11.33
OpenCodeReasoning-Nemotron-32B-IOI,65.0,6,65.0,12.31,0.0,None,75,19.565217391304348,23,10.83
gpt-oss-20b-low,60.0,6,60.0,12.33,0.0,None,78,16.304347826086957,24,10.0
Qwen3-8B,59.0,6,59.0,14.03,0.0,None,78,16.304347826086957,25,9.83
Llama-3.3-70B-Instruct,51.0,6,51.0,16.33,0.0,None,78,16.304347826086957,26,8.5
seed-oss_8192,45.0,6,45.0,6.38,0.0,None,79,15.217391304347826,27,7.5
deepseek-chat,43.0,6,43.0,11.29,0.0,None,79,15.217391304347826,28,7.17
Qwen3-32B-Non-Thinking,40.0,6,40.0,13.28,0.0,None,79,15.217391304347826,29,6.67
QwQ-32B,35.0,6,35.0,50.0,0.0,None,80,14.130434782608695,30,5.83
Llama-4-Scout,20.0,6,20.0,5.95,0.0,None,84,9.782608695652174,31,3.33
