Model,Total Score,Included Tasks,Included Score,Avg Tests Passed,Pass Rate (%),Medal,Rank,Relative Score (%)
gemini-2.5-pro,62.0,6,62.0,46.43,33.33,None,1,41.33
gemini-2.5-flash,53.0,6,53.0,38.26,33.33,None,2,35.33
gpt-o3-mini-high,50.0,6,50.0,36.07,33.33,None,3,33.33
deepseek-reasoner,34.0,6,34.0,23.99,16.67,None,4,22.67
gpt-4.1,33.0,6,33.0,23.48,16.67,None,5,22.0
deepseek-chat,26.0,6,26.0,18.95,16.67,None,6,17.33
Qwen3-14B,26.0,6,26.0,20.16,16.67,None,7,17.33
Qwen3-8B,25.0,6,25.0,16.67,16.67,None,8,16.67
QwQ-32B,25.0,6,25.0,17.81,16.67,None,9,16.67
Qwen3-30B,25.0,6,25.0,18.1,16.67,None,10,16.67
Qwen3-32B,25.0,6,25.0,19.4,16.67,None,11,16.67
DeepSeek-R1-Distill-Llama-70B,25.0,6,25.0,17.53,16.67,None,12,16.67
Llama-3.3-70B-Instruct,6.0,6,6.0,4.92,0.0,None,13,4.0
Qwen3-30B-Non-Thinking,5.0,6,5.0,4.54,0.0,None,14,3.33
Qwen3-8B-Non-Thinking,5.0,6,5.0,4.44,0.0,None,15,3.33
Qwen2.5-Coder-14B-Instruct,5.0,6,5.0,4.25,0.0,None,16,3.33
DeepSeek-Coder-V2-Lite-Instruct,5.0,6,5.0,4.06,0.0,None,17,3.33
Qwen2.5-72B,5.0,6,5.0,4.44,0.0,None,18,3.33
DeepSeek-R1-Distill-Qwen-32B,5.0,6,5.0,4.06,0.0,None,19,3.33
Qwen2.5-Coder-7B-Instruct,5.0,6,5.0,4.3,0.0,None,20,3.33
Mistral-Large-Instruct-2411,5.0,6,5.0,4.15,0.0,None,21,3.33
Qwen3-32B-Non-Thinking,5.0,6,5.0,4.06,0.0,None,22,3.33
Codestral-22B-v0.1,1.0,6,1.0,0.95,0.0,None,23,0.67
Qwen3-4B,1.0,6,1.0,9.54,0.0,None,24,0.67
DeepSeek-R1-Distill-Qwen-7B,0.0,6,0.0,0.0,0.0,None,25,0.0
DeepSeek-R1-Distill-Llama-8B,0.0,6,0.0,0.0,0.0,None,26,0.0
Qwen3-14B-Non-Thinking,0.0,6,0.0,0.38,0.0,None,27,0.0
DeepSeek-R1-Distill-Qwen-14B,0.0,6,0.0,6.05,0.0,None,28,0.0
Llama-3.1-8B-Instruct,0.0,6,0.0,0.33,0.0,None,29,0.0
Qwen2.5-Coder-32B-Instruct,0.0,6,0.0,2.07,0.0,None,30,0.0
Qwen3-4B-Non-Thinking,0.0,6,0.0,0.28,0.0,None,31,0.0
Mistral-Small-3.1-24B-2503,0.0,6,0.0,2.47,0.0,None,32,0.0
