Model,Total Score,Included Tasks,Solved Tasks,Partial Tasks,Pass Rate (%),Relative Score (%),Medal,Bronze Score,Silver Score,Gold Score,Rank,Competition,Year,Round,Contest_Key
gpt-o3-mini-high,2255.0,9,6,2,66.66666666666666,75.24190857524191,Gold,1000.0,490.0,765.0,1,USACO,2025,combined,USACO-2025-February_Contest-combined
gemini-2.5-flash,2234.0,9,6,3,66.66666666666666,74.5412078745412,Silver,1000.0,804.0,430.0,2,USACO,2025,combined,USACO-2025-February_Contest-combined
Qwen3-32B,1690.0,9,5,1,55.55555555555556,56.38972305638972,Bronze,1000.0,334.0,356.0,3,USACO,2025,combined,USACO-2025-February_Contest-combined
gemini-2.5-pro,1555.0,9,4,2,44.44444444444444,51.88521855188522,Bronze,1000.0,334.0,221.0,4,USACO,2025,combined,USACO-2025-February_Contest-combined
deepseek-reasoner,1534.0,9,4,3,44.44444444444444,51.184517851184516,Bronze,1000.0,471.0,63.0,5,USACO,2025,combined,USACO-2025-February_Contest-combined
deepseek-chat,1032.0,9,3,1,33.33333333333333,34.434434434434436,None,697.0,334.0,1.0,6,USACO,2025,combined,USACO-2025-February_Contest-combined
Qwen3-8B,627.0,9,1,4,11.11111111111111,20.92092092092092,None,364.0,168.0,95.0,7,USACO,2025,combined,USACO-2025-February_Contest-combined
Qwen3-30B,604.0,9,1,3,11.11111111111111,20.15348682015349,None,122.0,334.0,148.0,8,USACO,2025,combined,USACO-2025-February_Contest-combined
gpt-4.1,518.0,9,1,4,11.11111111111111,17.28395061728395,None,378.0,1.0,139.0,9,USACO,2025,combined,USACO-2025-February_Contest-combined
QwQ-32B,474.0,9,1,3,11.11111111111111,15.815815815815814,None,364.0,1.0,109.0,10,USACO,2025,combined,USACO-2025-February_Contest-combined
DeepSeek-R1-Distill-Qwen-32B,371.0,9,1,1,11.11111111111111,12.379045712379046,None,334.0,1.0,36.0,11,USACO,2025,combined,USACO-2025-February_Contest-combined
Qwen3-32B-Non-Thinking,244.0,9,0,3,0.0,8.141474808141474,None,31.0,168.0,45.0,12,USACO,2025,combined,USACO-2025-February_Contest-combined
Qwen3-30B-Non-Thinking,124.0,9,0,3,0.0,4.137470804137471,None,1.0,1.0,122.0,13,USACO,2025,combined,USACO-2025-February_Contest-combined
Qwen3-14B,91.0,9,0,1,0.0,3.0363697030363697,None,1.0,1.0,89.0,14,USACO,2025,combined,USACO-2025-February_Contest-combined
DeepSeek-R1-Distill-Llama-70B,91.0,9,0,1,0.0,3.0363697030363697,None,1.0,1.0,89.0,15,USACO,2025,combined,USACO-2025-February_Contest-combined
Llama-3.3-70B-Instruct,70.0,9,0,1,0.0,2.335669002335669,None,1.0,68.0,1.0,16,USACO,2025,combined,USACO-2025-February_Contest-combined
Qwen2.5-Coder-32B-Instruct,70.0,9,0,1,0.0,2.335669002335669,None,1.0,68.0,1.0,17,USACO,2025,combined,USACO-2025-February_Contest-combined
Qwen2.5-Coder-14B-Instruct,68.0,9,0,2,0.0,2.2689356022689355,None,31.0,1.0,36.0,18,USACO,2025,combined,USACO-2025-February_Contest-combined
DeepSeek-Coder-V2-Lite-Instruct,55.0,9,0,2,0.0,1.8351685018351684,None,31.0,1.0,23.0,19,USACO,2025,combined,USACO-2025-February_Contest-combined
Llama-3.1-8B-Instruct,38.0,9,0,1,0.0,1.2679346012679347,None,1.0,1.0,36.0,20,USACO,2025,combined,USACO-2025-February_Contest-combined
Mistral-Small-3.1-24B-2503,33.0,9,0,1,0.0,1.1011011011011012,None,31.0,1.0,1.0,21,USACO,2025,combined,USACO-2025-February_Contest-combined
Qwen3-8B-Non-Thinking,33.0,9,0,1,0.0,1.1011011011011012,None,31.0,1.0,1.0,22,USACO,2025,combined,USACO-2025-February_Contest-combined
Qwen2.5-Coder-7B-Instruct,33.0,9,0,1,0.0,1.1011011011011012,None,31.0,1.0,1.0,23,USACO,2025,combined,USACO-2025-February_Contest-combined
Qwen3-14B-Non-Thinking,33.0,9,0,1,0.0,1.1011011011011012,None,31.0,1.0,1.0,24,USACO,2025,combined,USACO-2025-February_Contest-combined
Codestral-22B-v0.1,3.0,9,0,0,0.0,0.10010010010010009,None,1.0,1.0,1.0,25,USACO,2025,combined,USACO-2025-February_Contest-combined
DeepSeek-R1-Distill-Llama-8B,3.0,9,0,0,0.0,0.10010010010010009,None,1.0,1.0,1.0,26,USACO,2025,combined,USACO-2025-February_Contest-combined
Qwen2.5-72B,3.0,9,0,0,0.0,0.10010010010010009,None,1.0,1.0,1.0,27,USACO,2025,combined,USACO-2025-February_Contest-combined
Qwen3-4B,3.0,9,0,0,0.0,0.10010010010010009,None,1.0,1.0,1.0,28,USACO,2025,combined,USACO-2025-February_Contest-combined
Mistral-Large-Instruct-2411,3.0,9,0,0,0.0,0.10010010010010009,None,1.0,1.0,1.0,29,USACO,2025,combined,USACO-2025-February_Contest-combined
Qwen3-4B-Non-Thinking,3.0,9,0,0,0.0,0.10010010010010009,None,1.0,1.0,1.0,30,USACO,2025,combined,USACO-2025-February_Contest-combined
DeepSeek-R1-Distill-Qwen-14B,3.0,9,0,0,0.0,0.10010010010010009,None,1.0,1.0,1.0,31,USACO,2025,combined,USACO-2025-February_Contest-combined
