Model,Total Score,Included Tasks,Included Score,Avg Tests Passed,Pass Rate (%),Medal,Human Relative Rank,Human Percentile,Rank,Relative Score (%)
gemini-2.5-pro,447.0,8,447.0,72.49,12.5,Bronze,94,78.32167832167832,1,55.88
gpt-o3-mini-high,423.0,8,423.0,65.44,50.0,Bronze,121,72.02797202797203,2,52.88
QwQ-32B,392.0,8,392.0,51.25,37.5,None,152,64.8018648018648,3,49.0
deepseek-reasoner,369.0,8,369.0,50.87,37.5,None,180,58.27505827505828,4,46.12
Qwen3-30B,358.0,8,358.0,53.1,37.5,None,190,55.94405594405595,5,44.75
Qwen3-14B,354.0,8,354.0,48.24,37.5,None,192,55.47785547785548,6,44.25
DeepSeek-R1-Distill-Llama-70B,343.0,8,343.0,51.52,37.5,None,211,51.04895104895105,7,42.88
Qwen3-8B,342.0,8,342.0,53.57,37.5,None,214,50.34965034965035,8,42.75
Qwen3-32B,320.0,8,320.0,42.95,25.0,None,236,45.22144522144522,9,40.0
gemini-2.5-flash,289.0,8,289.0,45.56,25.0,None,270,37.2960372960373,10,36.12
Llama-3.3-70B-Instruct,256.0,8,256.0,47.24,25.0,None,308,28.43822843822844,11,32.0
Qwen3-4B,242.0,8,242.0,41.74,25.0,None,319,25.874125874125873,12,30.25
deepseek-chat,238.0,8,238.0,33.32,25.0,None,323,24.941724941724942,13,29.75
gpt-4.1,228.0,8,228.0,33.24,25.0,None,329,23.543123543123542,14,28.5
Mistral-Large-Instruct-2411,227.0,8,227.0,37.47,25.0,None,330,23.31002331002331,15,28.38
Qwen2.5-Coder-32B-Instruct,218.0,8,218.0,36.85,12.5,None,334,22.377622377622377,16,27.25
Qwen2.5-72B,211.0,8,211.0,35.02,12.5,None,337,21.678321678321677,17,26.38
Qwen2.5-Coder-14B-Instruct,208.0,8,208.0,34.76,25.0,None,337,21.678321678321677,18,26.0
Qwen3-32B-Non-Thinking,204.0,8,204.0,31.28,25.0,None,337,21.678321678321677,19,25.5
DeepSeek-R1-Distill-Qwen-14B,204.0,8,204.0,30.37,12.5,None,337,21.678321678321677,20,25.5
DeepSeek-R1-Distill-Qwen-32B,186.0,8,186.0,33.8,0.0,None,355,17.482517482517483,21,23.25
Codestral-22B-v0.1,182.0,8,182.0,23.29,12.5,None,359,16.55011655011655,22,22.75
Llama-3.1-8B-Instruct,170.0,8,170.0,22.65,0.0,None,371,13.752913752913752,23,21.25
Mistral-Small-3.1-24B-2503,166.0,8,166.0,22.98,12.5,None,372,13.51981351981352,24,20.75
DeepSeek-Coder-V2-Lite-Instruct,163.0,8,163.0,27.5,0.0,None,375,12.820512820512821,25,20.38
Qwen3-4B-Non-Thinking,104.0,8,104.0,21.42,12.5,None,410,4.662004662004662,26,13.0
Qwen3-14B-Non-Thinking,104.0,8,104.0,20.81,12.5,None,410,4.662004662004662,27,13.0
Qwen2.5-Coder-7B-Instruct,100.0,8,100.0,16.3,12.5,None,414,3.7296037296037294,28,12.5
Qwen3-30B-Non-Thinking,100.0,8,100.0,16.69,12.5,None,414,3.7296037296037294,29,12.5
Qwen3-8B-Non-Thinking,15.0,8,15.0,4.54,0.0,None,426,0.9324009324009324,30,1.88
DeepSeek-R1-Distill-Llama-8B,0.0,8,0.0,0.0,0.0,None,429,0.2331002331002331,31,0.0
