Model,Total Score,Included Tasks,Included Score,Avg Tests Passed,Pass Rate (%),Medal,Human Relative Rank,Human Percentile,Rank,Relative Score (%)
gpt-5,211.0,5,211.0,35.9,20.0,Silver,41,86.06271777003484,1,42.2
gpt-oss-120b-high,195.0,5,195.0,36.66,0.0,Silver,49,83.27526132404181,2,39.0
gemini-2.5-pro,168.0,5,168.0,30.35,0.0,Silver,65,77.70034843205575,3,33.6
grok-4-fast-reasoning,152.0,5,152.0,33.05,0.0,Bronze,81,72.12543554006969,4,30.4
gpt-oss-20b-medium,113.0,5,113.0,23.16,0.0,Bronze,125,56.79442508710802,5,22.6
claude-sonnet-4.5,110.0,5,110.0,16.01,0.0,Bronze,129,55.400696864111495,6,22.0
gpt-oss-120b_sp4,107.0,5,107.0,22.36,0.0,Bronze,132,54.35540069686411,7,21.4
gpt-oss-120b_sp2,107.0,5,107.0,24.52,0.0,Bronze,132,54.35540069686411,8,21.4
gpt-oss-120b_sp1,107.0,5,107.0,22.36,0.0,Bronze,132,54.35540069686411,9,21.4
gpt-oss-120b_sp3,95.0,5,95.0,19.89,0.0,None,158,45.29616724738676,10,19.0
gpt-oss-20b-high,93.0,5,93.0,18.78,0.0,None,161,44.250871080139376,11,18.6
seed-oss_-1,92.0,5,92.0,17.71,0.0,None,162,43.90243902439025,12,18.4
gpt-o3-mini-high,88.0,5,88.0,19.58,0.0,None,167,42.1602787456446,13,17.6
gpt-oss-120b-medium,87.0,5,87.0,20.03,0.0,None,168,41.81184668989547,14,17.4
gpt-oss-120b-low,63.0,5,63.0,13.61,0.0,None,187,35.19163763066202,15,12.6
gemini-2.5-flash,59.0,5,59.0,12.01,0.0,None,192,33.44947735191638,16,11.8
Qwen2.5-Coder-32B-Instruct,56.0,5,56.0,9.98,0.0,None,196,32.055749128919864,17,11.2
seed-oss_8192,55.0,5,55.0,10.06,0.0,None,199,31.010452961672474,18,11.0
OpenCodeReasoning-Nemotron-32B-IOI,53.0,5,53.0,12.04,0.0,None,203,29.61672473867596,19,10.6
DeepSeek-R1-Distill-Llama-70B,53.0,5,53.0,13.53,0.0,None,203,29.61672473867596,20,10.6
Qwen3-32B-Non-Thinking,50.0,5,50.0,9.82,0.0,None,210,27.177700348432055,21,10.0
QwQ-32B,50.0,5,50.0,10.63,0.0,None,210,27.177700348432055,22,10.0
deepseek-chat,50.0,5,50.0,10.84,0.0,None,210,27.177700348432055,23,10.0
seed-oss_16384,50.0,5,50.0,7.9,0.0,None,210,27.177700348432055,24,10.0
Qwen3-14B-Non-Thinking,45.0,5,45.0,5.88,0.0,None,219,24.041811846689896,25,9.0
gpt-oss-20b-low,45.0,5,45.0,7.9,0.0,None,219,24.041811846689896,26,9.0
deepseek-reasoner,45.0,5,45.0,9.52,0.0,None,219,24.041811846689896,27,9.0
Qwen2.5-Coder-14B-Instruct,45.0,5,45.0,6.63,0.0,None,219,24.041811846689896,28,9.0
Qwen3-30B,45.0,5,45.0,7.9,0.0,None,219,24.041811846689896,29,9.0
Qwen3-32B,45.0,5,45.0,7.9,0.0,None,219,24.041811846689896,30,9.0
DeepSeek-R1-Distill-Qwen-32B,45.0,5,45.0,7.41,0.0,None,219,24.041811846689896,31,9.0
Mistral-Large-Instruct-2411,34.0,5,34.0,10.14,0.0,None,229,20.557491289198605,32,6.8
Qwen3-14B,30.0,5,30.0,7.62,0.0,None,236,18.118466898954704,33,6.0
OlympicCoder-7B,30.0,5,30.0,5.29,0.0,None,236,18.118466898954704,34,6.0
Qwen3-8B,30.0,5,30.0,6.0,0.0,None,236,18.118466898954704,35,6.0
Mistral-Small-3.1-24B-2503,25.0,5,25.0,1.15,0.0,None,239,17.073170731707318,36,5.0
DeepSeek-R1-Distill-Qwen-14B,25.0,5,25.0,1.48,0.0,None,239,17.073170731707318,37,5.0
seed-oss_4096,25.0,5,25.0,2.02,0.0,None,239,17.073170731707318,38,5.0
Qwen3-4B,25.0,5,25.0,2.19,0.0,None,239,17.073170731707318,39,5.0
seed-oss_1024,25.0,5,25.0,2.02,0.0,None,239,17.073170731707318,40,5.0
Qwen3-30B-Non-Thinking,25.0,5,25.0,0.66,0.0,None,239,17.073170731707318,41,5.0
Qwen2.5-72B,25.0,5,25.0,0.98,0.0,None,239,17.073170731707318,42,5.0
Qwen3-4B-Non-Thinking,22.0,5,22.0,1.72,0.0,None,241,16.37630662020906,43,4.4
Llama-4-Scout,20.0,5,20.0,7.36,0.0,None,246,14.634146341463415,44,4.0
gpt-4.1,20.0,5,20.0,4.1,0.0,None,246,14.634146341463415,45,4.0
seed-oss_2048,13.0,5,13.0,1.48,0.0,None,249,13.588850174216027,46,2.6
Llama-3.3-70B-Instruct,6.0,5,6.0,1.07,0.0,None,252,12.543554006968641,47,1.2
Qwen3-8B-Non-Thinking,5.0,5,5.0,4.26,0.0,None,252,12.543554006968641,48,1.0
seed-oss_0,3.0,5,3.0,1.48,0.0,None,256,11.149825783972126,49,0.6
Qwen2.5-Coder-7B-Instruct,3.0,5,3.0,0.98,0.0,None,256,11.149825783972126,50,0.6
seed-oss_512,1.0,5,1.0,1.85,0.0,None,256,11.149825783972126,51,0.2
DeepSeek-R1-Distill-Llama-8B,0.0,5,0.0,0.0,0.0,None,287,0.34843205574912894,52,0.0
Llama-3.1-8B-Instruct,0.0,5,0.0,1.15,0.0,None,287,0.34843205574912894,53,0.0
