Model,Total Score,Included Tasks,Included Score,Avg Tests Passed,Pass Rate (%),Medal,Human Relative Rank,Human Percentile,Rank,Relative Score (%)
deepseek-reasoner,289.0,5,289.0,67.77,40.0,Bronze,142,53.311258278145694,1,57.8
gemini-2.5-pro,254.0,5,254.0,77.51,40.0,Bronze,150,50.66225165562914,2,50.8
gpt-o3-mini-high,234.0,5,234.0,67.09,40.0,None,165,45.6953642384106,3,46.8
gemini-2.5-flash,217.0,5,217.0,63.18,40.0,None,174,42.71523178807947,4,43.4
Qwen3-14B,209.0,5,209.0,64.99,20.0,None,176,42.05298013245033,5,41.8
Qwen3-30B,190.0,5,190.0,63.98,20.0,None,219,27.814569536423843,6,38.0
Qwen3-8B,163.0,5,163.0,48.25,20.0,None,231,23.841059602649008,7,32.6
Qwen3-32B,155.0,5,155.0,61.25,20.0,None,233,23.178807947019866,8,31.0
DeepSeek-R1-Distill-Llama-70B,130.0,5,130.0,51.23,20.0,None,237,21.85430463576159,9,26.0
QwQ-32B,111.0,5,111.0,47.19,20.0,None,241,20.52980132450331,10,22.2
DeepSeek-R1-Distill-Qwen-32B,103.0,5,103.0,39.07,20.0,None,245,19.205298013245034,11,20.6
Qwen3-4B,100.0,5,100.0,29.39,20.0,None,245,19.205298013245034,12,20.0
DeepSeek-R1-Distill-Qwen-14B,100.0,5,100.0,29.39,20.0,None,245,19.205298013245034,13,20.0
Llama-3.3-70B-Instruct,36.0,5,36.0,39.42,0.0,None,292,3.642384105960265,14,7.2
deepseek-chat,30.0,5,30.0,44.5,0.0,None,295,2.6490066225165565,15,6.0
gpt-4.1,21.0,5,21.0,32.04,0.0,None,300,0.9933774834437086,16,4.2
Qwen3-32B-Non-Thinking,21.0,5,21.0,30.41,0.0,None,300,0.9933774834437086,17,4.2
Qwen3-8B-Non-Thinking,13.0,5,13.0,23.42,0.0,None,301,0.6622516556291391,18,2.6
Mistral-Large-Instruct-2411,13.0,5,13.0,24.57,0.0,None,301,0.6622516556291391,19,2.6
Qwen2.5-72B,13.0,5,13.0,23.42,0.0,None,301,0.6622516556291391,20,2.6
Qwen2.5-Coder-14B-Instruct,13.0,5,13.0,23.42,0.0,None,301,0.6622516556291391,21,2.6
Qwen3-30B-Non-Thinking,13.0,5,13.0,30.2,0.0,None,301,0.6622516556291391,22,2.6
Qwen2.5-Coder-32B-Instruct,10.0,5,10.0,22.1,0.0,None,302,0.33112582781456956,23,2.0
Qwen2.5-Coder-7B-Instruct,10.0,5,10.0,17.89,0.0,None,302,0.33112582781456956,24,2.0
Codestral-22B-v0.1,3.0,5,3.0,19.93,0.0,None,302,0.33112582781456956,25,0.6
Qwen3-4B-Non-Thinking,3.0,5,3.0,16.34,0.0,None,302,0.33112582781456956,26,0.6
DeepSeek-R1-Distill-Qwen-7B,0.0,5,0.0,0.0,0.0,None,303,0.0,27,0.0
DeepSeek-R1-Distill-Llama-8B,0.0,5,0.0,6.42,0.0,None,303,0.0,28,0.0
Llama-3.1-8B-Instruct,0.0,5,0.0,10.1,0.0,None,303,0.0,29,0.0
DeepSeek-Coder-V2-Lite-Instruct,0.0,5,0.0,20.57,0.0,None,303,0.0,30,0.0
Qwen3-14B-Non-Thinking,0.0,5,0.0,7.87,0.0,None,303,0.0,31,0.0
Mistral-Small-3.1-24B-2503,0.0,5,0.0,10.24,0.0,None,303,0.0,32,0.0
