Model,Total Score,Included Tasks,Solved Tasks,Partial Tasks,Pass Rate (%),Relative Score (%),Medal,Bronze Score,Silver Score,Gold Score,Rank,Competition,Year,Round,Contest_Key
gpt-o3-mini-high,2260.0,9,6,2,66.66666666666666,75.40874207540874,Bronze,1000.0,567.0,693.0,1,USACO,2025,combined,USACO-2025-US_Open_Contest-combined
gemini-2.5-pro,2060.0,9,6,1,66.66666666666666,68.73540206873541,Bronze,1000.0,667.0,393.0,2,USACO,2025,combined,USACO-2025-US_Open_Contest-combined
gemini-2.5-flash,1998.0,9,5,3,55.55555555555556,66.66666666666666,Bronze,1000.0,667.0,331.0,3,USACO,2025,combined,USACO-2025-US_Open_Contest-combined
deepseek-reasoner,1843.0,9,5,1,55.55555555555556,61.49482816149483,Bronze,1000.0,667.0,176.0,4,USACO,2025,combined,USACO-2025-US_Open_Contest-combined
QwQ-32B,1656.0,9,4,2,44.44444444444444,55.25525525525525,Bronze,1000.0,401.0,255.0,5,USACO,2025,combined,USACO-2025-US_Open_Contest-combined
Qwen3-32B,1628.0,9,4,3,44.44444444444444,54.32098765432099,Bronze,834.0,401.0,393.0,6,USACO,2025,combined,USACO-2025-US_Open_Contest-combined
Qwen3-30B,1628.0,9,4,3,44.44444444444444,54.32098765432099,Bronze,834.0,401.0,393.0,7,USACO,2025,combined,USACO-2025-US_Open_Contest-combined
Qwen3-14B,1390.0,9,3,4,33.33333333333333,46.37971304637971,Bronze,834.0,401.0,155.0,8,USACO,2025,combined,USACO-2025-US_Open_Contest-combined
DeepSeek-R1-Distill-Qwen-32B,1175.0,9,3,3,33.33333333333333,39.20587253920587,Bronze,734.0,401.0,40.0,9,USACO,2025,combined,USACO-2025-US_Open_Contest-combined
Qwen3-4B,931.0,9,2,3,22.22222222222222,31.064397731064396,Bronze,800.0,130.0,1.0,10,USACO,2025,combined,USACO-2025-US_Open_Contest-combined
DeepSeek-R1-Distill-Qwen-14B,798.0,9,2,2,22.22222222222222,26.626626626626624,None,667.0,130.0,1.0,11,USACO,2025,combined,USACO-2025-US_Open_Contest-combined
DeepSeek-R1-Distill-Llama-70B,736.0,9,2,1,22.22222222222222,24.55789122455789,None,401.0,334.0,1.0,12,USACO,2025,combined,USACO-2025-US_Open_Contest-combined
Qwen3-8B,733.0,9,1,4,11.11111111111111,24.457791124457792,None,501.0,172.0,60.0,13,USACO,2025,combined,USACO-2025-US_Open_Contest-combined
deepseek-chat,532.0,9,1,3,11.11111111111111,17.751084417751084,None,401.0,130.0,1.0,14,USACO,2025,combined,USACO-2025-US_Open_Contest-combined
gpt-4.1,414.0,9,0,4,0.0,13.813813813813812,None,220.0,193.0,1.0,15,USACO,2025,combined,USACO-2025-US_Open_Contest-combined
Qwen3-8B-Non-Thinking,322.0,9,0,3,0.0,10.744077410744076,None,253.0,68.0,1.0,16,USACO,2025,combined,USACO-2025-US_Open_Contest-combined
Llama-3.3-70B-Instruct,289.0,9,0,3,0.0,9.642976309642977,None,220.0,68.0,1.0,17,USACO,2025,combined,USACO-2025-US_Open_Contest-combined
Qwen3-14B-Non-Thinking,247.0,9,0,3,0.0,8.241574908241574,None,153.0,34.0,60.0,18,USACO,2025,combined,USACO-2025-US_Open_Contest-combined
Mistral-Large-Instruct-2411,238.0,9,0,4,0.0,7.941274607941275,None,68.0,130.0,40.0,19,USACO,2025,combined,USACO-2025-US_Open_Contest-combined
Qwen2.5-Coder-14B-Instruct,196.0,9,0,3,0.0,6.539873206539873,None,68.0,68.0,60.0,20,USACO,2025,combined,USACO-2025-US_Open_Contest-combined
Qwen3-30B-Non-Thinking,165.0,9,0,3,0.0,5.505505505505505,None,34.0,130.0,1.0,21,USACO,2025,combined,USACO-2025-US_Open_Contest-combined
Qwen3-32B-Non-Thinking,132.0,9,0,2,0.0,4.404404404404405,None,1.0,130.0,1.0,22,USACO,2025,combined,USACO-2025-US_Open_Contest-combined
Qwen2.5-72B,129.0,9,0,2,0.0,4.3043043043043046,None,1.0,68.0,60.0,23,USACO,2025,combined,USACO-2025-US_Open_Contest-combined
Qwen2.5-Coder-32B-Instruct,103.0,9,0,2,0.0,3.4367701034367704,None,34.0,68.0,1.0,24,USACO,2025,combined,USACO-2025-US_Open_Contest-combined
Mistral-Small-3.1-24B-2503,70.0,9,0,1,0.0,2.335669002335669,None,1.0,68.0,1.0,25,USACO,2025,combined,USACO-2025-US_Open_Contest-combined
Qwen3-4B-Non-Thinking,70.0,9,0,1,0.0,2.335669002335669,None,1.0,68.0,1.0,26,USACO,2025,combined,USACO-2025-US_Open_Contest-combined
DeepSeek-Coder-V2-Lite-Instruct,36.0,9,0,1,0.0,1.2012012012012012,None,1.0,34.0,1.0,27,USACO,2025,combined,USACO-2025-US_Open_Contest-combined
Codestral-22B-v0.1,3.0,9,0,0,0.0,0.10010010010010009,None,1.0,1.0,1.0,28,USACO,2025,combined,USACO-2025-US_Open_Contest-combined
Qwen2.5-Coder-7B-Instruct,3.0,9,0,0,0.0,0.10010010010010009,None,1.0,1.0,1.0,29,USACO,2025,combined,USACO-2025-US_Open_Contest-combined
Llama-3.1-8B-Instruct,3.0,9,0,0,0.0,0.10010010010010009,None,1.0,1.0,1.0,30,USACO,2025,combined,USACO-2025-US_Open_Contest-combined
DeepSeek-R1-Distill-Llama-8B,3.0,9,0,0,0.0,0.10010010010010009,None,1.0,1.0,1.0,31,USACO,2025,combined,USACO-2025-US_Open_Contest-combined
