Model,Total Score,Included Tasks,Solved Tasks,Partial Tasks,Pass Rate (%),Relative Score (%),Medal,Platinum Score,Rank,Competition,Year,Round,Contest_Key
gpt-o3-mini-high,154.0,3,0,2,0.0,15.415415415415415,None,154.0,1,USACO,2024,platinum,USACO-2024-February_Contest-platinum
gemini-2.5-pro,133.0,3,0,2,0.0,13.313313313313312,None,133.0,2,USACO,2024,platinum,USACO-2024-February_Contest-platinum
Qwen3-32B,116.0,3,0,2,0.0,11.611611611611613,None,116.0,3,USACO,2024,platinum,USACO-2024-February_Contest-platinum
gpt-4.1,116.0,3,0,2,0.0,11.611611611611613,None,116.0,4,USACO,2024,platinum,USACO-2024-February_Contest-platinum
deepseek-chat,116.0,3,0,2,0.0,11.611611611611613,None,116.0,5,USACO,2024,platinum,USACO-2024-February_Contest-platinum
deepseek-reasoner,100.0,3,0,2,0.0,10.01001001001001,None,100.0,6,USACO,2024,platinum,USACO-2024-February_Contest-platinum
Qwen3-30B,95.0,3,0,2,0.0,9.50950950950951,None,95.0,7,USACO,2024,platinum,USACO-2024-February_Contest-platinum
Llama-3.1-8B-Instruct,92.0,3,0,2,0.0,9.20920920920921,None,92.0,8,USACO,2024,platinum,USACO-2024-February_Contest-platinum
Qwen3-8B,79.0,3,0,2,0.0,7.907907907907907,None,79.0,9,USACO,2024,platinum,USACO-2024-February_Contest-platinum
Qwen3-14B,79.0,3,0,2,0.0,7.907907907907907,None,79.0,10,USACO,2024,platinum,USACO-2024-February_Contest-platinum
Qwen2.5-Coder-14B-Instruct,59.0,3,0,2,0.0,5.905905905905906,None,59.0,11,USACO,2024,platinum,USACO-2024-February_Contest-platinum
DeepSeek-R1-Distill-Llama-70B,59.0,3,0,2,0.0,5.905905905905906,None,59.0,12,USACO,2024,platinum,USACO-2024-February_Contest-platinum
Qwen2.5-72B,59.0,3,0,2,0.0,5.905905905905906,None,59.0,13,USACO,2024,platinum,USACO-2024-February_Contest-platinum
Qwen3-32B-Non-Thinking,59.0,3,0,2,0.0,5.905905905905906,None,59.0,14,USACO,2024,platinum,USACO-2024-February_Contest-platinum
QwQ-32B,59.0,3,0,2,0.0,5.905905905905906,None,59.0,15,USACO,2024,platinum,USACO-2024-February_Contest-platinum
gemini-2.5-flash,59.0,3,0,2,0.0,5.905905905905906,None,59.0,16,USACO,2024,platinum,USACO-2024-February_Contest-platinum
Qwen2.5-Coder-7B-Instruct,42.0,3,0,1,0.0,4.2042042042042045,None,42.0,17,USACO,2024,platinum,USACO-2024-February_Contest-platinum
DeepSeek-R1-Distill-Qwen-32B,42.0,3,0,1,0.0,4.2042042042042045,None,42.0,18,USACO,2024,platinum,USACO-2024-February_Contest-platinum
Mistral-Large-Instruct-2411,38.0,3,0,2,0.0,3.8038038038038042,None,38.0,19,USACO,2024,platinum,USACO-2024-February_Contest-platinum
Llama-3.3-70B-Instruct,38.0,3,0,2,0.0,3.8038038038038042,None,38.0,20,USACO,2024,platinum,USACO-2024-February_Contest-platinum
Qwen2.5-Coder-32B-Instruct,38.0,3,0,2,0.0,3.8038038038038042,None,38.0,21,USACO,2024,platinum,USACO-2024-February_Contest-platinum
Qwen3-30B-Non-Thinking,33.0,3,0,1,0.0,3.303303303303303,None,33.0,22,USACO,2024,platinum,USACO-2024-February_Contest-platinum
DeepSeek-R1-Distill-Qwen-14B,21.0,3,0,1,0.0,2.1021021021021022,None,21.0,23,USACO,2024,platinum,USACO-2024-February_Contest-platinum
Codestral-22B-v0.1,17.0,3,0,1,0.0,1.7017017017017018,None,17.0,24,USACO,2024,platinum,USACO-2024-February_Contest-platinum
Mistral-Small-3.1-24B-2503,17.0,3,0,1,0.0,1.7017017017017018,None,17.0,25,USACO,2024,platinum,USACO-2024-February_Contest-platinum
Qwen3-4B,17.0,3,0,1,0.0,1.7017017017017018,None,17.0,26,USACO,2024,platinum,USACO-2024-February_Contest-platinum
Qwen3-4B-Non-Thinking,0.0,3,0,0,0.0,0.0,None,0.0,27,USACO,2024,platinum,USACO-2024-February_Contest-platinum
Qwen3-14B-Non-Thinking,0.0,3,0,0,0.0,0.0,None,0.0,28,USACO,2024,platinum,USACO-2024-February_Contest-platinum
DeepSeek-Coder-V2-Lite-Instruct,0.0,3,0,0,0.0,0.0,None,0.0,29,USACO,2024,platinum,USACO-2024-February_Contest-platinum
Qwen3-8B-Non-Thinking,0.0,3,0,0,0.0,0.0,None,0.0,30,USACO,2024,platinum,USACO-2024-February_Contest-platinum
DeepSeek-R1-Distill-Llama-8B,0.0,3,0,0,0.0,0.0,None,0.0,31,USACO,2024,platinum,USACO-2024-February_Contest-platinum
