Model,Total Score,Included Tasks,Included Score,Avg Tests Passed,Pass Rate (%),Medal,Human Relative Rank,Human Percentile,Rank,Relative Score (%)
gemini-2.5-pro,352.0,7,316.0,58.54,25.0,None,213,49.40334128878282,1,45.14
gpt-o3-mini-high,336.0,7,283.0,54.58,25.0,None,251,40.334128878281625,2,40.43
gemini-2.5-flash,316.0,7,280.0,53.34,25.0,None,256,39.140811455847256,3,40.0
Qwen3-32B,252.0,7,199.0,43.88,0.0,None,326,22.43436754176611,4,28.43
gpt-4.1,201.0,7,165.0,36.52,0.0,None,351,16.46778042959427,5,23.57
Qwen3-14B,196.0,7,143.0,37.77,0.0,None,363,13.60381861575179,6,20.43
deepseek-reasoner,195.0,7,142.0,36.53,0.0,None,364,13.365155131264917,7,20.29
Codestral-22B-v0.1,160.0,7,142.0,25.0,12.5,None,364,13.365155131264917,8,20.29
deepseek-chat,144.0,7,108.0,29.19,0.0,None,393,6.443914081145585,9,15.43
Qwen3-8B,127.0,7,74.0,28.08,0.0,None,414,1.431980906921241,10,10.57
Qwen3-30B,113.0,7,60.0,25.81,0.0,None,416,0.954653937947494,11,8.57
DeepSeek-R1-Distill-Llama-70B,109.0,7,56.0,26.79,0.0,None,416,0.954653937947494,12,8.0
Mistral-Small-3.1-24B-2503,78.0,7,42.0,17.66,0.0,None,419,0.2386634844868735,13,6.0
Qwen2.5-Coder-14B-Instruct,78.0,7,42.0,18.97,0.0,None,419,0.2386634844868735,14,6.0
QwQ-32B,90.0,7,37.0,23.23,0.0,None,419,0.2386634844868735,15,5.29
Llama-3.3-70B-Instruct,66.0,7,30.0,15.54,0.0,None,419,0.2386634844868735,16,4.29
Qwen2.5-Coder-32B-Instruct,41.0,7,23.0,7.28,0.0,None,419,0.2386634844868735,17,3.29
DeepSeek-R1-Distill-Qwen-14B,49.0,7,13.0,9.95,0.0,None,420,0.0,18,1.86
Mistral-Large-Instruct-2411,20.0,7,12.0,4.49,0.0,None,420,0.0,19,1.71
DeepSeek-Coder-V2-Lite-Instruct,30.0,7,12.0,4.85,0.0,None,420,0.0,20,1.71
Qwen2.5-72B,30.0,7,12.0,5.87,0.0,None,420,0.0,21,1.71
Qwen3-4B,65.0,7,12.0,18.37,0.0,None,420,0.0,22,1.71
Qwen3-30B-Non-Thinking,48.0,7,12.0,10.78,0.0,None,420,0.0,23,1.71
DeepSeek-R1-Distill-Qwen-32B,48.0,7,12.0,17.75,0.0,None,420,0.0,24,1.71
Qwen3-8B-Non-Thinking,36.0,7,0.0,7.74,0.0,None,420,0.0,25,0.0
Qwen3-4B-Non-Thinking,36.0,7,0.0,9.55,0.0,None,420,0.0,26,0.0
Llama-3.1-8B-Instruct,33.0,7,0.0,7.77,0.0,None,420,0.0,27,0.0
Qwen3-14B-Non-Thinking,53.0,7,0.0,12.96,0.0,None,420,0.0,28,0.0
Qwen3-32B-Non-Thinking,53.0,7,0.0,13.14,0.0,None,420,0.0,29,0.0
DeepSeek-R1-Distill-Qwen-7B,0.0,7,0.0,0.0,0.0,None,420,0.0,30,0.0
DeepSeek-R1-Distill-Llama-8B,0.0,7,0.0,0.0,0.0,None,420,0.0,31,0.0
Qwen2.5-Coder-7B-Instruct,0.0,7,0.0,1.78,0.0,None,420,0.0,32,0.0
