Model,Total Score,Included Tasks,Solved Tasks,Partial Tasks,Pass Rate (%),Relative Score (%),Medal,Platinum Score,Rank,Competition,Year,Round,Contest_Key
gemini-2.5-pro,683.0,3,1,2,33.33333333333333,68.36836836836837,Gold,683.0,1,USACO,2023,platinum,USACO-2023-December_Contest-platinum
gpt-o3-mini-high,500.0,3,0,3,0.0,50.050050050050054,Silver,500.0,2,USACO,2023,platinum,USACO-2023-December_Contest-platinum
deepseek-reasoner,384.0,3,0,3,0.0,38.43843843843844,Silver,384.0,3,USACO,2023,platinum,USACO-2023-December_Contest-platinum
deepseek-chat,350.0,3,0,2,0.0,35.03503503503504,None,350.0,4,USACO,2023,platinum,USACO-2023-December_Contest-platinum
Qwen3-32B,350.0,3,0,2,0.0,35.03503503503504,None,350.0,5,USACO,2023,platinum,USACO-2023-December_Contest-platinum
Qwen3-8B,317.0,3,0,2,0.0,31.73173173173173,Bronze,317.0,6,USACO,2023,platinum,USACO-2023-December_Contest-platinum
DeepSeek-R1-Distill-Llama-70B,300.0,3,0,1,0.0,30.03003003003003,Bronze,300.0,7,USACO,2023,platinum,USACO-2023-December_Contest-platinum
gpt-4.1,283.0,3,0,3,0.0,28.32832832832833,Bronze,283.0,8,USACO,2023,platinum,USACO-2023-December_Contest-platinum
Qwen3-14B,250.0,3,0,3,0.0,25.025025025025027,None,250.0,9,USACO,2023,platinum,USACO-2023-December_Contest-platinum
QwQ-32B,233.0,3,0,2,0.0,23.323323323323322,None,233.0,10,USACO,2023,platinum,USACO-2023-December_Contest-platinum
Qwen3-30B,200.0,3,0,2,0.0,20.02002002002002,None,200.0,11,USACO,2023,platinum,USACO-2023-December_Contest-platinum
DeepSeek-R1-Distill-Qwen-32B,200.0,3,0,2,0.0,20.02002002002002,None,200.0,12,USACO,2023,platinum,USACO-2023-December_Contest-platinum
Qwen3-4B,200.0,3,0,2,0.0,20.02002002002002,None,200.0,13,USACO,2023,platinum,USACO-2023-December_Contest-platinum
gemini-2.5-flash,83.0,3,0,3,0.0,8.308308308308309,None,83.0,14,USACO,2023,platinum,USACO-2023-December_Contest-platinum
Qwen3-32B-Non-Thinking,67.0,3,0,2,0.0,6.706706706706707,None,67.0,15,USACO,2023,platinum,USACO-2023-December_Contest-platinum
Qwen3-14B-Non-Thinking,50.0,3,0,1,0.0,5.005005005005005,None,50.0,16,USACO,2023,platinum,USACO-2023-December_Contest-platinum
DeepSeek-R1-Distill-Qwen-14B,17.0,3,0,1,0.0,1.7017017017017018,None,17.0,17,USACO,2023,platinum,USACO-2023-December_Contest-platinum
Mistral-Large-Instruct-2411,17.0,3,0,1,0.0,1.7017017017017018,None,17.0,18,USACO,2023,platinum,USACO-2023-December_Contest-platinum
Qwen2.5-72B,17.0,3,0,1,0.0,1.7017017017017018,None,17.0,19,USACO,2023,platinum,USACO-2023-December_Contest-platinum
Qwen2.5-Coder-14B-Instruct,17.0,3,0,1,0.0,1.7017017017017018,None,17.0,20,USACO,2023,platinum,USACO-2023-December_Contest-platinum
Mistral-Small-3.1-24B-2503,0.0,3,0,0,0.0,0.0,None,0.0,21,USACO,2023,platinum,USACO-2023-December_Contest-platinum
DeepSeek-R1-Distill-Llama-8B,0.0,3,0,0,0.0,0.0,None,0.0,22,USACO,2023,platinum,USACO-2023-December_Contest-platinum
Llama-3.1-8B-Instruct,0.0,3,0,0,0.0,0.0,None,0.0,23,USACO,2023,platinum,USACO-2023-December_Contest-platinum
DeepSeek-Coder-V2-Lite-Instruct,0.0,3,0,0,0.0,0.0,None,0.0,24,USACO,2023,platinum,USACO-2023-December_Contest-platinum
Codestral-22B-v0.1,0.0,3,0,0,0.0,0.0,None,0.0,25,USACO,2023,platinum,USACO-2023-December_Contest-platinum
Qwen3-30B-Non-Thinking,0.0,3,0,0,0.0,0.0,None,0.0,26,USACO,2023,platinum,USACO-2023-December_Contest-platinum
Qwen2.5-Coder-7B-Instruct,0.0,3,0,0,0.0,0.0,None,0.0,27,USACO,2023,platinum,USACO-2023-December_Contest-platinum
Qwen3-4B-Non-Thinking,0.0,3,0,0,0.0,0.0,None,0.0,28,USACO,2023,platinum,USACO-2023-December_Contest-platinum
Qwen3-8B-Non-Thinking,0.0,3,0,0,0.0,0.0,None,0.0,29,USACO,2023,platinum,USACO-2023-December_Contest-platinum
Llama-3.3-70B-Instruct,0.0,3,0,0,0.0,0.0,None,0.0,30,USACO,2023,platinum,USACO-2023-December_Contest-platinum
Qwen2.5-Coder-32B-Instruct,0.0,3,0,0,0.0,0.0,None,0.0,31,USACO,2023,platinum,USACO-2023-December_Contest-platinum
DeepSeek-R1-Distill-Qwen-7B,0.0,3,0,0,0.0,0.0,None,0.0,32,USACO,2023,platinum,USACO-2023-December_Contest-platinum
