Model,Total Score,Included Tasks,Included Score,Avg Tests Passed,Pass Rate (%),Medal,Human Relative Rank,Human Percentile,Rank,Relative Score (%)
gpt-o3-mini-high,293.0,6,293.0,76.14,33.33,Bronze,24,58.92857142857143,1,48.83
gemini-2.5-flash,219.0,6,219.0,67.22,16.67,None,35,39.285714285714285,2,36.5
gemini-2.5-pro,194.0,6,194.0,61.28,0.0,None,37,35.714285714285715,3,32.33
Qwen3-32B-Non-Thinking,124.0,6,124.0,40.43,16.67,None,48,16.071428571428573,4,20.67
Qwen2.5-Coder-32B-Instruct,110.0,6,110.0,33.22,16.67,None,51,10.714285714285714,5,18.33
gpt-4.1,100.0,6,100.0,50.77,0.0,None,52,8.928571428571429,6,16.67
deepseek-chat,33.0,6,33.0,35.34,0.0,None,57,0.0,7,5.5
Qwen3-32B,30.0,6,30.0,41.65,0.0,None,57,0.0,8,5.0
Qwen3-14B-Non-Thinking,30.0,6,30.0,28.92,0.0,None,57,0.0,9,5.0
deepseek-reasoner,30.0,6,30.0,42.07,0.0,None,57,0.0,10,5.0
Qwen3-30B,26.0,6,26.0,28.93,0.0,None,57,0.0,11,4.33
Qwen3-30B-Non-Thinking,24.0,6,24.0,20.6,0.0,None,57,0.0,12,4.0
Qwen3-8B,22.0,6,22.0,35.76,0.0,None,57,0.0,13,3.67
Llama-3.3-70B-Instruct,20.0,6,20.0,14.73,0.0,None,57,0.0,14,3.33
Qwen3-8B-Non-Thinking,20.0,6,20.0,18.15,0.0,None,57,0.0,15,3.33
Qwen3-4B-Non-Thinking,17.0,6,17.0,11.48,0.0,None,57,0.0,16,2.83
Qwen2.5-Coder-14B-Instruct,16.0,6,16.0,20.93,0.0,None,57,0.0,17,2.67
Qwen3-4B,16.0,6,16.0,32.88,0.0,None,57,0.0,18,2.67
Codestral-22B-v0.1,16.0,6,16.0,20.27,0.0,None,57,0.0,19,2.67
QwQ-32B,15.0,6,15.0,29.26,0.0,None,57,0.0,20,2.5
Mistral-Large-Instruct-2411,13.0,6,13.0,19.75,0.0,None,57,0.0,21,2.17
Qwen2.5-72B,10.0,6,10.0,18.37,0.0,None,57,0.0,22,1.67
Mistral-Small-3.1-24B-2503,10.0,6,10.0,17.47,0.0,None,57,0.0,23,1.67
Qwen3-14B,6.0,6,6.0,20.74,0.0,None,57,0.0,24,1.0
DeepSeek-R1-Distill-Qwen-32B,6.0,6,6.0,20.85,0.0,None,57,0.0,25,1.0
DeepSeek-R1-Distill-Llama-70B,6.0,6,6.0,23.23,0.0,None,57,0.0,26,1.0
DeepSeek-R1-Distill-Qwen-7B,0.0,6,0.0,0.0,0.0,None,57,0.0,27,0.0
DeepSeek-R1-Distill-Llama-8B,0.0,6,0.0,1.61,0.0,None,57,0.0,28,0.0
Qwen2.5-Coder-7B-Instruct,0.0,6,0.0,2.37,0.0,None,57,0.0,29,0.0
Llama-3.1-8B-Instruct,0.0,6,0.0,6.64,0.0,None,57,0.0,30,0.0
DeepSeek-R1-Distill-Qwen-14B,0.0,6,0.0,5.54,0.0,None,57,0.0,31,0.0
DeepSeek-Coder-V2-Lite-Instruct,0.0,6,0.0,6.53,0.0,None,57,0.0,32,0.0
