Model,Total Score,Included Tasks,Included Score,Avg Tests Passed,Pass Rate (%),Medal,Human Relative Rank,Human Percentile,Rank,Relative Score (%)
gemini-2.5-pro,390.0,6,390.0,71.26,50.0,Silver,8,90.78947368421052,1,65.0
gpt-o3-mini-high,282.0,6,282.0,57.42,33.33,Silver,17,78.94736842105263,2,47.0
gemini-2.5-flash,229.0,6,229.0,59.43,16.67,Bronze,29,63.1578947368421,3,38.17
Qwen3-32B,208.0,6,208.0,54.03,16.67,Bronze,30,61.8421052631579,4,34.67
Qwen3-30B,142.0,6,142.0,36.99,16.67,None,43,44.73684210526316,5,23.67
deepseek-reasoner,113.0,6,113.0,40.39,0.0,None,47,39.473684210526315,6,18.83
gpt-4.1,84.0,6,84.0,47.32,0.0,None,56,27.63157894736842,7,14.0
QwQ-32B,47.0,6,47.0,28.86,0.0,None,68,11.842105263157896,8,7.83
DeepSeek-R1-Distill-Llama-70B,32.0,6,32.0,24.96,0.0,None,70,9.210526315789474,9,5.33
Qwen2.5-72B,32.0,6,32.0,22.28,0.0,None,70,9.210526315789474,10,5.33
Mistral-Large-Instruct-2411,30.0,6,30.0,29.48,0.0,None,70,9.210526315789474,11,5.0
DeepSeek-R1-Distill-Qwen-32B,26.0,6,26.0,16.4,0.0,None,70,9.210526315789474,12,4.33
DeepSeek-R1-Distill-Qwen-14B,22.0,6,22.0,20.08,0.0,None,71,7.894736842105263,13,3.67
Qwen3-14B,22.0,6,22.0,26.36,0.0,None,71,7.894736842105263,14,3.67
Qwen3-4B,22.0,6,22.0,22.46,0.0,None,71,7.894736842105263,15,3.67
Qwen3-4B-Non-Thinking,22.0,6,22.0,15.02,0.0,None,71,7.894736842105263,16,3.67
Qwen3-32B-Non-Thinking,22.0,6,22.0,24.79,0.0,None,71,7.894736842105263,17,3.67
Qwen2.5-Coder-32B-Instruct,22.0,6,22.0,24.87,0.0,None,71,7.894736842105263,18,3.67
Qwen3-14B-Non-Thinking,21.0,6,21.0,14.26,0.0,None,71,7.894736842105263,19,3.5
Qwen2.5-Coder-14B-Instruct,21.0,6,21.0,13.27,0.0,None,71,7.894736842105263,20,3.5
Qwen3-30B-Non-Thinking,21.0,6,21.0,20.71,0.0,None,71,7.894736842105263,21,3.5
Llama-3.3-70B-Instruct,21.0,6,21.0,20.3,0.0,None,71,7.894736842105263,22,3.5
Qwen3-8B,21.0,6,21.0,20.82,0.0,None,71,7.894736842105263,23,3.5
Mistral-Small-3.1-24B-2503,21.0,6,21.0,15.68,0.0,None,71,7.894736842105263,24,3.5
Qwen3-8B-Non-Thinking,9.0,6,9.0,15.64,0.0,None,73,5.2631578947368425,25,1.5
deepseek-chat,8.0,6,8.0,21.08,0.0,None,73,5.2631578947368425,26,1.33
Codestral-22B-v0.1,1.0,6,1.0,1.98,0.0,None,77,0.0,27,0.17
DeepSeek-R1-Distill-Qwen-7B,0.0,6,0.0,0.0,0.0,None,77,0.0,28,0.0
DeepSeek-R1-Distill-Llama-8B,0.0,6,0.0,1.56,0.0,None,77,0.0,29,0.0
Qwen2.5-Coder-7B-Instruct,0.0,6,0.0,3.67,0.0,None,77,0.0,30,0.0
Llama-3.1-8B-Instruct,0.0,6,0.0,2.15,0.0,None,77,0.0,31,0.0
DeepSeek-Coder-V2-Lite-Instruct,0.0,6,0.0,2.63,0.0,None,77,0.0,32,0.0
