Model,Total Score,Included Tasks,Included Score,Avg Tests Passed,Pass Rate (%),Medal,Human Relative Rank,Human Percentile,Rank,Relative Score (%)
grok-4-fast-reasoning,429.0,11,429.0,67.56,27.27,Bronze,187,67.48251748251748,1,39.0
gpt-5,391.0,11,391.0,56.46,27.27,Bronze,214,62.76223776223776,2,35.55
gpt-oss-120b-high,370.0,11,370.0,48.79,25.0,Bronze,223,61.18881118881119,3,33.64
gpt-oss-120b_sp4,348.0,11,348.0,47.25,16.67,Bronze,232,59.61538461538461,4,31.64
gemini-2.5-pro,343.0,11,343.0,52.02,18.18,Bronze,235,59.09090909090909,5,31.18
gpt-o3-mini-high,278.0,11,278.0,49.9,16.67,Bronze,261,54.54545454545455,6,25.27
gpt-oss-120b-medium,266.0,11,266.0,42.37,16.67,Bronze,265,53.84615384615385,7,24.18
gpt-oss-120b_sp2,260.0,11,260.0,46.25,16.67,Bronze,265,53.84615384615385,8,23.64
gpt-oss-120b_sp1,255.0,11,255.0,40.54,16.67,Bronze,271,52.7972027972028,9,23.18
gpt-oss-20b-medium,246.0,11,246.0,38.78,18.18,Bronze,279,51.3986013986014,10,22.36
gpt-oss-120b-low,220.0,11,220.0,30.69,16.67,None,288,49.82517482517483,11,20.0
gemini-2.5-flash,202.0,11,202.0,46.26,9.09,None,311,45.80419580419581,12,18.36
Qwen3-32B,196.0,11,196.0,42.65,8.33,None,353,38.46153846153846,13,17.82
claude-sonnet-4.5,186.0,11,186.0,60.18,0.0,None,354,38.28671328671329,14,16.91
Qwen3-14B,172.0,11,172.0,36.21,8.33,None,357,37.76223776223776,15,15.64
gpt-oss-120b_sp3,154.0,11,154.0,33.95,8.33,None,375,34.61538461538461,16,14.0
gpt-oss-20b-high,147.0,11,147.0,45.04,12.5,None,379,33.91608391608391,17,13.36
Qwen3-8B,147.0,11,147.0,31.58,8.33,None,379,33.91608391608391,18,13.36
deepseek-reasoner,129.0,11,129.0,41.34,0.0,None,385,32.86713286713287,19,11.73
seed-oss_4096,122.0,11,122.0,23.46,8.33,None,388,32.34265734265734,20,11.09
Qwen3-32B-Non-Thinking,109.0,11,109.0,20.28,9.09,None,406,29.195804195804197,21,9.91
seed-oss_8192,105.0,11,105.0,41.74,0.0,None,410,28.496503496503497,22,9.55
OpenCodeReasoning-Nemotron-32B-IOI,98.0,11,98.0,32.29,0.0,None,449,21.678321678321677,23,8.91
seed-oss_-1,97.0,11,97.0,38.79,0.0,None,450,21.503496503496503,24,8.82
gpt-4.1,76.0,11,76.0,37.22,0.0,None,473,17.482517482517483,25,6.91
QwQ-32B,53.0,11,53.0,24.6,0.0,None,495,13.636363636363637,26,4.82
deepseek-chat,53.0,11,53.0,29.01,0.0,None,495,13.636363636363637,27,4.82
Qwen3-4B,50.0,11,50.0,24.17,0.0,None,495,13.636363636363637,28,4.55
DeepSeek-R1-Distill-Llama-70B,48.0,11,48.0,18.89,0.0,None,497,13.286713286713287,29,4.36
gpt-oss-20b-low,47.0,11,47.0,23.16,0.0,None,497,13.286713286713287,30,4.27
Qwen3-30B,47.0,11,47.0,32.82,0.0,None,497,13.286713286713287,31,4.27
Qwen2.5-Coder-32B-Instruct,46.0,11,46.0,23.28,0.0,None,497,13.286713286713287,32,4.18
seed-oss_16384,29.0,11,29.0,26.31,0.0,None,519,9.44055944055944,33,2.64
DeepSeek-R1-Distill-Qwen-32B,22.0,11,22.0,18.08,0.0,None,533,6.993006993006993,34,2.0
Mistral-Large-Instruct-2411,17.0,11,17.0,13.31,0.0,None,540,5.769230769230769,35,1.55
Qwen2.5-Coder-14B-Instruct,16.0,11,16.0,14.42,0.0,None,542,5.419580419580419,36,1.45
DeepSeek-R1-Distill-Qwen-14B,15.0,11,15.0,12.55,0.0,None,548,4.370629370629371,37,1.36
Codestral-22B-v0.1,8.0,11,8.0,9.98,0.0,None,557,2.797202797202797,38,0.73
seed-oss_0,7.0,11,7.0,11.41,0.0,None,557,2.797202797202797,39,0.64
seed-oss_1024,7.0,11,7.0,9.08,0.0,None,557,2.797202797202797,40,0.64
OlympicCoder-7B,6.0,11,6.0,10.51,0.0,None,559,2.4475524475524475,41,0.55
Llama-4-Scout,6.0,11,6.0,10.36,0.0,None,559,2.4475524475524475,42,0.55
seed-oss_2048,1.0,11,1.0,8.11,0.0,None,565,1.3986013986013985,43,0.09
Qwen2.5-72B,1.0,11,1.0,6.57,0.0,None,565,1.3986013986013985,44,0.09
Llama-3.3-70B-Instruct,1.0,11,1.0,7.41,0.0,None,565,1.3986013986013985,45,0.09
DeepSeek-R1-Distill-Qwen-7B,0.0,11,0.0,0.0,0.0,None,573,0.0,46,0.0
DeepSeek-R1-Distill-Llama-8B,0.0,11,0.0,0.0,0.0,None,573,0.0,47,0.0
Llama-3.1-8B-Instruct,0.0,11,0.0,2.27,0.0,None,573,0.0,48,0.0
seed-oss_512,0.0,11,0.0,7.12,0.0,None,573,0.0,49,0.0
Qwen3-30B-Non-Thinking,0.0,11,0.0,3.8,0.0,None,573,0.0,50,0.0
Qwen3-4B-Non-Thinking,0.0,11,0.0,2.72,0.0,None,573,0.0,51,0.0
Qwen3-14B-Non-Thinking,0.0,11,0.0,4.97,0.0,None,573,0.0,52,0.0
DeepSeek-Coder-V2-Lite-Instruct,0.0,11,0.0,5.22,0.0,None,573,0.0,53,0.0
Qwen2.5-Coder-7B-Instruct,0.0,11,0.0,7.62,0.0,None,573,0.0,54,0.0
Mistral-Small-3.1-24B-2503,0.0,11,0.0,5.83,0.0,None,573,0.0,55,0.0
Qwen3-8B-Non-Thinking,0.0,11,0.0,3.5,0.0,None,573,0.0,56,0.0
