Model,Total Score,Included Tasks,Solved Tasks,Partial Tasks,Pass Rate (%),Relative Score (%),Medal,Bronze Score,Silver Score,Gold Score,Rank,Competition,Year,Round,Contest_Key
gpt-o3-mini-high,2723.0,9,8,1,88.88888888888889,90.85752419085752,Silver,1000.0,1000.0,723.0,1,USACO,2023,combined,USACO-2023-February_Contest-combined
gemini-2.5-pro,2667.0,9,8,0,88.88888888888889,88.988988988989,Silver,1000.0,1000.0,667.0,2,USACO,2023,combined,USACO-2023-February_Contest-combined
deepseek-reasoner,2467.0,9,7,1,77.77777777777779,82.31564898231565,Silver,1000.0,1000.0,467.0,3,USACO,2023,combined,USACO-2023-February_Contest-combined
Qwen3-32B,2467.0,9,7,1,77.77777777777779,82.31564898231565,Silver,1000.0,1000.0,467.0,4,USACO,2023,combined,USACO-2023-February_Contest-combined
gemini-2.5-flash,2434.0,9,7,1,77.77777777777779,81.21454788121454,Silver,1000.0,767.0,667.0,5,USACO,2023,combined,USACO-2023-February_Contest-combined
Qwen3-14B,2158.0,9,5,2,55.55555555555556,72.00533867200534,Silver,1000.0,871.0,287.0,6,USACO,2023,combined,USACO-2023-February_Contest-combined
deepseek-chat,2050.0,9,5,3,55.55555555555556,68.40173506840173,Silver,1000.0,797.0,253.0,7,USACO,2023,combined,USACO-2023-February_Contest-combined
QwQ-32B,2034.0,9,6,1,66.66666666666666,67.86786786786787,Silver,1000.0,700.0,334.0,8,USACO,2023,combined,USACO-2023-February_Contest-combined
DeepSeek-R1-Distill-Llama-70B,1905.0,9,5,2,55.55555555555556,63.56356356356356,Bronze,1000.0,571.0,334.0,9,USACO,2023,combined,USACO-2023-February_Contest-combined
Qwen3-8B,1801.0,9,4,2,44.44444444444444,60.09342676009343,Silver,667.0,871.0,263.0,10,USACO,2023,combined,USACO-2023-February_Contest-combined
Qwen3-30B,1801.0,9,4,2,44.44444444444444,60.09342676009343,Silver,667.0,871.0,263.0,11,USACO,2023,combined,USACO-2023-February_Contest-combined
DeepSeek-R1-Distill-Qwen-32B,1639.0,9,4,2,44.44444444444444,54.68802135468802,Bronze,1000.0,305.0,334.0,12,USACO,2023,combined,USACO-2023-February_Contest-combined
gpt-4.1,1470.0,9,3,3,33.33333333333333,49.049049049049046,Bronze,1000.0,231.0,239.0,13,USACO,2023,combined,USACO-2023-February_Contest-combined
Qwen3-4B,1435.0,9,4,1,44.44444444444444,47.881214547881214,None,667.0,434.0,334.0,14,USACO,2023,combined,USACO-2023-February_Contest-combined
Qwen3-30B-Non-Thinking,1232.0,9,3,2,33.33333333333333,41.10777444110777,Bronze,1000.0,231.0,1.0,15,USACO,2023,combined,USACO-2023-February_Contest-combined
DeepSeek-R1-Distill-Qwen-14B,992.0,9,2,2,22.22222222222222,33.09976643309977,None,667.0,205.0,120.0,16,USACO,2023,combined,USACO-2023-February_Contest-combined
Qwen3-32B-Non-Thinking,973.0,9,2,2,22.22222222222222,32.4657991324658,None,667.0,305.0,1.0,17,USACO,2023,combined,USACO-2023-February_Contest-combined
Qwen3-8B-Non-Thinking,899.0,9,2,2,22.22222222222222,29.996663329996665,None,667.0,231.0,1.0,18,USACO,2023,combined,USACO-2023-February_Contest-combined
Qwen2.5-Coder-32B-Instruct,766.0,9,1,3,11.11111111111111,25.558892225558893,None,534.0,231.0,1.0,19,USACO,2023,combined,USACO-2023-February_Contest-combined
Qwen2.5-72B,699.0,9,1,3,11.11111111111111,23.323323323323322,None,567.0,131.0,1.0,20,USACO,2023,combined,USACO-2023-February_Contest-combined
Llama-3.3-70B-Instruct,699.0,9,1,3,11.11111111111111,23.323323323323322,None,567.0,131.0,1.0,21,USACO,2023,combined,USACO-2023-February_Contest-combined
Mistral-Large-Instruct-2411,632.0,9,1,3,11.11111111111111,21.087754421087755,None,500.0,131.0,1.0,22,USACO,2023,combined,USACO-2023-February_Contest-combined
Qwen3-14B-Non-Thinking,599.0,9,1,3,11.11111111111111,19.98665331998665,None,367.0,231.0,1.0,23,USACO,2023,combined,USACO-2023-February_Contest-combined
Qwen2.5-Coder-14B-Instruct,566.0,9,1,2,11.11111111111111,18.88555221888555,None,434.0,131.0,1.0,24,USACO,2023,combined,USACO-2023-February_Contest-combined
Qwen3-4B-Non-Thinking,536.0,9,1,1,11.11111111111111,17.88455121788455,None,534.0,1.0,1.0,25,USACO,2023,combined,USACO-2023-February_Contest-combined
Qwen2.5-Coder-7B-Instruct,469.0,9,1,1,11.11111111111111,15.648982315648983,None,467.0,1.0,1.0,26,USACO,2023,combined,USACO-2023-February_Contest-combined
DeepSeek-R1-Distill-Llama-8B,336.0,9,1,0,11.11111111111111,11.21121121121121,None,334.0,1.0,1.0,27,USACO,2023,combined,USACO-2023-February_Contest-combined
Mistral-Small-3.1-24B-2503,169.0,9,0,2,0.0,5.638972305638972,None,167.0,1.0,1.0,28,USACO,2023,combined,USACO-2023-February_Contest-combined
Codestral-22B-v0.1,169.0,9,0,2,0.0,5.638972305638972,None,167.0,1.0,1.0,29,USACO,2023,combined,USACO-2023-February_Contest-combined
DeepSeek-Coder-V2-Lite-Instruct,136.0,9,0,2,0.0,4.537871204537871,None,134.0,1.0,1.0,30,USACO,2023,combined,USACO-2023-February_Contest-combined
Llama-3.1-8B-Instruct,103.0,9,0,1,0.0,3.4367701034367704,None,101.0,1.0,1.0,31,USACO,2023,combined,USACO-2023-February_Contest-combined
DeepSeek-R1-Distill-Qwen-7B,3.0,9,0,0,0.0,0.10010010010010009,None,1.0,1.0,1.0,32,USACO,2023,combined,USACO-2023-February_Contest-combined
