problem,status,score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4
estimathon,ACCEPTED,50,100.00%,0.000,0,,11,39,0,0,0
dirigent,TIME_LIMIT_EXCEEDED,0,3.57%,1.110,0.00390625,,0,0,0,0,0
baltazar,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
bomboni,ACCEPTED,110,100.00%,0.560,201.66796875,,13,17,33,47,0
skrivaca,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
kalendar,ACCEPTED,50,100.00%,0.000,0,,7,19,24,0,0
diskurs,RUNTIME_ERROR,0,0.00%,0.080,4.39453125,,0,0,0,0,0
logaritam,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
slasticarnica,RUNTIME_ERROR,0,5.00%,0.150,192.59765625,,0,0,0,0,0
zastave,ACCEPTED,110,100.00%,0.130,2.07421875,,41,22,47,0,0
7krokods,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
zrinka,RUNTIME_ERROR,35,40.00%,0.060,0.00390625,,15,20,0,0,0
bojanje,RUNTIME_ERROR,0,26.67%,0.050,0.00390625,,0,0,0,0,0
mreza,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
vrsta,RUNTIME_ERROR,45,40.00%,0.370,4.75,,19,26,0,0,0
tramvaji,ACCEPTED,50,100.00%,0.060,0,,12,13,25,0,0
ekspert,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
lampice,RUNTIME_ERROR,0,2.38%,0.110,4.12109375,,0,0,0,0,0
prijateljice,ACCEPTED,110,100.00%,0.100,7.48046875,,20,30,60,0,0
kruhologija,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
desniklik,ACCEPTED,50,100.00%,0.000,0,,5,15,30,0,0
cokolade,ACCEPTED,70,100.00%,0.220,3.6171875,,15,20,35,0,0
berilij,RUNTIME_ERROR,0,2.27%,0.190,3.87109375,,0,0,0,0,0
iksevi,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
neboderi,RUNTIME_ERROR,38,38.89%,0.570,5.1640625,,11,0,27,0,0
TOTAL,,718,38.35%,,,32.00%,,,,,
