Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,bikesvscars,bikesvscars_rel,candy,candy_rel,carnival,carnival_rel,findthebox,findthebox_rel,guessinggame,guessinggame_rel,inflation,inflation_rel,ppp,ppp_rel,sopsug,sopsug_rel
gemini-2.5-pro,436.00,,59.03%,50.00%,0.163,62.24,8,100.00,,100.00,,100.00,,0.00,,0.00,,100.00,,36.00,,0.00,
gpt-o3-mini-high,370.00,,50.20%,37.50%,0.452,5.32,8,34.00,,100.00,,100.00,,0.00,,0.00,,100.00,,36.00,,0.00,
gemini-2.5-flash,346.00,,46.67%,37.50%,0.462,17.44,8,10.00,,100.00,,100.00,,0.00,,0.00,,100.00,,36.00,,0.00,
Qwen3-30B,336.00,,44.22%,37.50%,0.237,118.92,8,0.00,,100.00,,100.00,,0.00,,0.00,,100.00,,36.00,,0.00,
deepseek-reasoner,334.00,,45.26%,37.50%,0.460,5.02,8,34.00,,100.00,,100.00,,0.00,,0.00,,100.00,,0.00,,0.00,
gpt-5,300.00,,37.50%,37.50%,0.034,7.38,8,0.00,,100.00,,0.00,,0.00,,0.00,,100.00,,100.00,,0.00,
gpt-oss-20b-high,300.00,,37.50%,37.50%,0.040,6.11,8,0.00,,100.00,,0.00,,0.00,,0.00,,100.00,,100.00,,0.00,
gpt-oss-120b-high,300.00,,37.50%,37.50%,0.044,6.44,8,0.00,,100.00,,0.00,,0.00,,0.00,,100.00,,100.00,,0.00,
QwQ-32B,284.00,,37.35%,25.00%,0.475,5.14,8,0.00,,100.00,,100.00,,0.00,,0.00,,84.00,,0.00,,0.00,
gpt-4.1,258.00,,38.98%,25.00%,0.243,117.80,8,0.00,,22.00,,100.00,,0.00,,0.00,,100.00,,36.00,,0.00,
deepseek-chat,236.00,,33.22%,25.00%,0.205,117.19,8,0.00,,0.00,,100.00,,0.00,,0.00,,100.00,,36.00,,0.00,
seed-oss_-1,236.00,,30.65%,25.00%,0.475,4.52,8,0.00,,100.00,,0.00,,0.00,,0.00,,100.00,,36.00,,0.00,
Qwen3-32B,234.00,,39.84%,25.00%,0.454,4.91,8,34.00,,0.00,,100.00,,0.00,,0.00,,100.00,,0.00,,0.00,
DeepSeek-R1-Distill-Llama-70B,234.00,,41.20%,25.00%,0.540,5.84,8,15.00,,19.00,,100.00,,0.00,,0.00,,100.00,,0.00,,0.00,
gpt-oss-20b-medium,200.00,,25.71%,25.00%,0.020,4.06,8,0.00,,100.00,,0.00,,0.00,,0.00,,100.00,,0.00,,0.00,
