problem,status,score,relative_score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4
eurokod,RUNTIME_ERROR,17,34.00%,33.33%,0.000,0,,17,0,0,0,0
vrsar,TIME_LIMIT_EXCEEDED,0,0.00%,0.00%,1.210,6.97265625,,0,0,0,0,0
milano,ACCEPTED,110,100.00%,100.00%,0.130,4.90625,,21,18,31,40,0
restorani,RUNTIME_ERROR,0,0.00%,0.68%,0.140,22.9765625,,0,0,0,0,0
cesta,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
zlagalica,RUNTIME_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
bitovi,RUNTIME_ERROR,0,0.00%,0.00%,0.050,2.328125,,0,0,0,0,0
piratski,TIME_LIMIT_EXCEEDED,0,0.00%,0.00%,2.410,0.00390625,,0,0,0,0,0
rolete,TIME_LIMIT_EXCEEDED,0,0.00%,0.00%,2.410,2.07421875,,0,0,0,0,0
trokut,RUNTIME_ERROR,0,0.00%,0.00%,0.050,1.71484375,,0,0,0,0,0
bingo,RUNTIME_ERROR,34,68.00%,59.09%,0.000,0,,12,22,0,0,0
knjige,RUNTIME_ERROR,0,0.00%,0.00%,0.090,2.07421875,,0,0,0,0,0
lepeze,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
putovanje,TIME_LIMIT_EXCEEDED,45,40.91%,48.20%,2.420,4.625,,10,0,35,0,0
roboti,TIME_LIMIT_EXCEEDED,0,0.00%,2.27%,2.410,609.875,,0,0,0,0,0
pahuljice,RUNTIME_ERROR,0,0.00%,22.22%,0.050,0,,0,0,0,0,0
pingvin,ACCEPTED,70,100.00%,100.00%,0.080,6.4453125,,7,16,22,25,0
dizalo,TIME_LIMIT_EXCEEDED,0,0.00%,0.00%,3.610,2.07421875,,0,0,0,0,0
kuglice,RUNTIME_ERROR,0,0.00%,0.00%,0.060,1.55859375,,0,0,0,0,0
zatopljenje,RUNTIME_ERROR,0,0.00%,0.00%,0.050,1.6171875,,0,0,0,0,0
sudoku,RUNTIME_ERROR,0,0.00%,45.71%,0.000,0,,0,0,0,0,0
labirint,RUNTIME_ERROR,0,0.00%,0.00%,0.060,0.00390625,,0,0,0,0,0
an2dl,TIME_LIMIT_EXCEEDED,29,26.36%,83.33%,4.810,67.04296875,,12,17,0,0,0
kocke,RUNTIME_ERROR,0,0.00%,3.33%,0.060,1.55859375,,0,0,0,0,0
mostovi,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
TOTAL,,305,,19.93%,,,8.00%,,,,,
