Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count
gemini-2.5-pro,657.00,59.73%,59.16%,36.36%,0.669,31.69,11
grok-4-fast-reasoning,592.00,53.82%,54.65%,36.36%,0.514,31.26,11
gpt-5,551.00,50.09%,46.85%,36.36%,0.315,19.50,11
claude-sonnet-4.5,479.00,43.55%,50.12%,27.27%,0.668,14.15,11
gpt-o3-mini-high,428.00,38.91%,44.40%,27.27%,0.456,25.58,11
gpt-oss-20b-medium,424.00,38.55%,42.73%,27.27%,0.478,11.68,11
gpt-oss-120b-high,424.00,38.55%,42.38%,18.18%,0.320,54.49,11
seed-oss_-1,421.00,38.27%,39.37%,18.18%,0.319,24.12,11
gpt-oss-120b_sp1,407.00,37.00%,37.44%,27.27%,0.302,14.21,11
gpt-oss-120b_sp3,395.00,39.50%,39.95%,30.00%,0.193,19.36,10
gpt-oss-20b-high,393.00,35.73%,39.03%,27.27%,0.245,22.74,11
gemini-2.5-flash,378.00,34.36%,43.00%,18.18%,0.463,19.08,11
gpt-oss-120b-medium,376.00,34.18%,36.03%,18.18%,0.278,29.20,11
gpt-oss-120b_sp4,347.00,34.70%,39.95%,20.00%,0.251,9.20,10
gpt-oss-20b-low,345.00,31.36%,35.57%,27.27%,0.229,7.99,11
gpt-oss-120b_sp2,307.00,27.91%,34.04%,18.18%,0.229,14.13,11
Qwen3-14B,299.00,,32.06%,18.18%,0.215,55.42,11
Qwen3-32B,296.00,,30.23%,18.18%,0.415,8.35,11
seed-oss_8192,295.00,,29.85%,18.18%,0.306,11.48,11
OpenCodeReasoning-Nemotron-32B-IOI,293.00,26.64%,27.71%,18.18%,0.358,68.47,11
QwQ-32B,290.00,,30.37%,18.18%,0.275,7.70,11
seed-oss_16384,290.00,,26.16%,18.18%,0.311,14.10,11
deepseek-reasoner,285.00,25.91%,29.86%,18.18%,0.205,8.40,11
gpt-4.1,271.00,24.64%,29.51%,18.18%,0.509,44.10,11
OlympicCoder-7B,270.00,24.55%,27.73%,18.18%,0.190,18.17,11
gpt-oss-120b-low,263.00,23.91%,25.39%,18.18%,0.353,16.82,11
deepseek-chat,250.00,22.73%,25.24%,18.18%,0.316,34.34,11
Qwen3-8B,221.00,20.09%,28.66%,9.09%,0.243,60.16,11
DeepSeek-R1-Distill-Llama-70B,193.00,17.55%,22.88%,9.09%,0.384,99.47,11
DeepSeek-R1-Distill-Qwen-32B,175.00,,26.99%,0.00%,0.397,8.75,11
seed-oss_4096,165.00,,13.87%,9.09%,0.080,10.38,11
seed-oss_1024,165.00,,15.12%,9.09%,0.083,4.44,11
DeepSeek-R1-Distill-Qwen-14B,155.00,,23.72%,0.00%,0.113,4.86,11
seed-oss_2048,153.00,,14.26%,9.09%,0.053,10.38,11
Qwen3-4B,125.00,11.36%,17.55%,0.00%,0.094,4.75,11
Qwen2.5-Coder-32B-Instruct,96.00,,14.85%,0.00%,0.417,88.49,11
Qwen3-32B-Non-Thinking,90.00,8.18%,14.83%,0.00%,0.260,61.81,11
Llama-3.3-70B-Instruct,66.00,,15.65%,0.00%,0.161,119.43,11
Mistral-Small-3.1-24B-2503,65.00,5.91%,9.89%,0.00%,0.062,1.04,11
Qwen3-30B-Non-Thinking,65.00,5.91%,9.67%,0.00%,0.252,5.18,11
Qwen3-14B-Non-Thinking,45.00,5.00%,5.56%,0.00%,0.168,5.44,9
Qwen3-8B-Non-Thinking,45.00,4.09%,12.16%,0.00%,0.253,28.76,11
Qwen2.5-Coder-14B-Instruct,45.00,4.50%,4.75%,0.00%,0.358,5.06,10
Mistral-Large-Instruct-2411,34.00,3.09%,9.40%,0.00%,0.212,31.74,11
Qwen2.5-72B,25.00,,4.34%,0.00%,0.284,4.73,10
Qwen3-4B-Non-Thinking,22.00,2.00%,1.06%,0.00%,0.095,25.48,11
Llama-4-Scout,20.00,1.82%,4.65%,0.00%,0.173,30.83,11
Llama-3.1-8B-Instruct,5.00,0.45%,8.21%,0.00%,0.050,5.37,11
seed-oss_0,3.00,,1.97%,0.00%,0.075,1.83,11
Qwen2.5-Coder-7B-Instruct,3.00,0.27%,1.75%,0.00%,0.220,4.29,11
seed-oss_512,0.00,,0.00%,0.00%,0.000,0.00,1
Qwen3-30B,0.00,,0.00%,0.00%,0.000,0.00,1
DeepSeek-R1-Distill-Qwen-7B,0.00,0.00%,0.00%,0.00%,0.000,0.00,2
DeepSeek-R1-Distill-Llama-8B,0.00,0.00%,0.28%,0.00%,0.036,0.17,11
Codestral-22B-v0.1,0.00,0.00%,2.25%,0.00%,0.067,8.26,11
DeepSeek-Coder-V2-Lite-Instruct,0.00,0.00%,0.69%,0.00%,0.231,1.66,11
