Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,animeshops,animeshops_rel,chairgame,chairgame_rel,thinice,thinice_rel
gpt-5,161.00,53.67%,75.19%,33.33%,0.533,5.00,3,100.00,100.00%,44.00,44.00%,17.00,17.00%
grok-4-fast-reasoning,154.00,51.33%,70.42%,33.33%,0.427,6.65,3,100.00,100.00%,37.00,37.00%,17.00,17.00%
claude-sonnet-4.5,154.00,51.33%,70.42%,33.33%,0.840,98.68,3,100.00,100.00%,37.00,37.00%,17.00,17.00%
gemini-2.5-pro,154.00,51.33%,70.42%,33.33%,0.873,88.03,3,100.00,100.00%,37.00,37.00%,17.00,17.00%
gpt-oss-120b-high,149.00,49.67%,68.81%,33.33%,0.547,5.57,3,100.00,100.00%,32.00,32.00%,17.00,17.00%
gpt-o3-mini-high,139.00,46.33%,67.05%,33.33%,0.533,5.38,3,100.00,100.00%,39.00,39.00%,0.00,0.00%
gemini-2.5-flash,137.00,45.67%,63.75%,33.33%,0.347,36.33,3,100.00,100.00%,37.00,37.00%,0.00,0.00%
gpt-oss-120b_sp3,129.00,43.00%,66.45%,33.33%,0.430,5.82,3,100.00,100.00%,12.00,12.00%,17.00,17.00%
gpt-4.1,125.00,41.67%,58.71%,33.33%,0.673,16.30,3,100.00,100.00%,8.00,8.00%,17.00,17.00%
gpt-oss-120b_sp1,117.00,39.00%,47.34%,33.33%,0.210,5.95,3,100.00,100.00%,0.00,0.00%,17.00,17.00%
gpt-oss-120b_sp2,112.00,37.33%,54.89%,33.33%,0.430,3.79,3,100.00,100.00%,12.00,12.00%,0.00,0.00%
seed-oss_8192,109.00,,53.00%,33.33%,0.043,4.93,3,100.00,,9.00,,0.00,
seed-oss_-1,109.00,36.33%,53.00%,33.33%,0.197,4.29,3,100.00,100.00%,9.00,9.00%,0.00,0.00%
gpt-oss-20b-high,109.00,36.33%,46.31%,33.33%,0.237,5.04,3,100.00,100.00%,9.00,9.00%,0.00,0.00%
gpt-oss-120b_sp4,109.00,36.33%,46.31%,33.33%,0.300,5.17,3,100.00,100.00%,9.00,9.00%,0.00,0.00%
gpt-oss-20b-medium,105.00,35.00%,36.25%,33.33%,0.230,5.56,3,100.00,100.00%,5.00,5.00%,0.00,0.00%
gpt-oss-120b-medium,104.00,34.67%,45.58%,33.33%,0.177,4.48,3,100.00,100.00%,4.00,4.00%,0.00,0.00%
gpt-oss-120b-low,104.00,34.67%,52.27%,33.33%,0.193,4.23,3,100.00,100.00%,4.00,4.00%,0.00,0.00%
seed-oss_4096,100.00,,33.33%,33.33%,0.030,3.44,3,100.00,,0.00,,0.00,
seed-oss_16384,100.00,,35.29%,33.33%,0.037,4.92,3,100.00,,0.00,,0.00,
gpt-oss-20b-low,100.00,33.33%,35.85%,33.33%,0.180,4.05,3,100.00,100.00%,0.00,0.00%,0.00,0.00%
Qwen3-14B,62.00,20.67%,53.71%,0.00%,0.903,4.51,3,23.00,23.00%,39.00,39.00%,0.00,0.00%
Qwen3-30B,55.00,18.33%,47.81%,0.00%,0.910,6.18,3,23.00,23.00%,32.00,32.00%,0.00,0.00%
DeepSeek-R1-Distill-Llama-70B,43.00,14.33%,45.61%,0.00%,0.530,4.03,3,39.00,39.00%,4.00,4.00%,0.00,0.00%
Qwen2.5-72B,35.00,11.67%,27.84%,0.00%,0.477,7.54,3,23.00,23.00%,0.00,0.00%,12.00,12.00%
Qwen3-32B,32.00,10.67%,39.66%,0.00%,0.520,4.49,3,23.00,23.00%,9.00,9.00%,0.00,0.00%
Llama-4-Scout,23.00,7.67%,30.05%,0.00%,0.487,9.41,3,23.00,23.00%,0.00,0.00%,0.00,0.00%
Qwen3-8B,23.00,7.67%,27.34%,0.00%,0.540,4.48,3,23.00,23.00%,0.00,0.00%,0.00,0.00%
deepseek-reasoner,17.00,5.67%,36.02%,0.00%,0.547,4.22,3,0.00,0.00%,17.00,17.00%,0.00,0.00%
