solution,status,score,relative_score,%test passed,time,memory,subtask_0
j1_gpt-oss-20b-medium_0.cpp,ACCEPTED,15,100.00%,100.00%,0.040,0,15
j1_gpt-oss-20b-medium_1.cpp,ACCEPTED,15,100.00%,100.00%,0.000,0,15
j1_gpt-oss-20b-medium_1.cpp,ACCEPTED,15,100.00%,100.00%,0.000,0,15
j1_gpt-oss-20b-medium_1.cpp,ACCEPTED,15,100.00%,100.00%,0.000,0,15
j1_gpt-oss-20b-medium_1.cpp,ACCEPTED,15,100.00%,100.00%,0.000,0,15
j1_gpt-oss-20b-medium_1.cpp,ACCEPTED,15,100.00%,100.00%,0.000,0,15
j1_gpt-oss-20b-medium_1.cpp,ACCEPTED,15,100.00%,100.00%,0.000,0,15
j1_gpt-oss-20b-medium_1.cpp,ACCEPTED,15,100.00%,100.00%,0.000,0,15
j1_gpt-oss-20b-medium_1.cpp,ACCEPTED,15,100.00%,100.00%,0.000,0,15
j1_gpt-oss-20b-medium_1.cpp,ACCEPTED,15,100.00%,100.00%,0.000,0,15
j1_gpt-oss-20b-medium_1.cpp,ACCEPTED,15,100.00%,100.00%,0.000,0,15
j1_gpt-oss-20b-medium_1.cpp,ACCEPTED,15,100.00%,100.00%,0.000,0,15
j1_gpt-oss-20b-medium_1.cpp,ACCEPTED,15,100.00%,100.00%,0.000,0,15
j1_gpt-oss-20b-medium_1.cpp,ACCEPTED,15,100.00%,100.00%,0.000,0,15
j1_gpt-oss-20b-medium_1.cpp,ACCEPTED,15,100.00%,100.00%,0.000,0,15
j1_gpt-oss-20b-medium_1.cpp,ACCEPTED,15,100.00%,100.00%,0.000,0,15
j1_gpt-oss-20b-medium_1.cpp,ACCEPTED,15,100.00%,100.00%,0.000,0,15
j1_gpt-oss-20b-medium_2.cpp,ACCEPTED,15,100.00%,100.00%,0.000,0,15
j1_gpt-oss-20b-medium_3.cpp,ACCEPTED,15,100.00%,100.00%,0.040,0,15
j1_gpt-oss-20b-medium_4.cpp,ACCEPTED,15,100.00%,100.00%,0.000,0,15
j1_gpt-oss-20b-medium_5.cpp,ACCEPTED,15,100.00%,100.00%,0.040,0,15
j1_gpt-oss-20b-medium_6.cpp,ACCEPTED,15,100.00%,100.00%,0.040,0,15
j1_gpt-oss-20b-medium_7.cpp,ACCEPTED,15,100.00%,100.00%,0.000,0,15
j1_gpt-oss-20b-medium_7.cpp,ACCEPTED,15,100.00%,100.00%,0.000,0,15
j1_gpt-oss-20b-medium_7.cpp,ACCEPTED,15,100.00%,100.00%,0.000,0,15
j1_gpt-oss-20b-medium_7.cpp,ACCEPTED,15,100.00%,100.00%,0.000,0,15
