problem,status,score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4
estimathon,ACCEPTED,50,100.00%,0.000,0,,11,39,0,0,0
dirigent,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
baltazar,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
bomboni,ACCEPTED,110,100.00%,0.170,16.76171875,,13,17,33,47,0
skrivaca,RUNTIME_ERROR,0,0.00%,0.080,12.640625,,0,0,0,0,0
kalendar,ACCEPTED,50,100.00%,0.020,0,,7,19,24,0,0
diskurs,ACCEPTED,70,100.00%,0.150,12.58984375,,20,25,25,0,0
logaritam,ACCEPTED,110,100.00%,0.070,0.00390625,,19,26,29,36,0
slasticarnica,RUNTIME_ERROR,21,47.50%,0.160,192.3359375,,21,0,0,0,0
zastave,ACCEPTED,110,100.00%,0.070,2.07421875,,41,22,47,0,0
7krokods,RUNTIME_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
zrinka,ACCEPTED,70,100.00%,0.150,96.94921875,,15,20,15,20,0
bojanje,RUNTIME_ERROR,30,33.33%,0.020,0,,30,0,0,0,0
mreza,TIME_LIMIT_EXCEEDED,60,30.56%,5.990,101.4375,,0,0,60,0,0
vrsta,ACCEPTED,110,100.00%,0.110,7.47265625,,19,26,29,36,0
tramvaji,ACCEPTED,50,100.00%,0.020,0,,12,13,25,0,0
ekspert,RUNTIME_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
lampice,TIME_LIMIT_EXCEEDED,0,4.76%,3.600,29.73046875,,0,0,0,0,0
prijateljice,ACCEPTED,110,100.00%,0.040,11.34765625,,20,30,60,0,0
kruhologija,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
desniklik,ACCEPTED,50,100.00%,0.000,0,,5,15,30,0,0
cokolade,ACCEPTED,70,100.00%,0.060,2.58984375,,15,20,35,0,0
berilij,RUNTIME_ERROR,0,4.55%,0.120,12.75390625,,0,0,0,0,0
iksevi,ACCEPTED,110,100.00%,2.070,77.63671875,,15,55,40,0,0
neboderi,ACCEPTED,110,100.00%,0.160,5.16796875,,11,22,27,18,32
TOTAL,,1291,60.83%,,,56.00%,,,,,
