solution,status,score,relative_score,%test passed,time,memory,subtask_0,subtask_1,subtask_2
autobus_gpt-oss-120b_0.cpp,RUNTIME_ERROR,0,0.00%,16.33%,0.000,0,0,0,0
autobus_gpt-oss-120b_1.cpp,RUNTIME_ERROR,0,0.00%,16.33%,0.010,0,0,0,0
autobus_gpt-oss-120b_2.cpp,WRONG_ANSWER,0,0.00%,93.88%,0.010,0,0,0,0
autobus_gpt-oss-120b_3.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0
autobus_gpt-oss-120b_3.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0
autobus_gpt-oss-120b_3.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0
autobus_gpt-oss-120b_3.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0
autobus_gpt-oss-120b_3.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0
autobus_gpt-oss-120b_4.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0
autobus_gpt-oss-120b_5.cpp,WRONG_ANSWER,0,0.00%,93.88%,0.010,0,0,0,0
autobus_gpt-oss-120b_6.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0
autobus_gpt-oss-120b_7.cpp,WRONG_ANSWER,0,0.00%,93.88%,0.010,0.00390625,0,0,0
