Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,battle,battle_rel,covid,covid_rel,editor,editor_rel,sprinklers,sprinklers_rel,stations,stations_rel,toy,toy_rel
gpt-o3-mini-high,293.00,,76.14%,33.33%,0.840,210.69,6,100.00,,10.00,,56.00,,9.00,,18.00,,100.00,
gpt-5,251.00,,71.38%,33.33%,1.012,17.22,6,100.00,,10.00,,14.00,,9.00,,18.00,,100.00,
gpt-oss-120b-high,224.00,,66.65%,33.33%,0.503,104.79,6,100.00,,10.00,,5.00,,9.00,,0.00,,100.00,
gemini-2.5-flash,219.00,,67.22%,16.67%,1.412,298.77,6,100.00,,10.00,,56.00,,9.00,,0.00,,44.00,
gemini-2.5-pro,194.00,,61.28%,0.00%,1.462,223.03,6,67.00,,0.00,,56.00,,9.00,,18.00,,44.00,
gpt-oss-20b-high,160.00,,57.56%,16.67%,0.262,59.20,6,36.00,,10.00,,5.00,,9.00,,0.00,,100.00,
gpt-oss-120b-low,155.00,,48.20%,16.67%,0.072,18.86,6,36.00,,10.00,,0.00,,9.00,,0.00,,100.00,
gpt-oss-120b-medium,155.00,25.83%,51.18%,16.67%,0.310,51.88,6,36.00,36.00%,10.00,10.00%,0.00,0.00%,9.00,9.00%,0.00,0.00%,100.00,100.00%
Qwen3-32B-Non-Thinking,124.00,,40.43%,16.67%,2.868,405.69,6,0.00,,10.00,,14.00,,100.00,,0.00,,0.00,
Qwen2.5-Coder-32B-Instruct,110.00,,33.22%,16.67%,0.345,30.16,6,0.00,,10.00,,0.00,,100.00,,0.00,,0.00,
gpt-4.1,100.00,,50.77%,0.00%,1.578,93.62,6,37.00,,10.00,,0.00,,9.00,,0.00,,44.00,
seed-oss_16384,74.00,,43.88%,0.00%,0.230,229.63,6,6.00,,10.00,,5.00,,9.00,,0.00,,44.00,
gpt-oss-20b-medium,60.00,,43.27%,0.00%,0.188,44.43,6,36.00,,10.00,,5.00,,9.00,,0.00,,0.00,
seed-oss_2048,59.00,,39.97%,0.00%,0.405,345.62,6,6.00,,10.00,,5.00,,3.00,,0.00,,35.00,
seed-oss_8192,59.00,,39.33%,0.00%,1.892,335.48,6,6.00,,10.00,,5.00,,3.00,,0.00,,35.00,
seed-oss_-1,48.00,,50.20%,0.00%,0.888,530.74,6,6.00,,10.00,,5.00,,9.00,,18.00,,0.00,
gpt-oss-20b-low,46.00,,31.51%,0.00%,0.293,36.20,6,36.00,,10.00,,0.00,,0.00,,0.00,,0.00,
deepseek-chat,33.00,,35.34%,0.00%,0.993,70.83,6,6.00,,0.00,,0.00,,9.00,,18.00,,0.00,
Qwen3-32B,30.00,,41.65%,0.00%,0.135,13.32,6,6.00,,10.00,,5.00,,9.00,,0.00,,0.00,
deepseek-reasoner,30.00,,42.07%,0.00%,0.633,61.51,6,6.00,,10.00,,5.00,,9.00,,0.00,,0.00,
Qwen3-14B-Non-Thinking,30.00,,28.92%,0.00%,1.342,194.15,6,0.00,,10.00,,0.00,,6.00,,0.00,,14.00,
Qwen3-30B,26.00,,28.93%,0.00%,1.540,201.75,6,6.00,,0.00,,14.00,,6.00,,0.00,,0.00,
Qwen3-30B-Non-Thinking,24.00,,20.60%,0.00%,0.775,76.58,6,0.00,,10.00,,14.00,,0.00,,0.00,,0.00,
Qwen3-8B,22.00,,36.29%,0.00%,1.843,74.70,6,6.00,,10.00,,0.00,,6.00,,0.00,,0.00,
Llama-3.3-70B-Instruct,20.00,,14.73%,0.00%,1.283,194.65,6,0.00,,0.00,,0.00,,20.00,,0.00,,0.00,
Qwen3-8B-Non-Thinking,20.00,,18.15%,0.00%,1.542,225.49,6,6.00,,0.00,,14.00,,0.00,,0.00,,0.00,
Qwen3-4B-Non-Thinking,17.00,,11.48%,0.00%,1.208,81.57,6,0.00,,0.00,,0.00,,17.00,,0.00,,0.00,
seed-oss_1024,16.00,,27.10%,0.00%,0.403,88.75,6,6.00,,10.00,,0.00,,0.00,,0.00,,0.00,
Qwen3-4B,16.00,,32.88%,0.00%,0.908,416.47,6,6.00,,10.00,,0.00,,0.00,,0.00,,0.00,
Codestral-22B-v0.1,16.00,,20.27%,0.00%,1.718,8.03,6,0.00,,10.00,,0.00,,6.00,,0.00,,0.00,
Qwen2.5-Coder-14B-Instruct,16.00,,20.93%,0.00%,1.933,9.52,6,0.00,,10.00,,0.00,,6.00,,0.00,,0.00,
QwQ-32B,15.00,,29.26%,0.00%,0.740,27.21,6,6.00,,0.00,,0.00,,9.00,,0.00,,0.00,
Mistral-Large-Instruct-2411,13.00,,19.75%,0.00%,1.082,198.01,6,0.00,,10.00,,0.00,,3.00,,0.00,,0.00,
Qwen2.5-72B,10.00,,18.37%,0.00%,0.333,192.49,6,0.00,,10.00,,0.00,,0.00,,0.00,,0.00,
Mistral-Small-3.1-24B-2503,10.00,,17.47%,0.00%,1.530,10.99,6,0.00,,10.00,,0.00,,0.00,,0.00,,0.00,
Qwen3-14B,6.00,,20.74%,0.00%,0.507,37.28,6,0.00,,0.00,,0.00,,6.00,,0.00,,0.00,
seed-oss_4096,6.00,,13.87%,0.00%,0.813,91.93,6,6.00,,0.00,,0.00,,0.00,,0.00,,0.00,
DeepSeek-R1-Distill-Qwen-32B,6.00,,20.85%,0.00%,0.988,20.93,6,6.00,,0.00,,0.00,,0.00,,0.00,,0.00,
DeepSeek-R1-Distill-Llama-70B,6.00,,23.23%,0.00%,1.040,68.36,6,6.00,,0.00,,0.00,,0.00,,0.00,,0.00,
DeepSeek-R1-Distill-Qwen-7B,0.00,,0.00%,0.00%,0.000,0.00,6,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
DeepSeek-R1-Distill-Llama-8B,0.00,,1.61%,0.00%,0.007,0.00,6,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Qwen2.5-Coder-7B-Instruct,0.00,,2.37%,0.00%,0.023,1.63,6,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Llama-4-Scout,0.00,,5.72%,0.00%,0.047,6.03,6,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Llama-3.1-8B-Instruct,0.00,,6.64%,0.00%,0.070,3.04,6,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
DeepSeek-R1-Distill-Qwen-14B,0.00,,5.54%,0.00%,0.118,11.76,6,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
seed-oss_512,0.00,,10.29%,0.00%,0.263,291.11,6,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
DeepSeek-Coder-V2-Lite-Instruct,0.00,,6.53%,0.00%,0.505,7.54,6,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
seed-oss_0,0.00,,15.85%,0.00%,0.625,203.89,6,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
