Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,benzinska,benzinska_rel,cipele,cipele_rel,sah,sah_rel,tura,tura_rel,xor,xor_rel
gpt-oss-120b-high,360.00,80.00%,80.00%,80.00%,0.086,7.24,5,70.00,100.00%,120.00,100.00%,50.00,100.00%,120.00,100.00%,0.00,0.00%
gemini-2.5-pro,360.00,80.00%,80.00%,80.00%,0.124,6.35,5,70.00,100.00%,120.00,100.00%,50.00,100.00%,120.00,100.00%,0.00,0.00%
gpt-5,349.00,78.17%,74.68%,60.00%,0.080,6.92,5,70.00,100.00%,120.00,100.00%,50.00,100.00%,109.00,90.83%,0.00,0.00%
grok-4-fast-reasoning,251.00,77.29%,82.55%,75.00%,0.300,166.77,4,70.00,100.00%,120.00,100.00%,50.00,100.00%,11.00,9.17%,N/A,N/A
claude-sonnet-4.5,240.00,75.00%,81.47%,75.00%,0.680,43.49,4,70.00,100.00%,120.00,100.00%,50.00,100.00%,0.00,0.00%,N/A,N/A
gpt-oss-120b_sp3,240.00,60.00%,60.14%,60.00%,0.056,6.44,5,70.00,100.00%,120.00,100.00%,50.00,100.00%,0.00,0.00%,0.00,0.00%
seed-oss_16384,240.00,,62.59%,60.00%,0.174,8.02,5,70.00,,120.00,,50.00,,0.00,,0.00,
gpt-oss-120b_sp1,240.00,60.00%,62.59%,60.00%,0.192,7.59,5,70.00,100.00%,120.00,100.00%,50.00,100.00%,0.00,0.00%,0.00,0.00%
gpt-oss-20b-high,240.00,60.00%,60.14%,60.00%,0.236,8.23,5,70.00,100.00%,120.00,100.00%,50.00,100.00%,0.00,0.00%,0.00,0.00%
gpt-oss-120b-medium,203.00,53.83%,62.39%,40.00%,0.528,7.22,5,70.00,100.00%,83.00,69.17%,50.00,100.00%,0.00,0.00%,0.00,0.00%
gpt-oss-120b_sp2,184.00,50.67%,49.04%,40.00%,0.176,7.69,5,70.00,100.00%,64.00,53.33%,50.00,100.00%,0.00,0.00%,0.00,0.00%
gpt-o3-mini-high,184.00,50.67%,50.99%,40.00%,0.184,6.52,5,70.00,100.00%,64.00,53.33%,50.00,100.00%,0.00,0.00%,0.00,0.00%
Qwen3-32B,184.00,,48.40%,40.00%,0.192,10.51,5,70.00,,64.00,,50.00,,0.00,,0.00,
seed-oss_-1,184.00,50.67%,48.40%,40.00%,0.200,7.79,5,70.00,100.00%,64.00,53.33%,50.00,100.00%,0.00,0.00%,0.00,0.00%
gemini-2.5-flash,164.00,47.33%,53.03%,40.00%,0.536,11.05,5,70.00,100.00%,44.00,36.67%,50.00,100.00%,0.00,0.00%,0.00,0.00%
seed-oss_8192,159.00,,52.91%,40.00%,0.626,129.14,5,70.00,,39.00,,50.00,,0.00,,0.00,
gpt-oss-120b_sp4,157.00,46.17%,46.54%,40.00%,0.048,6.17,5,70.00,100.00%,37.00,30.83%,50.00,100.00%,0.00,0.00%,0.00,0.00%
gpt-oss-20b-medium,157.00,46.17%,43.37%,40.00%,0.084,6.55,5,70.00,100.00%,37.00,30.83%,50.00,100.00%,0.00,0.00%,0.00,0.00%
