problem,status,score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4
estimathon,ACCEPTED,50,100.00%,0.000,0,,11,39,0,0,0
dirigent,ACCEPTED,70,100.00%,0.110,3.6171875,,15,20,35,0,0
baltazar,TIME_LIMIT_EXCEEDED,0,46.88%,4.810,49.671875,,0,0,0,0,0
bomboni,ACCEPTED,110,100.00%,0.510,483.91796875,,13,17,33,47,0
skrivaca,RUNTIME_ERROR,0,0.00%,0.090,14.82421875,,0,0,0,0,0
kalendar,ACCEPTED,50,100.00%,0.000,0,,7,19,24,0,0
diskurs,TIME_LIMIT_EXCEEDED,20,22.00%,2.410,1.81640625,,20,0,0,0,0
logaritam,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
slasticarnica,RUNTIME_ERROR,0,2.50%,0.040,1.5625,,0,0,0,0,0
zastave,RUNTIME_ERROR,63,66.67%,0.020,2.07421875,,41,22,0,0,0
7krokods,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
zrinka,RUNTIME_ERROR,35,40.00%,0.020,1.80859375,,15,20,0,0,0
bojanje,RUNTIME_ERROR,30,53.33%,0.010,0.00390625,,30,0,0,0,0
mreza,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
vrsta,ACCEPTED,110,100.00%,0.410,28.82421875,,19,26,29,36,0
tramvaji,ACCEPTED,50,100.00%,0.020,0.00390625,,12,13,25,0,0
ekspert,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
lampice,RUNTIME_ERROR,0,4.76%,0.020,0.00390625,,0,0,0,0,0
prijateljice,ACCEPTED,110,100.00%,0.060,21.4375,,20,30,60,0,0
kruhologija,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
desniklik,ACCEPTED,50,100.00%,0.000,0,,5,15,30,0,0
cokolade,TIME_LIMIT_EXCEEDED,15,25.00%,1.220,2.07421875,,15,0,0,0,0
berilij,RUNTIME_ERROR,0,2.27%,0.100,10.9921875,,0,0,0,0,0
iksevi,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
neboderi,ACCEPTED,110,100.00%,0.670,9.03125,,11,22,27,18,32
TOTAL,,873,46.54%,,,36.00%,,,,,
