problem,status,score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5
autobus,RUNTIME_ERROR,0,16.33%,0.000,0,,0,0,0,0,0,0
karte,ACCEPTED,70,100.00%,0.150,0.00390625,,18,11,24,17,0,0
bojanje,RUNTIME_ERROR,0,4.35%,0.000,0,,0,0,0,0,0,0
stablo,RUNTIME_ERROR,0,14.71%,0.640,47.44140625,,0,0,0,0,0,0
procesor,UNKNOWN,0,0.00%,0.000,0,,0,0,0,0,0,0
wow,ACCEPTED,50,100.00%,0.000,0,,21,13,16,0,0,0
zid,ACCEPTED,70,100.00%,0.280,2.84375,,17,21,32,0,0,0
tornjevi,ACCEPTED,90,100.00%,0.980,12.89453125,,7,11,17,29,26,0
crtez,TIME_LIMIT_EXCEEDED,0,8.51%,2.210,2.734375,,0,0,0,0,0,0
stablo,TIME_LIMIT_EXCEEDED,15,27.72%,4.210,160.36328125,,0,15,0,0,0,0
sah,ACCEPTED,50,100.00%,0.090,0.00390625,,13,19,18,0,0,0
benzinska,ACCEPTED,70,100.00%,0.180,5.1484375,,15,30,25,0,0,0
xor,UNKNOWN,0,0.00%,0.000,0,,0,0,0,0,0,0
cipele,RUNTIME_ERROR,27,12.90%,0.160,17.11328125,,0,27,0,0,0,0
tura,RUNTIME_ERROR,0,0.72%,0.100,6.96875,,0,0,0,0,0,0
paradoks,ACCEPTED,50,100.00%,0.000,0,,10,10,30,0,0,0
igre,RUNTIME_ERROR,23,30.61%,0.090,1.55859375,,0,0,23,0,0,0
razlicitost,TIME_LIMIT_EXCEEDED,47,74.42%,2.210,11.8828125,,25,13,9,0,0,0
blistavost,ACCEPTED,120,100.00%,0.150,2.58203125,,20,25,55,20,0,0
trokuti,RUNTIME_ERROR,13,25.96%,0.130,18.0546875,,13,0,0,0,0,0
osobna,RUNTIME_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0
skokovi,ACCEPTED,70,100.00%,0.180,12.8984375,,20,25,25,0,0,0
hijerarhija,ACCEPTED,90,100.00%,0.500,3.62109375,,7,12,16,15,23,17
uciteljica,TIME_LIMIT_EXCEEDED,0,11.48%,5.510,1.5390625,,0,0,0,0,0,0
zbunjenost,RUNTIME_ERROR,15,33.87%,0.000,0,,0,0,0,15,0,0
TOTAL,,870,50.46%,,,40.00%,,,,,,
