problem,status,score,relative_score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6,subtask_7,subtask_8,subtask_9
five,RUNTIME_ERROR,5,5.00%,16.36%,0.470,306.5859375,,5,0,0,0,0,0,0,0,0,0
game,RUNTIME_ERROR,0,0.00%,2.70%,0.820,5.17578125,,0,0,0,0,0,0,0,0,0,0
lexgcd,RUNTIME_ERROR,0,0.00%,7.38%,0.100,2.07421875,,0,0,0,0,0,0,0,0,0,0
ones,WRONG_ANSWER,25,25.00%,0.00%,0.160,1.95703125,,4.70929,4.06906,3.35974,2.8991499999999997,2.49801,2.0357600000000002,1.72931,1.45111,1.1148099999999999,0.87959
travel,RUNTIME_ERROR,0,0.00%,3.57%,0.260,333.36328125,,0,0,0,0,0,0,0,0,0,0
aquarelle,RUNTIME_ERROR,11,11.00%,57.53%,0.000,0,,0,11,0,0,0,0,0,0,0,0
parentheses,TIME_LIMIT_EXCEEDED,40,40.00%,91.83%,0.410,1.86328125,,0,5,10,10,15,0,0,0,0,0
tolls,ACCEPTED,100,100.00%,100.00%,0.250,5.7109375,,0,5,5,10,20,10,20,30,0,0
twins,RUNTIME_ERROR,40,40.00%,35.88%,0.100,3.17578125,,40,0,0,0,0,0,0,0,0,0
walk,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0
xy,RUNTIME_ERROR,0,0.00%,0.00%,0.100,1.8671875,,0,0,0,0,0,0,0,0,0,0
TOTAL,,221,,28.66%,,,9.09%,,,,,,,,,,
