problem,status,score,relative_score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4
eurokod,ACCEPTED,50,100.00%,100.00%,0.000,0,,17,19,14,0,0
vrsar,TIME_LIMIT_EXCEEDED,44,62.86%,68.75%,1.230,4.6484375,,8,17,19,0,0
milano,ACCEPTED,110,100.00%,100.00%,0.040,3.87890625,,21,18,31,40,0
restorani,RUNTIME_ERROR,0,0.00%,1.37%,0.060,18.67578125,,0,0,0,0,0
cesta,TIME_LIMIT_EXCEEDED,70,63.64%,99.08%,3.610,443.94921875,,10,30,30,0,0
zlagalica,ACCEPTED,50,100.00%,100.00%,0.010,0,,17,12,12,9,0
bitovi,RUNTIME_ERROR,0,0.00%,0.00%,0.370,1.796875,,0,0,0,0,0
piratski,ACCEPTED,110,100.00%,100.00%,0.070,2.0703125,,20,40,50,0,0
rolete,TIME_LIMIT_EXCEEDED,0,0.00%,2.04%,2.410,4.90625,,0,0,0,0,0
trokut,RUNTIME_ERROR,0,0.00%,0.00%,0.010,0.00390625,,0,0,0,0,0
bingo,ACCEPTED,50,100.00%,100.00%,0.010,0,,12,22,16,0,0
knjige,ACCEPTED,70,100.00%,100.00%,0.030,3.01171875,,7,27,36,0,0
lepeze,TIME_LIMIT_EXCEEDED,12,10.91%,32.69%,2.410,613.69921875,,12,0,0,0,0
putovanje,TIME_LIMIT_EXCEEDED,65,59.09%,68.35%,2.410,5.19140625,,10,20,35,0,0
roboti,TIME_LIMIT_EXCEEDED,13,11.82%,34.09%,2.410,17.5390625,,0,13,0,0,0
pahuljice,ACCEPTED,50,100.00%,100.00%,0.010,0,,11,11,28,0,0
pingvin,ACCEPTED,70,100.00%,100.00%,0.030,3.61328125,,7,16,22,25,0
dizalo,TIME_LIMIT_EXCEEDED,35,31.82%,47.37%,3.610,2.51953125,,16,19,0,0,0
kuglice,TIME_LIMIT_EXCEEDED,25,22.73%,51.35%,0.610,22.23828125,,0,10,0,15,0
zatopljenje,TIME_LIMIT_EXCEEDED,30,27.27%,62.50%,2.410,20.73828125,,10,20,0,0,0
sudoku,ACCEPTED,50,100.00%,100.00%,0.010,0,,11,12,13,14,0
labirint,ACCEPTED,70,100.00%,100.00%,0.050,0.00390625,,11,13,24,22,0
an2dl,ACCEPTED,110,100.00%,100.00%,1.060,114.4765625,,12,17,25,56,0
kocke,TIME_LIMIT_EXCEEDED,20,18.18%,40.00%,2.410,613.59375,,20,0,0,0,0
mostovi,TIME_LIMIT_EXCEEDED,55,50.00%,63.37%,3.610,8.0234375,,13,17,25,0,0
TOTAL,,1159,,66.84%,,,44.00%,,,,,
