solution,status,score,relative_score,%test passed,time,memory,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6,subtask_7
2023-open-t2_Cell_Automaton_gpt-oss-120b_0.cpp,RUNTIME_ERROR,0,0.00%,0.00%,0.060,14.80859375,0,0,0,0,0,0,0
2023-open-t2_Cell_Automaton_gpt-oss-120b_1.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0,0
2023-open-t2_Cell_Automaton_gpt-oss-120b_1.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0,0
2023-open-t2_Cell_Automaton_gpt-oss-120b_1.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0,0
2023-open-t2_Cell_Automaton_gpt-oss-120b_1.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0,0
2023-open-t2_Cell_Automaton_gpt-oss-120b_1.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0,0
2023-open-t2_Cell_Automaton_gpt-oss-120b_1.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0,0
2023-open-t2_Cell_Automaton_gpt-oss-120b_1.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0,0
2023-open-t2_Cell_Automaton_gpt-oss-120b_1.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0,0
2023-open-t2_Cell_Automaton_gpt-oss-120b_1.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0,0
2023-open-t2_Cell_Automaton_gpt-oss-120b_1.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0,0
2023-open-t2_Cell_Automaton_gpt-oss-120b_1.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0,0
2023-open-t2_Cell_Automaton_gpt-oss-120b_1.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0,0
2023-open-t2_Cell_Automaton_gpt-oss-120b_1.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0,0
2023-open-t2_Cell_Automaton_gpt-oss-120b_1.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0,0
2023-open-t2_Cell_Automaton_gpt-oss-120b_2.cpp,MEMORY_LIMIT_EXCEEDED,0,0.00%,0.00%,1.000,1027.30078125,0,0,0,0,0,0,0
2023-open-t2_Cell_Automaton_gpt-oss-120b_3.cpp,RUNTIME_ERROR,0,0.00%,0.00%,0.070,17.20703125,0,0,0,0,0,0,0
2023-open-t2_Cell_Automaton_gpt-oss-120b_4.cpp,RUNTIME_ERROR,0,0.00%,0.00%,0.040,9.85546875,0,0,0,0,0,0,0
2023-open-t2_Cell_Automaton_gpt-oss-120b_5.cpp,TIME_LIMIT_EXCEEDED,4,4.00%,68.75%,7.210,1912.4609375,4,0,0,0,0,0,0
2023-open-t2_Cell_Automaton_gpt-oss-120b_6.cpp,RUNTIME_ERROR,0,0.00%,0.00%,0.040,8.20703125,0,0,0,0,0,0,0
2023-open-t2_Cell_Automaton_gpt-oss-120b_7.cpp,RUNTIME_ERROR,0,0.00%,0.00%,0.070,32.52734375,0,0,0,0,0,0,0
