solution,status,score,relative_score,%test passed,time,memory,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6
2023-open-t3_Garden_gpt-oss-120b_0.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0
2023-open-t3_Garden_gpt-oss-120b_1.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0
2023-open-t3_Garden_gpt-oss-120b_1.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0
2023-open-t3_Garden_gpt-oss-120b_1.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0
2023-open-t3_Garden_gpt-oss-120b_1.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0
2023-open-t3_Garden_gpt-oss-120b_1.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0
2023-open-t3_Garden_gpt-oss-120b_1.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0
2023-open-t3_Garden_gpt-oss-120b_1.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0
2023-open-t3_Garden_gpt-oss-120b_1.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0
2023-open-t3_Garden_gpt-oss-120b_1.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0
2023-open-t3_Garden_gpt-oss-120b_1.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0
2023-open-t3_Garden_gpt-oss-120b_1.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0
2023-open-t3_Garden_gpt-oss-120b_1.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0
2023-open-t3_Garden_gpt-oss-120b_1.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0
2023-open-t3_Garden_gpt-oss-120b_1.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0
2023-open-t3_Garden_gpt-oss-120b_1.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0
2023-open-t3_Garden_gpt-oss-120b_3.cpp,RUNTIME_ERROR,0,0.00%,9.52%,0.080,6.96875,0,0,0,0,0,0
2023-open-t3_Garden_gpt-oss-120b_4.cpp,TIME_LIMIT_EXCEEDED,0,0.00%,13.95%,2.410,5.421875,0,0,0,0,0,0
2023-open-t3_Garden_gpt-oss-120b_5.cpp,TIME_LIMIT_EXCEEDED,0,0.00%,13.95%,2.410,8.26171875,0,0,0,0,0,0
2023-open-t3_Garden_gpt-oss-120b_6.cpp,RUNTIME_ERROR,0,0.00%,0.00%,0.070,5.15625,0,0,0,0,0,0
2023-open-t3_Garden_gpt-oss-120b_7.cpp,RUNTIME_ERROR,0,0.00%,0.00%,0.050,5.16015625,0,0,0,0,0,0
