competition_year,ACCEPTED,WRONG_ANSWER,TIME_LIMIT_EXCEEDED,MEMORY_LIMIT_EXCEEDED,COMPILATION_ERROR,RUNTIME_ERROR,UNKNOWN,empty solutions
ALL_COMPETITIONS,2174,2251,5854,943,1583,10505,547,287
APIO-2023,0,0,10,0,0,12,2,0
APIO-2024,0,0,6,0,9,9,0,0
BOI-2023,0,0,6,0,6,36,0,0
BOI-2024,0,0,8,2,2,36,0,0
BOI-2025,0,0,10,1,0,36,1,0
CCO-2023,29,0,27,3,4,58,0,7
CCO-2024,37,0,16,0,4,50,3,18
CEOI-2023,0,0,26,1,10,11,0,0
CEOI-2024,0,0,9,3,11,25,0,0
COCI-2023,26,0,30,12,12,109,7,4
COCI-2024,43,8,37,0,8,100,0,4
COCI-2025,37,0,45,13,11,78,14,2
EGOI-2023,7,0,4,1,1,41,10,0
EGOI-2024,0,0,6,1,1,42,14,0
EJOI-2023,0,0,28,2,9,3,5,1
EJOI-2024,2,0,11,2,8,25,0,0
IATI-2024,7,7,23,2,4,44,1,0
IOI-2023,0,0,7,0,3,38,0,0
IOI-2024,0,0,15,0,4,27,0,2
JOI-2023,0,0,38,1,16,97,0,0
JOI-2024,1,0,23,6,25,105,0,0
NOINordic-2023,8,0,4,0,3,9,0,0
NOINordic-2024,0,0,4,0,0,19,1,0
NOINordic-2025,0,0,22,0,0,2,0,0
OOI-2023,7,0,46,15,0,60,8,0
OOI-2024,18,0,40,4,0,61,13,0
RMI-2023,0,0,5,5,4,34,0,0
RMI-2024,0,0,8,4,9,27,0,0
USACO-2023,46,106,84,13,18,115,0,2
USACO-2024,22,84,118,25,27,108,0,0
USACO-2025,17,82,83,17,11,77,0,1
