competition_year,model,total_score,avg %passed,avg_time,avg_mem,pass_rate
ALL_COMPETITIONS,deepseek-chat,16770,31.75%,0.73,40.71,12.68%
APIO-2023,deepseek-chat,120,60.09%,1.66,45.55,0.00%
APIO-2024,deepseek-chat,5,5.95%,0.04,3.54,0.00%
BOI-2023,deepseek-chat,13,21.34%,0.01,0.75,0.00%
BOI-2024,deepseek-chat,8,21.08%,0.43,27.39,0.00%
BOI-2025,deepseek-chat,0,6.58%,0.09,10.93,0.00%
CCO-2023,deepseek-chat,111,51.36%,0.22,55.41,43.75%
CCO-2024,deepseek-chat,122,49.21%,0.69,14.25,43.75%
CEOI-2023,deepseek-chat,10,9.35%,2.06,47.72,0.00%
CEOI-2024,deepseek-chat,33,35.34%,0.99,70.83,0.00%
COCI-2023,deepseek-chat,796,43.93%,0.47,26.65,32.00%
COCI-2024,deepseek-chat,714,44.01%,0.51,38.14,36.00%
COCI-2025,deepseek-chat,792,47.49%,0.32,32.95,36.00%
EGOI-2023,deepseek-chat,236,33.22%,0.21,117.19,25.00%
EGOI-2024,deepseek-chat,81,29.72%,0.36,137.96,0.00%
EJOI-2023,deepseek-chat,43,11.29%,0.75,62.53,0.00%
EJOI-2024,deepseek-chat,158,37.77%,0.67,63.52,16.67%
IATI-2024,deepseek-chat,250,25.24%,0.32,34.29,18.18%
IOI-2023,deepseek-chat,62,22.67%,0.82,12.10,0.00%
IOI-2024,deepseek-chat,37,15.98%,1.05,12.20,0.00%
JOI-2023,deepseek-chat,83,28.69%,1.12,6.46,0.00%
JOI-2024,deepseek-chat,260,24.21%,0.77,70.65,5.00%
NOINordic-2023,deepseek-chat,212,86.44%,0.45,112.89,66.67%
NOINordic-2024,deepseek-chat,4,24.03%,0.05,3.78,0.00%
NOINordic-2025,deepseek-chat,89,43.08%,4.06,8.93,0.00%
OOI-2023,deepseek-chat,443,38.07%,0.39,39.66,5.88%
OOI-2024,deepseek-chat,491,46.11%,1.21,35.55,17.65%
RMI-2023,deepseek-chat,22,15.93%,0.23,30.19,0.00%
RMI-2024,deepseek-chat,15,19.05%,0.34,55.05,0.00%
USACO-2023,deepseek-chat,5574,37.42%,0.83,27.85,20.83%
USACO-2024,deepseek-chat,4143,29.78%,0.91,19.43,14.58%
USACO-2025,deepseek-chat,1843,19.74%,0.45,37.75,11.11%
