problem,status,score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_10,subtask_11,subtask_12,subtask_13,subtask_14,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6,subtask_7,subtask_8,subtask_9
Dreaming_is_not_harmful,TIME_LIMIT_EXCEEDED,0,5.61%,2.210,20.890625,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cute_Subsequences,ACCEPTED,100,100.00%,0.140,16.32421875,,0.0,14.0,0,0,0,0,0,19.0,17.0,21.0,15.0,14.0,0,0,0
The_arithmetic_exercise,RUNTIME_ERROR,4,13.04%,0.110,2.84765625,,0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alice_Bob_and_two_arrays,ACCEPTED,100,100.00%,0.310,0.00390625,,0.0,13.0,10.0,7.0,0,0,0,12.0,11.0,8.0,10.0,7.0,6.0,7.0,9.0
Card_Flip,RUNTIME_ERROR,0,14.29%,0.680,18.79296875,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Order_Statistics,TIME_LIMIT_EXCEEDED,4,47.45%,4.420,11.3671875,,0.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Best_Runner,RUNTIME_ERROR,50,44.44%,0.130,9.29296875,,0.0,23.0,0,0,0,0,0,0,16.0,0,11.0,0,0,0,0
Strong_Connectivity_Strikes_Back,ACCEPTED,100,100.00%,0.100,1.55078125,,0.0,11.0,0,0,0,0,0,9.0,12.0,13.0,20.0,21.0,14.0,0,0
Colorful_Diameter,TIME_LIMIT_EXCEEDED,18,54.38%,7.710,5.1640625,,0.0,10.0,0,0,0,0,0,8.0,0,0,0,0,0,0,0
Road_Lighting,TIME_LIMIT_EXCEEDED,24,63.16%,2.210,8.390625,,0.0,14.0,0,0,0,0,0,0,10.0,0,0,0,0,0,0
Repainting_the_Table,TIME_LIMIT_EXCEEDED,72,86.84%,1.660,54.06640625,,0.0,17.0,0,0,0,0,0,21.0,34.0,0,0,0,0,0,0
Distinctive_Features,TIME_LIMIT_EXCEEDED,30,53.36%,3.340,43.578125,,0.0,10.0,0,0,0,0,0,7.0,13.0,0,0,0,0,0,0
Classic_Tree_Problem,RUNTIME_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alien_Homophones,TIME_LIMIT_EXCEEDED,38,86.19%,2.210,53.55859375,,0.0,8.0,0,0,0,0,0,7.0,0,0,0,6.0,7.0,10.0,0
Stone_Enthusiast,ACCEPTED,100,100.00%,0.460,2.84765625,,0.0,16.0,0,0,0,0,0,14.0,12.0,16.0,11.0,17.0,14.0,0,0
Egors_Gaming_Addiction,TIME_LIMIT_EXCEEDED,15,64.19%,2.210,14.375,,0.0,8.0,0,0,0,0,0,7.0,0,0,0,0,0,0,0
Ultrafast_train,ACCEPTED,100,100.00%,0.140,10.37890625,,0.0,17.0,0,0,0,0,0,13.0,12.0,26.0,32.0,0,0,0,0
TOTAL,,755,60.76%,,,29.41%,,,,,,,,,,,,,,,
