problem,status,score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4
estimathon,ACCEPTED,50,100.00%,0.000,0,,11,39,0,0,0
dirigent,ACCEPTED,70,100.00%,0.100,3.62109375,,15,20,35,0,0
baltazar,ACCEPTED,110,100.00%,0.460,89.11328125,,15,30,65,0,0
bomboni,ACCEPTED,110,100.00%,0.100,4.390625,,13,17,33,47,0
skrivaca,ACCEPTED,110,100.00%,0.520,64.78515625,,15,25,30,40,0
kalendar,ACCEPTED,50,100.00%,0.000,0,,7,19,24,0,0
diskurs,ACCEPTED,70,100.00%,0.150,13.41796875,,20,25,25,0,0
logaritam,ACCEPTED,110,100.00%,0.020,0.00390625,,19,26,29,36,0
slasticarnica,ACCEPTED,110,100.00%,0.130,1.8125,,21,31,58,0,0
zastave,ACCEPTED,110,100.00%,0.090,2.84765625,,41,22,47,0,0
7krokods,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
zrinka,ACCEPTED,70,100.00%,0.130,1.55859375,,15,20,15,20,0
bojanje,ACCEPTED,110,100.00%,0.010,0.00390625,,30,40,40,0,0
mreza,ACCEPTED,110,100.00%,0.570,32.0859375,,21,29,60,0,0
vrsta,ACCEPTED,110,100.00%,0.130,7.484375,,19,26,29,36,0
tramvaji,ACCEPTED,50,100.00%,0.000,0,,12,13,25,0,0
ekspert,RUNTIME_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
lampice,ACCEPTED,110,100.00%,0.670,13.15625,,26,12,35,37,0
prijateljice,ACCEPTED,110,100.00%,0.040,11.86328125,,20,30,60,0,0
kruhologija,UNKNOWN,0,0.00%,0.000,0,,0,0,0,0,0
desniklik,ACCEPTED,50,100.00%,0.000,0,,5,15,30,0,0
cokolade,ACCEPTED,70,100.00%,0.070,2.84765625,,15,20,35,0,0
berilij,RUNTIME_ERROR,45,79.55%,0.180,19.23828125,,15,0,30,0,0
iksevi,ACCEPTED,110,100.00%,0.220,44.97265625,,15,55,40,0,0
neboderi,ACCEPTED,110,100.00%,0.170,13.61328125,,11,22,27,18,32
TOTAL,,1955,87.18%,,,84.00%,,,,,
