competition_year,model,total_score,avg %passed,avg_time,avg_mem,pass_rate
ALL_COMPETITIONS,QwQ-32B,17620,25.10%,0.33,17.60,7.27%
APIO-2023,QwQ-32B,20,13.34%,0.23,17.70,0.00%
APIO-2024,QwQ-32B,0,0.00%,0.00,0.00,0.00%
BOI-2023,QwQ-32B,0,21.38%,0.03,1.55,0.00%
BOI-2024,QwQ-32B,47,28.86%,0.23,6.27,0.00%
BOI-2025,QwQ-32B,0,7.48%,0.15,21.67,0.00%
CCO-2023,QwQ-32B,0,2.38%,0.04,5.17,0.00%
CCO-2024,QwQ-32B,0,0.67%,0.03,5.24,0.00%
CEOI-2023,QwQ-32B,10,2.72%,0.02,1.01,0.00%
CEOI-2024,QwQ-32B,0,0.00%,0.00,0.00,0.00%
COCI-2023,QwQ-32B,0,25.00%,0.00,0.00,0.00%
COCI-2024,QwQ-32B,0,0.00%,0.00,0.00,0.00%
COCI-2025,QwQ-32B,13,25.96%,0.09,3.88,0.00%
EGOI-2023,QwQ-32B,0,3.51%,0.02,0.52,0.00%
EGOI-2024,QwQ-32B,11,7.93%,0.24,171.23,0.00%
EJOI-2023,QwQ-32B,35,50.00%,0.16,9.88,0.00%
EJOI-2024,QwQ-32B,111,25.67%,0.11,14.88,16.67%
IATI-2024,QwQ-32B,290,30.37%,0.28,7.70,18.18%
IOI-2023,QwQ-32B,40,26.20%,0.14,2.03,0.00%
IOI-2024,QwQ-32B,3,9.58%,0.12,4.04,0.00%
JOI-2023,QwQ-32B,179,28.66%,0.44,39.86,5.26%
JOI-2024,QwQ-32B,218,19.79%,0.45,6.30,10.00%
NOINordic-2023,QwQ-32B,191,86.15%,0.88,77.18,33.33%
NOINordic-2024,QwQ-32B,9,31.33%,0.51,3.92,0.00%
NOINordic-2025,QwQ-32B,122,49.58%,1.90,11.32,33.33%
OOI-2023,QwQ-32B,133,89.67%,0.28,3.91,0.00%
OOI-2024,QwQ-32B,705,53.03%,0.72,42.47,29.41%
RMI-2023,QwQ-32B,33,15.17%,0.97,52.41,0.00%
RMI-2024,QwQ-32B,2,9.43%,0.28,8.32,0.00%
USACO-2023,QwQ-32B,6852,46.89%,0.92,11.13,35.42%
USACO-2024,QwQ-32B,4979,34.29%,0.62,7.30,18.75%
USACO-2025,QwQ-32B,3617,33.10%,0.22,8.60,25.00%
