competition_year,ACCEPTED,WRONG_ANSWER,TIME_LIMIT_EXCEEDED,MEMORY_LIMIT_EXCEEDED,COMPILATION_ERROR,RUNTIME_ERROR,UNKNOWN,empty solutions
ALL_COMPETITIONS,2796,2080,3162,576,4790,8321,983,236
APIO-2023,0,0,1,1,10,7,5,0
APIO-2024,0,0,0,0,21,3,0,0
BOI-2023,0,0,6,0,1,9,0,0
BOI-2024,0,0,3,1,8,36,0,0
BOI-2025,0,0,6,0,11,24,7,0
CCO-2023,0,0,0,0,0,7,1,0
CCO-2024,0,0,0,0,1,17,1,5
CEOI-2023,0,0,1,0,14,9,0,0
CEOI-2024,0,0,0,0,7,1,0,0
COCI-2023,0,0,1,0,0,7,0,0
COCI-2024,0,0,0,2,4,2,0,0
COCI-2025,0,0,0,1,2,5,0,0
EGOI-2023,0,0,0,0,1,22,1,0
EGOI-2024,0,0,1,1,1,16,5,0
EJOI-2023,0,0,0,0,6,2,0,0
EJOI-2024,3,0,2,0,21,22,0,0
IATI-2024,8,7,15,2,10,30,12,4
IOI-2023,0,0,0,0,5,11,0,0
IOI-2024,0,0,0,0,6,10,0,0
JOI-2023,5,0,11,7,39,88,2,0
JOI-2024,2,0,16,3,49,87,1,2
NOINordic-2023,2,0,5,3,3,9,2,0
NOINordic-2024,0,0,3,1,1,18,1,0
NOINordic-2025,1,0,7,0,8,8,0,0
OOI-2023,0,0,6,4,0,4,2,0
OOI-2024,18,0,22,4,0,65,27,0
RMI-2023,0,0,11,0,12,23,2,0
RMI-2024,0,0,4,0,9,26,9,0
USACO-2023,69,102,70,17,74,51,0,1
USACO-2024,41,81,83,10,70,93,0,6
USACO-2025,30,67,45,8,74,60,0,4
