Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,bronze_FEB,bronze_FEB_rel,bronze_Moo_Language,bronze_Moo_Language_rel,bronze_Rotate_and_Shift,bronze_Rotate_and_Shift_rel,gold_Custodial_Cleanup,gold_Custodial_Cleanup_rel,gold_Pareidolia,gold_Pareidolia_rel,gold_Tree_Merging,gold_Tree_Merging_rel,platinum_Good_Bitstrings,platinum_Good_Bitstrings_rel,platinum_Pareidolia,platinum_Pareidolia_rel,platinum_Triples_of_Cows,platinum_Triples_of_Cows_rel,silver_Field_Day,silver_Field_Day_rel,silver_Milk_Sum,silver_Milk_Sum_rel,silver_Pareidolia,silver_Pareidolia_rel
gpt-5,2551.00,,65.21%,58.33%,0.123,36.17,12,333.00,,0.00,,333.00,,83.00,,333.00,,0.00,,0.00,,333.00,,137.00,,333.00,,333.00,,333.00,
gpt-oss-20b-high,2414.00,,73.33%,70.00%,0.071,9.24,10,333.00,,0.00,,333.00,,83.00,,333.00,,0.00,,N/A,,333.00,,N/A,,333.00,,333.00,,333.00,
gpt-oss-120b-high,2414.00,,62.76%,58.33%,0.081,9.68,12,333.00,,0.00,,333.00,,83.00,,333.00,,0.00,,0.00,,333.00,,0.00,,333.00,,333.00,,333.00,
gpt-oss-120b-medium,2414.00,62.02%,61.48%,58.33%,0.087,12.87,12,333.00,103.10%,0.00,0.00%,333.00,102.78%,83.00,25.94%,333.00,103.42%,0.00,0.00%,0.00,0.00%,333.00,104.06%,0.00,0.00%,333.00,103.10%,333.00,100.91%,333.00,100.91%
gemini-2.5-pro,2270.00,,58.76%,50.00%,0.456,72.55,12,333.00,,0.00,,333.00,,83.00,,333.00,,0.00,,0.00,,150.00,,39.00,,333.00,,333.00,,333.00,
gpt-o3-mini-high,2220.00,,57.57%,50.00%,0.724,31.19,12,333.00,,0.00,,333.00,,83.00,,333.00,,0.00,,33.00,,67.00,,39.00,,333.00,,333.00,,333.00,
gpt-oss-20b-medium,2148.00,,55.55%,50.00%,0.432,4.59,12,333.00,,0.00,,333.00,,83.00,,333.00,,0.00,,0.00,,67.00,,0.00,,333.00,,333.00,,333.00,
gpt-oss-120b-low,1998.00,,50.88%,50.00%,0.080,7.25,12,333.00,,0.00,,333.00,,0.00,,333.00,,0.00,,0.00,,0.00,,0.00,,333.00,,333.00,,333.00,
seed-oss_-1,1863.00,,48.83%,41.67%,0.635,6.35,12,333.00,,0.00,,333.00,,83.00,,48.00,,0.00,,0.00,,67.00,,0.00,,333.00,,333.00,,333.00,
seed-oss_16384,1854.00,,49.06%,41.67%,0.628,29.50,12,333.00,,0.00,,333.00,,83.00,,0.00,,0.00,,0.00,,67.00,,39.00,,333.00,,333.00,,333.00,
gemini-2.5-flash,1788.00,,47.74%,41.67%,0.260,75.17,12,333.00,,0.00,,333.00,,0.00,,333.00,,0.00,,0.00,,17.00,,39.00,,333.00,,67.00,,333.00,
gpt-oss-20b-low,1665.00,,43.04%,41.67%,0.129,3.63,12,333.00,,0.00,,333.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,333.00,,333.00,,333.00,
seed-oss_8192,1249.00,,33.23%,25.00%,0.423,5.71,12,333.00,,0.00,,167.00,,83.00,,0.00,,0.00,,0.00,,0.00,,0.00,,333.00,,0.00,,333.00,
Qwen3-32B,1199.00,,33.90%,25.00%,1.005,14.44,12,333.00,,0.00,,167.00,,0.00,,0.00,,0.00,,33.00,,0.00,,0.00,,333.00,,333.00,,0.00,
gpt-4.1,1007.00,,29.66%,16.67%,1.708,27.21,12,118.00,,0.00,,167.00,,0.00,,0.00,,0.00,,0.00,,17.00,,39.00,,333.00,,333.00,,0.00,
deepseek-reasoner,970.00,,29.36%,16.67%,1.025,3.95,12,137.00,,0.00,,167.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,333.00,,333.00,,0.00,
Qwen3-30B,964.00,,29.17%,8.33%,1.234,17.60,12,118.00,,0.00,,167.00,,0.00,,0.00,,0.00,,33.00,,67.00,,0.00,,246.00,,333.00,,0.00,
QwQ-32B,916.00,,27.60%,8.33%,0.836,4.03,12,137.00,,0.00,,167.00,,0.00,,0.00,,0.00,,33.00,,0.00,,0.00,,246.00,,333.00,,0.00,
Qwen3-14B,900.00,,25.00%,8.33%,1.021,7.67,12,137.00,,0.00,,167.00,,0.00,,0.00,,0.00,,0.00,,17.00,,0.00,,246.00,,333.00,,0.00,
seed-oss_4096,714.00,,18.41%,8.33%,0.022,5.67,12,118.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,263.00,,0.00,,333.00,
DeepSeek-R1-Distill-Llama-70B,631.00,,18.89%,0.00%,0.637,3.88,12,118.00,,0.00,,167.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,246.00,,100.00,,0.00,
Qwen3-4B,597.00,,20.01%,0.00%,1.238,16.00,12,118.00,,0.00,,167.00,,0.00,,0.00,,0.00,,33.00,,0.00,,0.00,,246.00,,33.00,,0.00,
Qwen3-8B,597.00,,20.01%,0.00%,1.246,14.15,12,118.00,,0.00,,167.00,,0.00,,0.00,,0.00,,33.00,,0.00,,0.00,,246.00,,33.00,,0.00,
Qwen3-30B-Non-Thinking,525.00,,14.98%,0.00%,1.153,5.01,12,118.00,,0.00,,167.00,,0.00,,0.00,,0.00,,17.00,,0.00,,0.00,,123.00,,100.00,,0.00,
DeepSeek-R1-Distill-Qwen-32B,516.00,,15.57%,0.00%,0.640,4.36,12,137.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,246.00,,133.00,,0.00,
deepseek-chat,468.00,,15.87%,0.00%,0.952,27.42,12,118.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,39.00,,211.00,,100.00,,0.00,
Mistral-Large-Instruct-2411,419.00,,13.97%,0.00%,1.866,12.02,12,118.00,,0.00,,167.00,,0.00,,0.00,,0.00,,17.00,,17.00,,0.00,,0.00,,100.00,,0.00,
DeepSeek-R1-Distill-Qwen-14B,364.00,,10.42%,0.00%,0.250,3.16,12,118.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,246.00,,0.00,,0.00,
Llama-3.3-70B-Instruct,335.00,,12.52%,0.00%,1.964,15.04,12,118.00,,0.00,,167.00,,0.00,,0.00,,0.00,,33.00,,17.00,,0.00,,0.00,,0.00,,0.00,
Qwen2.5-Coder-14B-Instruct,327.00,,9.68%,0.00%,0.302,27.70,12,118.00,,0.00,,139.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,70.00,,0.00,,0.00,
Llama-4-Scout,302.00,,11.72%,0.00%,1.426,62.73,12,118.00,,0.00,,167.00,,0.00,,0.00,,0.00,,17.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Qwen2.5-72B,276.00,,8.31%,0.00%,0.597,3.02,12,39.00,,0.00,,167.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,70.00,,0.00,,0.00,
Qwen3-8B-Non-Thinking,265.00,,8.88%,0.00%,0.494,28.83,10,98.00,,0.00,,167.00,,0.00,,0.00,,0.00,,0.00,,N/A,,0.00,,0.00,,N/A,,0.00,
Mistral-Small-3.1-24B-2503,265.00,,9.63%,0.00%,0.958,24.92,12,98.00,,0.00,,167.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Qwen2.5-Coder-32B-Instruct,257.00,,8.48%,0.00%,0.638,27.58,12,118.00,,0.00,,139.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Qwen2.5-Coder-7B-Instruct,206.00,,5.74%,0.00%,0.572,1.07,12,39.00,,0.00,,167.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
seed-oss_1024,188.00,,5.88%,0.00%,0.221,0.72,12,118.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,70.00,,0.00,,0.00,
seed-oss_2048,150.00,,5.58%,0.00%,0.419,3.21,12,59.00,,0.00,,0.00,,21.00,,0.00,,0.00,,0.00,,0.00,,0.00,,70.00,,0.00,,0.00,
Qwen3-4B-Non-Thinking,118.00,,4.17%,0.00%,0.759,47.87,12,118.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
seed-oss_0,90.00,,2.96%,0.00%,0.232,0.85,12,20.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,70.00,,0.00,,0.00,
seed-oss_512,90.00,,2.92%,0.00%,0.337,0.79,12,20.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,70.00,,0.00,,0.00,
DeepSeek-R1-Distill-Llama-8B,70.00,,1.67%,0.00%,0.018,0.22,12,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,70.00,,0.00,,0.00,
DeepSeek-Coder-V2-Lite-Instruct,59.00,,2.08%,0.00%,0.608,2.91,12,59.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Codestral-22B-v0.1,39.00,,1.94%,0.00%,0.595,2.75,12,39.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Qwen3-32B-Non-Thinking,0.00,,0.00%,0.00%,0.000,0.00,1,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,0.00,,N/A,,N/A,,N/A,,N/A,
Qwen3-14B-Non-Thinking,0.00,,0.00%,0.00%,0.000,0.00,1,N/A,,N/A,,N/A,,N/A,,0.00,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,
Llama-3.1-8B-Instruct,0.00,,1.30%,0.00%,0.049,24.17,12,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
