problem,model,status,score,relative_score,%test passed,time,memory
2024-sp_Fish_3,Qwen3-8B,RUNTIME_ERROR,0,0.00%,9.21%,0.420,5.94140625
2024-sp_Ski_2,Qwen3-8B,RUNTIME_ERROR,0,0.00%,0.00%,0.150,0
2024-sp_Spy_3,Qwen3-8B,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
2024-sp_Board_Game,Qwen3-8B,RUNTIME_ERROR,3,3.00%,8.07%,0.200,4.3828125
2024-sp_Tricolor_Lights,Qwen3-8B,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
2024-sp_Growing_Vegetables_is_Fun_5,Qwen3-8B,RUNTIME_ERROR,0,0.00%,27.62%,0.400,5.9375
2024-sp_Card_Collection,Qwen3-8B,RUNTIME_ERROR,0,0.00%,16.67%,0.000,0
2024-sp_JOI_Tour,Qwen3-8B,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
2024-sp_Tower,Qwen3-8B,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
2024-sp_Escape_Route_2,Qwen3-8B,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
2024-sp_Island_Hopping,Qwen3-8B,RUNTIME_ERROR,2,2.00%,4.31%,0.160,1.546875
2024-sp_Table_Tennis,Qwen3-8B,ACCEPTED,100,100.00%,100.00%,0.260,25.53515625
